alg,exp,problema,regime,status,tempo_aval_real_s,tempo_total_s,tempo_busca_s,tempo_fit_s,tem_params,schema,campanha_id,repo_hash,doe_hash,path
b3,main,BBOB_F1,online,ok,0.09238099999999996,74.965717,28.695347845554352,9.595275029540062,True,1,,,f875df0bb01999e1,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/BBOB_F1/42/exp_main_b3_BBOB_F1_42.manifest.json
b3,main,BBOB_F17,online,ok,0.14604500000000004,67.222492,26.72062200307846,8.370558962225914,True,1,,,d15aed2c60ef23cc,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/BBOB_F17/42/exp_main_b3_BBOB_F17_42.manifest.json
b3,main,BBOB_F22,online,ok,0.148057,65.190847,25.64371508359909,8.161130994558334,True,1,,,f363ce9265e27d44,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/BBOB_F22/42/exp_main_b3_BBOB_F22_42.manifest.json
b3,main,BBOB_F37,online,ok,0.1362320000000001,63.247361,24.836442828178406,8.067782029509544,True,1,,,6ff27d4d787c367a,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/BBOB_F37/42/exp_main_b3_BBOB_F37_42.manifest.json
b3,main,BBOB_F49,online,ok,0.5951120000000002,70.268994,28.092341005802155,8.253692984580994,True,1,,,95bec03708fdb8c2,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/BBOB_F49/42/exp_main_b3_BBOB_F49_42.manifest.json
b3,main,BBOB_F5,online,ok,0.10545800000000011,76.06081,30.481071949005127,9.291537031531334,True,1,,,9c1c6f9e8c0acf91,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/BBOB_F5/42/exp_main_b3_BBOB_F5_42.manifest.json
b3,main,BBOB_F55,online,ok,1.0003959999999998,66.752369,25.48101896047592,8.454087033867836,True,1,,,156cb913846b92db,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/BBOB_F55/42/exp_main_b3_BBOB_F55_42.manifest.json
b3,main,DTLZ1,online,ok,0.06926100000000007,40.325968,16.97504410147667,3.623279981315136,True,1,,,721bacf399101717,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/DTLZ1/42/exp_main_b3_DTLZ1_42.manifest.json
b3,main,DTLZ2,online,ok,0.11244200000000003,105.963153,44.62605506181717,24.53155180811882,True,1,,,e9e359a6a4afa9d5,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/DTLZ2/42/exp_main_b3_DTLZ2_42.manifest.json
b3,main,DTLZ3,online,ok,0.12386099999999993,93.574671,38.0566428899765,23.10750901699066,True,1,,,b41f7d771c68d252,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/DTLZ3/42/exp_main_b3_DTLZ3_42.manifest.json
b3,main,DTLZ4,online,ok,0.127196,87.664221,32.93544399738312,23.40247482061386,True,1,,,75dc5d1c4ceddd7c,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/DTLZ4/42/exp_main_b3_DTLZ4_42.manifest.json
b3,main,DTLZ7,online,ok,0.21331800000000015,794.436295,182.6262937784195,499.85623121261597,True,1,,,82fffdba6191f6b3,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/DTLZ7/42/exp_main_b3_DTLZ7_42.manifest.json
b3,main,MMF1,online,ok,0.023917,15.503765,4.388401925563812,0.271857007406652,True,1,,,b4682dc218d24077,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/MMF1/42/exp_main_b3_MMF1_42.manifest.json
b3,main,MMF11_L,online,ok,0.024665000000000003,14.559048,4.03506800532341,0.2955689928494394,True,1,,,bc5b5476bae00728,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/MMF11_L/42/exp_main_b3_MMF11_L_42.manifest.json
b3,main,MMF16_20,online,ok,0.21011000000000007,383.225547,95.54807013273239,222.8830704689026,True,1,,,00c877887f6a3b86,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/MMF16_20/42/exp_main_b3_MMF16_20_42.manifest.json
b3,main,MMF4,online,ok,0.024297999999999993,15.067275,4.282046914100647,0.25568500347435474,True,1,,,8e6e2b094ef93635,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/MMF4/42/exp_main_b3_MMF4_42.manifest.json
b3,main,WFG1,online,ok,0.33894199999999997,585.804968,156.73693668842316,329.5271680355072,True,1,,,737008bc4aa4e0f5,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/WFG1/42/exp_main_b3_WFG1_42.manifest.json
b3,main,WFG2,online,ok,0.4470639999999993,540.779803,140.5999218225479,292.5325508117676,True,1,,,4992992e00fb8ac2,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/WFG2/42/exp_main_b3_WFG2_42.manifest.json
b3,main,WFG4,online,ok,0.2839150000000002,521.060154,134.9936752319336,284.40853571891785,True,1,,,efcdbbe567fe9529,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/WFG4/42/exp_main_b3_WFG4_42.manifest.json
b3,main,WFG5,online,ok,0.2870139999999999,480.388895,129.43718123435974,252.3395209312439,True,1,,,83b71528d381b6ea,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/WFG5/42/exp_main_b3_WFG5_42.manifest.json
b3,main,WFG9,online,ok,1.3467040000000017,494.571894,134.9523719549179,266.00274872779846,True,1,,,9c1105d2d7e82f1b,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/WFG9/42/exp_main_b3_WFG9_42.manifest.json
b3,main,ZDT1,online,ok,0.261528,2178.354922,385.5322918891907,1606.6535081863403,True,1,,,15afa53dfdb4e0cd,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/ZDT1/42/exp_main_b3_ZDT1_42.manifest.json
b3,main,ZDT3,online,ok,0.27686500000000025,2254.273409,429.4969503879547,1617.836401939392,True,1,,,0e2102b5ae8bd3b4,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/ZDT3/42/exp_main_b3_ZDT3_42.manifest.json
b3,main,ZDT4,online,ok,0.091236,64.897342,24.47086402773857,9.703660935163498,True,1,,,f238a513ec1ad671,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/ZDT4/42/exp_main_b3_ZDT4_42.manifest.json
b3,main,ZDT6,online,ok,0.10461199999999997,66.035119,26.725170969963074,7.417750984430313,True,1,,,57a9736e2650080b,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b3/ZDT6/42/exp_main_b3_ZDT6_42.manifest.json
b4,main,BBOB_F1,online,ok,0.13741999999999985,387.04283,5.77969500166364,352.711296916008,True,1,,,f875df0bb01999e1,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/BBOB_F1/42/exp_main_b4_BBOB_F1_42.manifest.json
b4,main,BBOB_F17,online,ok,0.20588599999999987,382.549279,5.646187022561207,348.3142808675766,True,1,,,d15aed2c60ef23cc,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/BBOB_F17/42/exp_main_b4_BBOB_F17_42.manifest.json
b4,main,BBOB_F22,online,ok,0.17502000000000006,381.322468,6.7791740053799,346.8352766633034,True,1,,,f363ce9265e27d44,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/BBOB_F22/42/exp_main_b4_BBOB_F22_42.manifest.json
b4,main,BBOB_F37,online,ok,0.20053799999999983,380.547434,5.569592998363078,346.71231067180634,True,1,,,6ff27d4d787c367a,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/BBOB_F37/42/exp_main_b4_BBOB_F37_42.manifest.json
b4,main,BBOB_F49,online,ok,0.6546069999999998,384.33733,5.7552469852380455,349.8450325727463,True,1,,,95bec03708fdb8c2,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/BBOB_F49/42/exp_main_b4_BBOB_F49_42.manifest.json
b4,main,BBOB_F5,online,ok,0.15531199999999995,386.176481,5.7441839936655015,351.6653382778168,True,1,,,9c1c6f9e8c0acf91,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/BBOB_F5/42/exp_main_b4_BBOB_F5_42.manifest.json
b4,main,BBOB_F55,online,ok,1.1733830000000003,382.861954,5.619355002650991,347.8054602742195,True,1,,,156cb913846b92db,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/BBOB_F55/42/exp_main_b4_BBOB_F55_42.manifest.json
b4,main,DTLZ1,online,ok,0.10629,219.848599,4.537406999617815,191.95356971025467,True,1,,,721bacf399101717,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/DTLZ1/42/exp_main_b4_DTLZ1_42.manifest.json
b4,main,DTLZ2,online,ok,0.16864699999999982,654.01407,34.80627420381643,583.0666207075119,True,1,,,e9e359a6a4afa9d5,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/DTLZ2/42/exp_main_b4_DTLZ2_42.manifest.json
b4,main,DTLZ3,online,ok,0.175877,562.25298,7.498196988366544,521.0230736732483,True,1,,,b41f7d771c68d252,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/DTLZ3/42/exp_main_b4_DTLZ3_42.manifest.json
b4,main,DTLZ4,online,ok,0.1737489999999999,1045.109548,132.7513262561988,864.5036882162094,True,1,,,75dc5d1c4ceddd7c,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/DTLZ4/42/exp_main_b4_DTLZ4_42.manifest.json
b4,main,DTLZ7,online,ok,0.272844,1746.920812,44.32601908035576,1648.9628511667252,True,1,,,82fffdba6191f6b3,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/DTLZ7/42/exp_main_b4_DTLZ7_42.manifest.json
b4,main,MMF1,online,ok,0.030361999999999986,53.957052,4.65158892609179,30.120878964662552,True,1,,,b4682dc218d24077,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/MMF1/42/exp_main_b4_MMF1_42.manifest.json
