problema,D,X_bit_igual,F_bit_igual,dX_max,dF_max,linhas_igual,pop_igual,seeds_iguais,fbest_iguais,q_manifesto,maxfe,n_geracoes,n_front1_presente,n_front1_correto,n_front1_faixa,n_front1_distintos,n_front1_monotonico,tempo_aval_real_s,tempo_total_s,frac_aval_wall,proxy_4_sem_doe,aval_vs_proxy,params_presente,params_q,params_maxfe,schema_version,campanha_id,repo_hash,n_checkpoints,custo_checkpoint_s,frac_checkpoint_wall,surr_linhas,surr_cols,sonda_status,fit_null,guards,cache_hits,motivo_parada,wall_medido_s,wall_s42_s
DTLZ2,12,True,True,0.0,0.0,True,True,200,200,10,2131,200,200,200,42–116,60,178,0.0295,1.6309,0.01808817217487277,0.06394720077514648,0.46131808183018036,True,10,2131,2,9ad0138aa9a4_2026-07-31,9ad0138aa9a4,8,0.2521,0.154577227297811,0,33,nao_se_aplica,200,0,0,orcamento,1.694,3.2655
MMF16_20,20,True,True,0.0,0.0,True,True,200,200,10,2219,200,200,200,51–221,121,191,0.0385,0.6104,0.06307339449541284,0.07342171669006348,0.5243680171974294,True,10,2219,2,9ad0138aa9a4_2026-07-31,9ad0138aa9a4,8,0.2546,0.4171035386631716,0,41,nao_se_aplica,200,0,0,orcamento,0.68,3.3378
WFG9,22,True,True,0.0,0.0,True,True,200,195,10,2241,200,200,200,12–25,14,194,1.5387,2.1327,0.7214798143198763,1.4175565242767334,1.0854593616893524,True,10,2241,2,9ad0138aa9a4_2026-07-31,9ad0138aa9a4,8,0.2625,0.12308341538894361,0,41,nao_se_aplica,200,0,0,orcamento,2.203,6.8203
ZDT1,30,True,True,0.0,0.0,True,True,200,200,10,2329,200,200,200,14–27,14,195,0.0176,0.6546,0.02688664833486099,0.05723762512207031,0.3074900463194375,True,10,2329,2,9ad0138aa9a4_2026-07-31,9ad0138aa9a4,8,0.2928,0.44729605866177824,0,49,nao_se_aplica,200,0,0,orcamento,0.731,3.3356
ZDT4,10,True,True,0.0,0.0,True,True,200,200,10,2109,200,200,200,5–11,6,194,0.0176,0.5184,0.03395061728395062,0.10191559791564941,0.17269191723298985,True,10,2109,2,9ad0138aa9a4_2026-07-31,9ad0138aa9a4,8,0.2211,0.42650462962962965,0,29,nao_se_aplica,200,0,0,orcamento,0.581,3.1561
