problema,geracao,seed_ok,lote_bit_igual_f32,dmax_f64,fe,n_front1_presente
DTLZ2,1,True,True,2.7939677238464355e-08,141,False
DTLZ2,2,True,True,2.9802322387695312e-08,151,False
DTLZ2,3,True,True,2.9802322387695312e-08,161,False
DTLZ2,4,True,True,2.9802322387695312e-08,171,False
DTLZ2,5,True,True,2.8870999813079834e-08,181,False
DTLZ2,6,True,True,2.9802322387695312e-08,191,False
DTLZ2,7,True,True,2.8870999813079834e-08,201,False
DTLZ2,8,True,True,2.9802322387695312e-08,211,False
DTLZ2,9,True,True,2.8870999813079834e-08,221,False
DTLZ2,10,True,True,2.8870999813079834e-08,231,False
DTLZ2,11,True,True,2.8870999813079834e-08,241,False
DTLZ2,12,True,True,2.8870999813079834e-08,251,False
DTLZ2,13,True,True,2.8870999813079834e-08,261,False
DTLZ2,14,True,True,2.8870999813079834e-08,271,False
DTLZ2,15,True,True,2.9802322387695312e-08,281,False
DTLZ2,16,True,True,2.9802322387695312e-08,291,False
DTLZ2,17,True,True,2.8870999813079834e-08,301,False
DTLZ2,18,True,True,2.8870999813079834e-08,311,False
DTLZ2,19,True,True,2.9802322387695312e-08,321,False
DTLZ2,20,True,True,2.9802322387695312e-08,331,False
DTLZ2,21,True,True,2.9802322387695312e-08,341,False
DTLZ2,22,True,True,2.8870999813079834e-08,351,False
DTLZ2,23,True,True,2.9802322387695312e-08,361,False
DTLZ2,24,True,True,2.8870999813079834e-08,371,False
DTLZ2,25,True,True,2.9802322387695312e-08,381,False
DTLZ2,26,True,True,2.8870999813079834e-08,391,False
DTLZ2,27,True,True,2.9802322387695312e-08,401,False
DTLZ2,28,True,True,2.9802322387695312e-08,411,False
DTLZ2,29,True,True,2.9802322387695312e-08,421,False
DTLZ2,30,True,True,2.9802322387695312e-08,431,False
DTLZ2,31,True,True,2.8870999813079834e-08,441,False
DTLZ2,32,True,True,2.9802322387695312e-08,451,False
DTLZ2,33,True,True,2.9802322387695312e-08,461,False
DTLZ2,34,True,True,2.8870999813079834e-08,471,False
DTLZ2,35,True,True,2.9802322387695312e-08,481,False
DTLZ2,36,True,True,2.9802322387695312e-08,491,False
DTLZ2,37,True,True,2.9802322387695312e-08,501,False
DTLZ2,38,True,True,2.8870999813079834e-08,511,False
DTLZ2,39,True,True,2.9802322387695312e-08,521,False
DTLZ2,40,True,True,2.9802322387695312e-08,531,False
DTLZ2,41,True,True,2.8870999813079834e-08,541,False
DTLZ2,42,True,True,2.8870999813079834e-08,551,False
DTLZ2,43,True,True,2.8870999813079834e-08,561,False
DTLZ2,44,True,True,2.9802322387695312e-08,571,False
DTLZ2,45,True,True,2.8870999813079834e-08,581,False
DTLZ2,46,True,True,2.8870999813079834e-08,591,False
DTLZ2,47,True,True,2.9802322387695312e-08,601,False
DTLZ2,48,True,True,2.7939677238464355e-08,611,False
DTLZ2,49,True,True,2.8870999813079834e-08,621,False
DTLZ2,50,True,True,2.8870999813079834e-08,631,False
DTLZ2,51,True,True,2.9802322387695312e-08,641,False
DTLZ2,52,True,True,2.9802322387695312e-08,651,False
DTLZ2,53,True,True,2.9802322387695312e-08,661,False
DTLZ2,54,True,True,2.9802322387695312e-08,671,False
DTLZ2,55,True,True,2.8870999813079834e-08,681,False
DTLZ2,56,True,True,2.7008354663848877e-08,691,False
DTLZ2,57,True,True,2.8870999813079834e-08,701,False
DTLZ2,58,True,True,2.9802322387695312e-08,711,False
DTLZ2,59,True,True,2.8870999813079834e-08,721,False
DTLZ2,60,True,True,2.9802322387695312e-08,731,False
DTLZ2,61,True,True,2.9802322387695312e-08,741,False
DTLZ2,62,True,True,2.8870999813079834e-08,751,False
DTLZ2,63,True,True,2.8870999813079834e-08,761,False
DTLZ2,64,True,True,2.8870999813079834e-08,771,False
DTLZ2,65,True,True,2.7939677238464355e-08,781,False
DTLZ2,66,True,True,2.9802322387695312e-08,791,False
DTLZ2,67,True,True,2.9802322387695312e-08,801,False
DTLZ2,68,True,True,2.8870999813079834e-08,811,False
DTLZ2,69,True,True,2.9802322387695312e-08,821,False
DTLZ2,70,True,True,2.9802322387695312e-08,831,False
DTLZ2,71,True,True,2.9802322387695312e-08,841,False
DTLZ2,72,True,True,2.8870999813079834e-08,851,False
DTLZ2,73,True,True,2.7939677238464355e-08,861,False
DTLZ2,74,True,True,2.9802322387695312e-08,871,False
DTLZ2,75,True,True,2.9802322387695312e-08,881,False
DTLZ2,76,True,True,2.9802322387695312e-08,891,False
DTLZ2,77,True,True,2.9802322387695312e-08,901,False
DTLZ2,78,True,True,2.9802322387695312e-08,911,False
DTLZ2,79,True,True,2.9802322387695312e-08,921,False
DTLZ2,80,True,True,2.9802322387695312e-08,931,False
DTLZ2,81,True,True,2.8870999813079834e-08,941,False
DTLZ2,82,True,True,2.8870999813079834e-08,951,False
DTLZ2,83,True,True,2.8870999813079834e-08,961,False
DTLZ2,84,True,True,2.9802322387695312e-08,971,False
DTLZ2,85,True,True,2.9802322387695312e-08,981,False
DTLZ2,86,True,True,2.8870999813079834e-08,991,False
