problema,n,fit_med,fit_cv,slope_por_ciclo,slope_rel_pct,fit_p,fit_u,n_treino,frac_fit,frac_busca
BBOB_F1,40,0.22560450434684753,0.1763485074043274,-0.001961874104966368,-34.78430735496584,0.4644080102443695,0.21723200380802155,109,0.24407696723937988,0.7299293279647827
BBOB_F17,40,0.19149400293827057,0.2223508656024933,-0.0024462280994172834,-51.09774848052745,0.4528059959411621,0.1811469942331314,109,0.23168733716011047,0.7395957708358765
BBOB_F22,40,0.19559600949287415,0.2144811898469925,-0.0015699592780664296,-32.10616171847055,0.45260900259017944,0.2006469964981079,109,0.23406903445720673,0.7354862689971924
BBOB_F37,40,0.19030049443244934,0.2180495262145996,-0.001449839383587381,-30.474737081716373,0.4501520097255707,0.200655996799469,109,0.2377365529537201,0.7318653464317322
BBOB_F49,40,0.19174349308013916,0.2299041897058487,-0.0024104563229303184,-50.28501951662826,0.4205160140991211,0.1832440048456192,109,0.2189914435148239,0.7453611493110657
BBOB_F5,42,0.2094779908657074,0.16822867095470428,-0.0015678983660167777,-31.43610987510427,0.42176300287246704,0.20198699831962585,109,0.22731265425682068,0.7457036972045898
BBOB_F55,40,0.20175451040267944,0.2338046431541443,-0.001340595168702824,-26.578739994999783,0.4959700107574463,0.2186110019683838,109,0.23784087598323822,0.716863751411438
DTLZ1,28,0.11822749674320221,0.3413214385509491,-0.002333979768200396,-55.2760020383064,0.33339300751686096,0.10582099854946136,76,0.1699175238609314,0.7960625886917114
DTLZ2,48,0.5031005144119263,0.15566962957382202,-0.001617336968429901,-15.430748381440123,0.9993699789047241,0.5161880254745483,131,0.3483264148235321,0.6336507201194763
DTLZ3,48,0.4694564938545227,0.12787942588329315,-0.0017039182163609925,-17.421864529724132,0.8577539920806885,0.4475100040435791,131,0.3701893389225006,0.6096790432929993
DTLZ4,48,0.48402148485183716,0.10417387634515762,-0.0013690340650946015,-13.576594672167566,0.7859249711036682,0.4362959861755371,131,0.40629497170448303,0.5717987418174744
DTLZ7,98,4.8650078773498535,0.11239191144704819,0.006000679112593942,12.087679359617963,7.903054237365723,5.909061908721924,241,0.728374719619751,0.26611727476119995
MMF1,8,0.007296999916434288,1.8231149911880493,-0.01730851249192796,-1897.6031454182437,0.19704000651836395,0.007284000050276518,21,0.05421758443117142,0.8751974701881409
MMF11_L,8,0.006345500238239765,1.9486323595046997,-0.01991165416603463,-2510.3337380452895,0.22669099271297455,0.004747000057250261,21,0.063352070748806,0.8648738861083984
MMF16_20,80,2.6289329528808594,0.21483410894870758,-0.019507890025942307,-59.363674541992424,5.674239158630371,2.628300905227661,219,0.6939641237258911,0.2974964678287506
MMF4,8,0.007538000121712685,1.6729326248168945,-0.01564858352676743,-1660.767659760872,0.17169900238513947,0.006326000206172466,21,0.05264892801642418,0.8817301392555237
WFG1,89,3.6240439414978027,0.14356404542922974,-0.0024694256568222406,-6.064465194269848,5.515510082244873,3.280056953430176,241,0.6728401780128479,0.32003098726272583
WFG2,94,2.9825849533081055,0.1340615302324295,-0.0031800988600424094,-10.022490474661316,5.604558944702148,2.615083932876587,241,0.6694229245185852,0.3217446804046631
WFG4,92,2.922211170196533,0.14911651611328125,-0.009077135715840621,-28.57755436617446,5.4881439208984375,2.718442916870117,241,0.6724409461021423,0.31917211413383484
WFG5,88,2.725982427597046,0.18801064789295197,-0.013519059821922889,-43.64214722315415,5.775599956512451,2.3728840351104736,241,0.6552042961120605,0.33608606457710266
WFG9,90,2.8788340091705322,0.13292700052261353,-0.006964233564624979,-21.77204447424324,5.340816974639893,2.938565969467163,241,0.6565747857093811,0.3331030011177063
ZDT1,120,12.726302146911621,0.1546362340450287,0.051818822286089174,48.86147289721334,13.380082130432129,16.7873592376709,329,0.8042234778404236,0.1929813176393509
ZDT3,131,12.15353775024414,0.09227924048900604,0.017057777740375823,18.38615989771657,13.666401863098145,13.989168167114258,329,0.7877971529960632,0.2091413289308548
ZDT4,43,0.21945899724960327,0.1787443906068802,0.00019555290915101477,3.831592779916812,0.39999499917030334,0.25138500332832336,109,0.2756299674510956,0.6950886845588684
ZDT6,40,0.17337749898433685,0.28265663981437683,-0.0030222560099097155,-69.72660299322348,0.445499986410141,0.13198700547218323,109,0.21093986928462982,0.7599882483482361
