problema,geracao,ramo,Flag,NumV1,NumV2,fe,lote,u_ef,popw_last,d_sigma,d_crit,pct_mm,apd_med,crit_med,n_front1,dmin,tempo_fit
BBOB_F1,1,APD,-6,39,33,114,5,5,85,9.226299475528776e-07,1.8923800660266752e-16,0.5882352941176471,34.07861987410596,290.85746080989463,6,7.6351347707157275,0.464408
BBOB_F1,2,APD,-16,43,27,119,5,5,94,2.3405199467418925e-07,7.96934455319681e-17,0.3191489361702128,32.02050994408347,28.910616627652804,3,4.604845961140765,0.270072
BBOB_F1,3,APD,-25,45,20,124,5,5,94,3.2883091360957906e-08,1.5781747895916775e-16,0.2702127659574468,23.241553180894417,1.8914635802855857,5,2.3892913064132735,0.28751
BBOB_F1,4,APD,-26,42,16,129,5,5,94,2.3165926732460207e-08,1.9369142891998267e-16,0.5127659574468085,20.362609586149205,0.520713918792336,7,1.5667738799985593,0.245096
BBOB_F1,5,APD,-29,47,18,134,5,5,94,9.194382311061844e-09,1.8368682283606575e-16,0.42765957446808517,22.8556012196142,0.12712535629264113,11,1.3822079464413972,0.23583
BBOB_F1,6,APD,-30,45,15,139,5,5,90,5.586700657644883e-09,0.0,0.3177777777777778,26.862356052922774,0.03647986498162338,14,1.1235170125861573,0.248615
BBOB_F1,7,APD,-39,46,7,144,5,5,93,1.1806891908605621e-08,1.6886061640835144e-16,0.33333333333333337,25.200591800188526,0.01950267401911677,14,1.107628546986494,0.269623
BBOB_F1,8,APD,-38,45,7,149,5,5,96,5.766844696220019e-09,9.436158779255216e-17,0.4458333333333333,21.00841608105466,0.01197460022875483,17,0.9144796036499264,0.245554
BBOB_F1,9,APD,-25,43,18,154,5,5,95,4.421028126921911e-09,1.4893065277015046e-16,0.2947368421052632,29.507756870279692,0.0070924782145626915,18,1.056741129157513,0.311052
BBOB_F1,10,APD,-28,44,16,159,5,5,95,4.38723921081241e-09,1.1260082944202817e-16,0.48,23.95364411631737,0.013501083573266784,20,1.064202716769914,0.22531
BBOB_F1,11,APD,-28,44,16,164,5,5,94,3.399863904296474e-09,2.111632044659784e-17,0.2723404255319149,23.6001860934391,0.002764117549100646,23,1.0079515941969175,0.227043
BBOB_F1,12,APD,-25,42,17,169,5,5,98,3.5154556765615297e-09,4.929944490824948e-17,0.32448979591836735,22.73989783458227,0.007421878292046949,26,1.0269631215834145,0.217258
BBOB_F1,13,APD,-26,43,17,173,5,5,93,3.5962683386792094e-09,3.687519597218661e-17,0.34623655913978496,24.62127397621528,0.004165401359791189,30,0.9519387089333917,0.284585
BBOB_F1,14,APD,-29,42,13,178,5,5,93,1.2834592832966507e-09,0.0,0.4688172043010753,20.561615713578107,0.0038399216885115104,32,1.075704956941559,0.21175
BBOB_F1,15,APD,-36,42,6,182,5,5,98,2.9628330483477683e-09,8.922810196508166e-17,0.3408163265306122,25.30718292876921,0.005997338186279127,33,1.1049775836250824,0.247666
BBOB_F1,16,APD,-33,42,9,187,5,5,98,3.1493647689728732e-09,1.9134494236776982e-16,0.4,26.943493879834612,0.0072459134114327296,34,1.3828388645207097,0.22461
BBOB_F1,17,APD,-12,41,29,192,5,5,86,2.20776238957221e-09,9.204319127794947e-17,0.32790697674418606,30.563714246347367,0.006131820081677246,34,1.1215812609555582,0.225632
BBOB_F1,18,APD,-18,40,22,196,5,5,86,3.496008899039893e-09,1.9997503226184788e-16,0.29767441860465116,21.465247642883757,0.0008461938734680859,37,1.04003602305279,0.226836
BBOB_F1,19,APD,-21,41,20,201,5,5,93,3.1319442317379043e-09,1.213792478693199e-16,0.2688172043010752,21.206924176082868,0.0020168922799080726,37,1.0460473722018346,0.221189
BBOB_F1,20,APD,-28,41,13,206,5,5,96,1.7300736607217537e-09,1.5361797775492542e-16,0.48958333333333337,26.85778083233663,0.0019550209773570326,39,1.184032561373782,0.227493
BBOB_F1,21,APD,-13,40,27,211,5,5,83,1.2681491828869795e-09,9.579782937768404e-17,0.3710843373493976,29.477089606084558,0.0027324447957556325,40,1.2090848181247684,0.249553
BBOB_F1,22,APD,-22,39,17,216,5,5,94,3.092388636827259e-09,2.2092277441258843e-16,0.3361702127659574,28.252277725729325,0.001551088057202346,40,1.0432691396969918,0.225577
BBOB_F1,23,APD,-26,40,14,221,5,5,94,4.206967607611745e-09,1.5680496937173318e-16,0.3617021276595745,32.683453424079225,0.001003741962964259,43,1.1472824816620188,0.215354
BBOB_F1,24,APD,-33,43,10,226,5,5,100,1.4132195969018824e-09,2.0832981222673178e-17,0.282,25.18902633816401,0.0006358569604515213,47,0.8306965848504435,0.243251
BBOB_F1,25,APD,-31,43,12,231,5,5,100,1.6470699804038702e-09,2.1311512190726463e-17,0.33799999999999997,27.83904238272268,0.000875488754093932,48,1.0411662026913409,0.221982
BBOB_F1,26,APD,-32,44,12,236,5,5,98,3.2189105547697494e-09,5.1544288440153765e-17,0.3836734693877551,26.014258569223994,0.001793653472678609,49,1.1359113268098369,0.22176
BBOB_F1,27,APD,-33,44,11,241,5,5,96,1.1247485928733703e-09,9.295016730564905e-17,0.21875,33.37232944064407,0.0013703007462997877,49,1.0852153041681267,0.236011
BBOB_F1,28,APD,-31,47,16,246,5,5,95,1.773250379866198e-09,1.3806144277176965e-17,0.39368421052631575,25.15008285035281,0.0007886960831462759,49,0.9821510105108887,0.218576
BBOB_F1,29,APD,-29,47,18,251,5,5,95,1.7050019035513841e-09,1.9913584368238597e-16,0.36000000000000004,27.7226952471908,0.001443090508782666,51,1.2344724400085245,0.224192
BBOB_F1,30,APD,-31,48,17,256,5,5,93,1.6439063998952008e-09,1.2283168835084048e-16,0.421505376344086,35.2033981491753,0.0010751651797889588,52,1.0294614670889384,0.220762
BBOB_F1,31,APD,-24,44,20,261,5,5,90,1.745936374641932e-09,5.834874933877091e-17,0.22000000000000003,30.530575388173034,0.001219732749564536,54,1.1209961856637156,0.22108
BBOB_F1,32,APD,-30,44,14,266,5,5,96,5.897340671356943e-10,1.113846556394329e-16,0.3604166666666667,30.229160826703133,0.0009094919147271494,54,1.2025610398302025,0.219172
BBOB_F1,33,APD,-31,44,13,271,5,5,94,8.295799706903306e-10,1.7345628191571855e-16,0.24680851063829792,30.31755198646709,0.0008362091859304067,55,0.9597632529784058,0.211892
BBOB_F1,34,APD,-28,42,14,276,5,5,93,9.710176482324862e-10,0.0,0.33333333333333337,29.56923116759501,0.001141786305517529,56,1.151553551042205,0.235833
BBOB_F1,35,APD,-20,43,23,281,5,5,94,7.733572740531436e-10,2.1239437868642734e-16,0.21702127659574466,28.325951683473303,0.00044739742064381013,58,1.1131193132224269,0.214485
BBOB_F1,36,APD,-33,43,10,286,5,5,97,1.0427141441948784e-09,0.0,0.3402061855670103,31.96036439427856,0.0010312177996952812,59,1.1657213471993293,0.215312
BBOB_F1,37,APD,-24,46,22,291,5,5,92,6.624514096997824e-10,3.0321160590070594e-17,0.29130434782608694,33.99988128490593,0.00041548301065543055,60,1.1810307387880201,0.219393
BBOB_F1,38,APD,-32,46,14,296,5,5,91,8.284655114709771e-10,3.7918109146462173e-17,0.3076923076923077,30.245156476152694,0.00043446920576054417,62,1.0885655319920344,0.216705
BBOB_F1,39,APD,-24,43,19,301,5,5,97,1.7769001200984569e-09,1.4740521991996366e-16,0.34845360824742266,27.05599254891127,0.0009636603945517168,60,0.9903941879371118,0.230021
BBOB_F1,40,APD,-26,43,17,306,5,5,95,1.4298043513050196e-09,1.5180480718111875e-16,0.6000000000000001,26.977296696076763,0.0011168089879970552,60,1.2712824632714477,0.217232
BBOB_F17,1,APD,0,98,98,114,5,5,51,0.18121491558849812,1.176956516935765e-16,0.5686274509803921,8969040.69247982,31948839179019.277,6,5.319588296468533,0.452806
BBOB_F17,2,APD,0,98,98,119,5,5,83,0.4393907096236944,2.1300942232770278e-16,0.4096385542168675,8528412.416591896,26662649051305.117,6,9.815543059200625,0.2627
BBOB_F17,3,APD,0,98,98,124,5,5,94,0.109771772287786,3.4185624008409564e-17,0.5191489361702128,9983315.501873348,1899621405395.3809,3,7.692076111432103,0.257248
BBOB_F17,4,APD,0,98,98,129,5,5,76,0.045486156828701496,1.3052019687612456e-16,0.6605263157894737,6730449.394722704,2261209095785.367,4,6.900573680174021,0.195396
BBOB_F17,5,APD,0,98,98,134,5,5,97,0.03593756887130439,1.5215491816611217e-16,0.6206185567010308,21044594.415014584,1963672435124.0212,4,6.619268074089896,0.227863
BBOB_F17,6,APD,0,98,98,139,5,5,94,0.0337200234644115,8.107339216352036e-17,0.4659574468085107,22319266.65131789,2638798849135.534,5,8.969992967684428,0.226167
BBOB_F17,7,APD,0,98,98,144,5,5,80,0.11273330450057983,1.5266814087824603e-16,0.49749999999999994,7734961.282493014,945932061629.2198,5,6.6856545060151324,0.207748
BBOB_F17,8,APD,0,98,98,149,5,5,92,0.05214065918698907,1.259528823954533e-16,0.4434782608695652,4337160.71806498,1530931602269.1006,6,7.461732327159518,0.215254
BBOB_F17,9,APD,0,98,98,154,5,5,87,0.016664612223394215,1.429069706500937e-16,0.4459770114942529,3401367.552155072,191496059295.6494,6,6.294351388728524,0.245776
BBOB_F17,10,APD,0,98,98,159,5,5,93,0.029797236202284694,1.1318791748285958e-16,0.3827956989247312,10353060.15180725,167792747566.79514,7,6.74455928407213,0.204714
BBOB_F17,11,APD,0,98,98,164,5,5,93,0.027698226389475167,1.0908583321900348e-16,0.6021505376344086,25885884.319050018,208434224103.98492,8,7.906543096288923,0.237409
BBOB_F17,12,APD,1,97,98,169,5,5,78,0.017923814826644957,1.3486856871697744e-16,0.4512820512820513,2200850.705615923,144487117342.75937,10,7.963564611646506,0.262879
BBOB_F17,13,APD,-1,98,97,174,5,5,97,0.014972597360610962,1.1350603096365823e-16,0.5030927835051546,8619552.687424328,44674887779.340385,7,5.803892426148637,0.198043
BBOB_F17,14,APD,-1,98,97,179,5,5,82,0.013796051382087171,5.4144417219103706e-17,0.5024390243902439,2800344.6583815585,74584344681.69264,8,6.096243859007164,0.260375
