problema,nb,wape_p,wape_u,dWAPE,wape_min,wape_max,wape_cv,corr_p,corr_u,cob_p,cob_u,cob_min,ftm_p,ftm_u,nnan
BBOB_F1,22,0.134024,0.0013655,-99.0,0.0013655,0.134024,1.6546026775166927,0.8780125000000001,0.9999875,0.941,1.0,0.9225,108,305,0
BBOB_F17,21,0.4331,0.29155099999999995,-32.7,0.1987925,0.4331,0.23124973810587143,0.826992,0.8440259999999999,0.94575,0.78175,0.76225,108,303,0
BBOB_F22,21,0.138799,0.111194,-19.9,0.084144,0.138799,0.13552070597746482,0.8331575,0.9051135,0.9445,0.8845000000000001,0.878,108,303,0
BBOB_F37,21,0.3004605,0.308294,2.6,0.2311415,0.324319,0.08381348724935513,0.7736799999999999,0.7565725000000001,0.9472499999999999,0.92425,0.9055,108,303,0
BBOB_F49,22,0.2235005,0.28055199999999997,25.5,0.21075149999999998,0.28055199999999997,0.09477834032418118,0.35390950000000004,0.293967,0.96,0.92625,0.89625,108,305,0
BBOB_F5,23,0.116788,0.0429735,-63.2,0.0332275,0.116788,0.3985219894333404,0.8154655,0.9230505,0.9277500000000001,0.992,0.9277500000000001,108,305,0
BBOB_F55,22,0.055778499999999995,0.1041,86.6,0.055778499999999995,0.1061725,0.19210276810227878,0.135939,0.033229499999999995,0.93375,0.99,0.93375,108,306,0
DTLZ1,16,0.32888999999999996,0.41313,25.6,0.32888999999999996,0.41313,0.0686422725911722,0.8503516666666666,0.828919,0.9253333333333332,0.9660000000000001,0.9096666666666667,75,214,0
DTLZ2,25,0.13045933333333334,0.15105166666666667,15.8,0.128516,0.161407,0.05391543019385343,0.9620103333333333,0.954932,0.9049999999999999,0.8744999999999999,0.8496666666666667,130,365,0
DTLZ3,25,0.24746333333333337,0.26594433333333334,7.5,0.23368833333333336,0.26594433333333334,0.037707788855559685,0.8825343333333334,0.879522,0.9041666666666668,0.9036666666666666,0.8333333333333334,130,365,0
DTLZ4,26,1.8719056666666667,8.331507333333333,345.1,1.5246136666666665,8.331507333333333,0.5054681912670307,0.24491533333333335,0.279104,0.9434999999999999,0.9963333333333333,0.9434999999999999,130,369,0
DTLZ7,51,0.007943333333333333,1.9333333333333333e-05,-99.8,1.8666666666666665e-05,0.007943333333333333,4.5307237703680645,0.9869686666666667,0.9999996666666666,0.3538333333333334,0.37433333333333335,0.3538333333333334,240,677,0
MMF1,6,0.43551249999999997,0.4702115,8.0,0.43551249999999997,0.584495,0.10773364366071993,0.5647815,0.591931,0.7645,0.8985,0.7645,20,59,0
MMF11_L,5,0.0795185,0.1273545,60.2,0.0795185,0.2848695,0.6151587555707994,0.9674195,0.9353075,0.4045,0.46375,0.31125,20,55,0
MMF16_20,41,0.214379,0.09505533333333333,-55.7,0.092389,0.214379,0.3196844507316784,0.9166120000000001,0.9606349999999999,0.9325,0.951,0.8811666666666667,218,613,0
MMF4,6,0.198704,0.515503,159.4,0.1874735,0.515503,0.4249274313506946,0.7056205,0.1772205,0.9392499999999999,0.489,0.489,20,59,0
WFG1,46,0.0110245,0.3351755,2940.3,0.0110245,0.3351755,0.37905220674456824,0.670979,0.43108199999999997,0.9655,0.99975,0.9655,240,676,0
WFG2,49,0.128422,0.0668725,-47.9,0.044854000000000005,0.1287305,0.35783782214355925,0.666716,0.9430270000000001,0.946,0.97975,0.91425,240,677,0
WFG4,48,0.2136045,0.077293,-63.8,0.073115,0.2160195,0.482679521929306,0.137971,0.9236925,0.9199999999999999,0.89825,0.8755,240,678,0
WFG5,46,0.2007775,0.052928,-73.6,0.0421815,0.2007775,0.7238756780346316,0.19532650000000001,0.9567239999999999,0.944,0.94125,0.84025,240,677,0
WFG9,46,0.246135,0.2577615,4.7,0.23760799999999999,0.257764,0.019297751499177347,0.285758,0.25822449999999997,0.94425,0.9375,0.91225,240,675,0
ZDT1,62,0.0115075,0.002479,-78.5,0.002357,0.0115305,0.5413992212699305,0.992564,0.9996245,0.50875,0.5195000000000001,0.50425,328,927,0
ZDT3,67,0.0460655,0.004008,-91.3,0.003767,0.046164,1.3430366628431187,0.9061695000000001,0.9992795,0.506,0.49675,0.477,328,927,0
ZDT4,23,0.0790905,0.092959,17.5,0.0790905,0.094938,0.04710387241250016,0.5790865000000001,0.4779645,0.49275,0.50825,0.49275,108,307,0
ZDT6,21,0.048150000000000005,0.04791,-0.5,0.032237,0.346839,0.8907142613847537,0.692373,0.9070985,0.8965,1.0,0.8965,108,303,0
