problema,n,inc,inc_1a_metade,inc_2a_metade,pct_inc
BBOB_F1,40,0,0,0,0.0
BBOB_F17,40,0,0,0,0.0
BBOB_F22,40,0,0,0,0.0
BBOB_F37,40,0,0,0,0.0
BBOB_F49,40,0,0,0,0.0
BBOB_F5,42,0,0,0,0.0
BBOB_F55,40,0,0,0,0.0
DTLZ1,28,14,9,5,50.0
DTLZ2,48,34,13,21,70.8
DTLZ3,48,48,24,24,100.0
DTLZ4,48,0,0,0,0.0
DTLZ7,98,0,0,0,0.0
MMF1,8,0,0,0,0.0
MMF11_L,8,0,0,0,0.0
MMF16_20,80,80,40,40,100.0
MMF4,8,0,0,0,0.0
WFG1,89,0,0,0,0.0
WFG2,94,0,0,0,0.0
WFG4,92,40,6,34,43.5
WFG5,88,58,20,38,65.9
WFG9,90,66,26,40,73.3
ZDT1,120,1,1,0,0.8
ZDT3,131,0,0,0,0.0
ZDT4,43,0,0,0,0.0
ZDT6,40,2,0,2,5.0
