label,tier,dist,problema,D,M,N,I_eff,I_max,iteracao,geracao,caminho,motivo,n_gps,n_folhas,profundidade,tppm,delta_total_point,early_stop,fe,n_acumulado,f_best,n_front1,tempo_fit_s,tempo_busca_s,chaves
BBOB_F1,small,lhs,BBOB_F1,10,2,309,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[3, 3]","[2, 2]","[108.0, 100.0]",1.0,False,309,208,"[80.54851063774095, 90.20606318817411]",1,0.415227,0.057787,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F1,small,lhs,BBOB_F1,10,2,309,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 2]","[3, 3]","[2, 2]","[108.0, 201.0]",1.0,False,309,309,"[30.97287763164161, 78.10740910141601]",2,0.113122,0.479714,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F1,small,lhs,BBOB_F1,10,2,309,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 3]","[3, 3]","[2, 2]","[108.0, 309.0]",1.0,False,309,417,"[26.85470847779243, 42.87624167376066]",5,0.342456,0.836116,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F1,small,lhs,BBOB_F1,10,2,309,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 3]","[3, 3]","[2, 2]","[108.0, 309.0]",1.0,False,309,417,"[26.00630793817288, 8.970816944523165]",38,0.000225,0.958246,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F17,small,lhs,BBOB_F17,10,2,309,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[3, 2]","[2, 1]","[102.0, 113.0]",1.0,False,309,215,"[3534251.1801879127, 0.0]",1,0.25983,0.048619,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F17,small,lhs,BBOB_F17,10,2,309,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[3, 2]","[2, 1]","[202.0, 309.0]",1.0,False,309,511,"[3534251.1801879127, 0.0]",1,0.585518,0.192576,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F17,small,lhs,BBOB_F17,10,2,309,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[3, 2]","[3, 2]","[2, 1]","[309.0, 309.0]",1.0,False,309,618,"[2579950.031468173, 0.0]",1,0.130836,0.890784,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F17,small,lhs,BBOB_F17,10,2,309,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[3, 2]","[3, 2]","[2, 1]","[309.0, 309.0]",1.0,False,309,618,"[1571713.8023766591, 0.0]",1,0.000218,0.887852,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F22,small,lhs,BBOB_F22,10,2,309,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[2, 2]","[1, 1]","[162.0, 127.0]",1.0,False,309,289,"[509341.4209911364, 1923.118102792059]",1,0.638821,0.058507,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F22,small,lhs,BBOB_F22,10,2,309,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[2, 2]","[1, 1]","[309.0, 309.0]",1.0,False,309,618,"[423391.2536648043, 2012.764595028604]",2,0.742977,0.436175,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F22,small,lhs,BBOB_F22,10,2,309,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[2, 2]","[1, 1]","[309.0, 309.0]",1.0,False,309,618,"[414776.97117114556, 1707.5755708079905]",2,0.000464,0.740404,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F22,small,lhs,BBOB_F22,10,2,309,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[2, 2]","[1, 1]","[309.0, 309.0]",1.0,False,309,618,"[411271.0077648688, 1707.5142520160769]",3,0.000219,0.962061,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F37,small,lhs,BBOB_F37,10,2,309,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[3, 2]","[2, 1]","[105.0, 118.0]",1.0,False,309,223,"[1752.37607336092, 262.0782859369065]",3,0.240652,0.061932,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F37,small,lhs,BBOB_F37,10,2,309,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 1]","[3, 2]","[2, 1]","[207.0, 118.0]",1.0,False,309,325,"[1752.3815974857291, 202.20810964710648]",2,0.239894,0.511366,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
