exp,problema,n_alg,algs,igd_nunique,hv_nunique,nd_nunique,igd
off,BBOB_F1,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.3862484203788069
off,BBOB_F17,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.0768842814355975
off,BBOB_F22,5,b5m;b5r;c311;e103;moead_media,1,1,1,1.0748151779345665
off,BBOB_F37,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.5034143939497656
off,BBOB_F49,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.3349072831101193
off,BBOB_F5,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.5185289806592093
off,BBOB_F55,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.9561693927609834
off,DTLZ1,5,b5m;b5r;c311;e103;moead_media,1,1,1,75.32352791621113
off,DTLZ2,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.4382349893654081
off,DTLZ3,5,b5m;b5r;c311;e103;moead_media,1,1,1,398.39091750128574
off,DTLZ4,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.7908760920109282
off,DTLZ7,5,b5m;b5r;c311;e103;moead_media,1,1,1,2.470206215881323
off,MMF1,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.056286697508624
off,MMF11_L,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.0419580102470012
off,MMF16_20,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.0527845774701415
off,MMF4,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.0264732168303444
off,WFG1,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.9910113107849866
off,WFG2,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.2250775620746705
off,WFG4,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.1292127687599539
off,WFG5,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.2146846623993098
off,WFG9,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.2333464355759536
off,ZDT1,5,b5m;b5r;c311;e103;moead_media,1,1,1,1.9840097985661824
off,ZDT3,5,b5m;b5r;c311;e103;moead_media,1,1,1,1.1889574991333902
off,ZDT4,5,b5m;b5r;c311;e103;moead_media,1,1,1,76.27288000105129
off,ZDT6,5,b5m;b5r;c311;e103;moead_media,1,1,1,7.603936122087763
sweep-big-lhs,DTLZ2,2,c311;treed_media,1,1,1,0.1738949906720046
sweep-big-lhs,MMF16_20,2,c311;treed_media,1,1,1,0.007557079855307
sweep-big-lhs,WFG9,2,c311;treed_media,1,1,1,0.1253288526674002
sweep-big-lhs,ZDT1,2,c311;treed_media,1,1,1,1.6368310031755808
sweep-big-lhs,ZDT4,2,c311;treed_media,1,1,1,44.29518693795728
sweep-big-mvns,DTLZ2,2,c311;treed_media,1,1,1,0.1918861922374659
sweep-big-mvns,WFG9,2,c311;treed_media,1,1,1,0.1433565853107029
sweep-big-mvns,ZDT1,2,c311;treed_media,1,1,1,0.8512256172199212
sweep-big-mvns,ZDT4,2,c311;treed_media,1,1,1,45.51466063840079
sweep-medium-lhs,DTLZ2,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.3062944084992903
sweep-medium-lhs,MMF16_20,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.0279673218909566
sweep-medium-lhs,WFG9,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.184433786563433
sweep-medium-lhs,ZDT1,5,b5m;b5r;c311;e103;moead_media,1,1,1,1.7391326680113817
sweep-medium-lhs,ZDT4,5,b5m;b5r;c311;e103;moead_media,1,1,1,36.384983926101
sweep-medium-mvns,DTLZ2,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.3503483729551524
sweep-medium-mvns,MMF16_20,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.0289462331765378
sweep-medium-mvns,WFG9,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.1773331151651533
sweep-medium-mvns,ZDT1,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.8020462495052066
sweep-medium-mvns,ZDT4,5,b5m;b5r;c311;e103;moead_media,1,1,1,55.05241586105082
sweep-small-lhs,DTLZ2,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.4382349893654081
sweep-small-lhs,MMF16_20,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.0527845774701415
sweep-small-lhs,WFG9,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.2333464355759536
sweep-small-lhs,ZDT1,5,b5m;b5r;c311;e103;moead_media,1,1,1,1.9840097985661824
sweep-small-lhs,ZDT4,5,b5m;b5r;c311;e103;moead_media,1,1,1,76.27288000105129
sweep-small-mvns,DTLZ2,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.3485157318681744
sweep-small-mvns,MMF16_20,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.0555696492086819
sweep-small-mvns,WFG9,5,b5m;b5r;c311;e103;moead_media,1,1,1,0.2108994480881869
sweep-small-mvns,ZDT1,5,b5m;b5r;c311;e103;moead_media,1,1,1,1.0563288256978145
sweep-small-mvns,ZDT4,5,b5m;b5r;c311;e103;moead_media,1,1,1,85.7324210159935
