label,exp,tier,dist,problema,D,M,N,Nmin,obj,n_folhas_log,n_folhas_rec,prof_log,prof_rec,teto_folhas,folha_min,folha_max,n_folhas_acima_banda,n_folhas_abaixo,empate_max,n_y_unicos,frac_y_unicos,empates_ge_Nmin,pts_em_empates_ge_Nmin,ok_nfolhas,ok_prof
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,0,3,3,2,2,3,100,108,0,0,1,309,1.0,0,0,True,True
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,1,3,3,2,2,3,100,108,0,0,1,309,1.0,0,0,True,True
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,0,3,3,2,2,3,100,107,0,0,1,309,1.0,0,0,True,True
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,1,2,2,1,1,3,113,196,0,0,1,309,1.0,0,0,True,True
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,0,2,2,1,1,3,147,162,0,0,1,309,1.0,0,0,True,True
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,1,2,2,1,1,3,127,182,0,0,1,309,1.0,0,0,True,True
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,100,0,3,3,2,2,3,102,105,0,0,1,309,1.0,0,0,True,True
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,100,1,2,2,1,1,3,118,191,0,0,1,309,1.0,0,0,True,True
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,100,0,3,3,2,2,3,100,109,0,0,1,309,1.0,0,0,True,True
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,100,1,2,2,1,1,3,137,172,0,0,1,309,1.0,0,0,True,True
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,100,0,3,3,2,2,3,100,109,0,0,1,309,1.0,0,0,True,True
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,100,1,2,2,1,1,3,134,175,0,0,1,309,1.0,0,0,True,True
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,0,2,2,1,1,3,121,188,0,0,1,309,1.0,0,0,True,True
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,1,3,3,2,2,3,101,107,0,0,1,309,1.0,0,0,True,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,0,3,3,2,2,3,71,74,0,0,1,216,1.0,0,0,True,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,1,3,3,2,2,3,70,75,0,0,1,216,1.0,0,0,True,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,2,2,2,1,1,3,95,121,0,0,1,216,1.0,0,0,True,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,0,2,2,1,1,3,143,228,0,0,1,371,1.0,0,0,True,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,1,3,3,2,2,3,120,126,0,0,1,371,1.0,0,0,True,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,2,2,2,1,1,3,142,229,0,0,1,371,1.0,0,0,True,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,0,2,2,1,1,3,135,236,0,0,1,371,1.0,0,0,True,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,1,2,2,1,1,3,181,190,0,0,1,371,1.0,0,0,True,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,2,2,2,1,1,3,152,219,0,0,1,371,1.0,0,0,True,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,0,3,3,2,2,3,120,130,0,0,1,371,1.0,0,0,True,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,1,2,2,1,1,3,120,251,1,0,129,242,0.6522911051212938,1,129,True,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,2,2,2,1,1,3,120,251,1,0,130,241,0.6495956873315364,1,130,True,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,0,2,2,1,1,3,340,341,0,0,1,681,1.0,0,0,True,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,1,2,2,1,1,3,340,341,0,0,1,681,1.0,0,0,True,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,2,3,3,2,2,3,222,233,0,0,1,681,1.0,0,0,True,True
MMF1,off,small,lhs,MMF1,2,2,61,20,0,3,3,2,2,3,20,21,0,0,1,61,1.0,0,0,True,True
MMF1,off,small,lhs,MMF1,2,2,61,20,1,2,2,1,1,3,27,34,0,0,1,61,1.0,0,0,True,True
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,0,2,2,1,1,3,30,31,0,0,1,61,1.0,0,0,True,True
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,1,3,3,2,2,3,20,21,0,0,1,61,1.0,0,0,True,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,0,2,2,1,1,3,280,339,0,0,1,619,1.0,0,0,True,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,1,2,2,1,1,3,238,381,0,0,1,619,1.0,0,0,True,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,2,2,2,1,1,3,250,369,0,0,1,619,1.0,0,0,True,True
MMF4,off,small,lhs,MMF4,2,2,61,20,0,3,3,2,2,3,20,21,0,0,1,61,1.0,0,0,True,True
MMF4,off,small,lhs,MMF4,2,2,61,20,1,3,3,2,2,3,20,21,0,0,1,61,1.0,0,0,True,True
WFG1,off,small,lhs,WFG1,22,2,681,220,0,3,3,2,2,3,221,232,0,0,1,681,1.0,0,0,True,True
WFG1,off,small,lhs,WFG1,22,2,681,220,1,3,3,2,2,3,220,240,0,0,1,681,1.0,0,0,True,True
WFG2,off,small,lhs,WFG2,22,2,681,220,0,2,2,1,1,3,299,382,0,0,1,681,1.0,0,0,True,True
WFG2,off,small,lhs,WFG2,22,2,681,220,1,2,2,1,1,3,271,410,0,0,1,681,1.0,0,0,True,True
WFG4,off,small,lhs,WFG4,22,2,681,220,0,3,3,2,2,3,220,241,0,0,1,681,1.0,0,0,True,True
WFG4,off,small,lhs,WFG4,22,2,681,220,1,3,3,2,2,3,220,241,0,0,1,681,1.0,0,0,True,True
WFG5,off,small,lhs,WFG5,22,2,681,220,0,3,3,2,2,3,220,239,0,0,1,681,1.0,0,0,True,True
WFG5,off,small,lhs,WFG5,22,2,681,220,1,3,3,2,2,3,220,240,0,0,1,681,1.0,0,0,True,True
WFG9,off,small,lhs,WFG9,22,2,681,220,0,3,3,2,2,3,225,229,0,0,1,681,1.0,0,0,True,True
WFG9,off,small,lhs,WFG9,22,2,681,220,1,3,3,2,2,3,225,229,0,0,1,681,1.0,0,0,True,True
ZDT1,off,small,lhs,ZDT1,30,2,929,300,0,2,2,1,1,3,464,465,0,0,1,929,1.0,0,0,True,True
ZDT1,off,small,lhs,ZDT1,30,2,929,300,1,3,3,2,2,3,300,326,0,0,1,929,1.0,0,0,True,True
