problema,igd_c311,hv_c311,nd_c311,melhor_piso,igd_piso,razao,bate
BBOB_F1,0.3862484203788069,0.3729917990041714,7,nsga2,0.1359531134257377,2.8410413755606205,False
BBOB_F17,0.0768842814355975,1.041249326073213,8,nsga2,0.0206141256299147,3.7296891857506176,False
BBOB_F22,1.0748151779345665,0.0,4,smsemoa,0.1591300073706684,6.754321172316375,False
BBOB_F37,0.5034143939497656,0.2872380290796646,3,smsemoa,0.2539185871646663,1.9825818959180848,False
BBOB_F49,0.3349072831101193,0.562277158435098,7,nsga2,0.2070601036537373,1.617439947147802,False
BBOB_F5,0.5185289806592093,0.1963538057469066,10,smsemoa,0.1192824482234564,4.347068561904673,False
BBOB_F55,0.9561693927609834,0.0320305257756206,4,nsga2,0.6061479210199184,1.5774522350123892,False
DTLZ1,75.32352791621113,0.0,35,nsga2,45.34570273153767,1.661095172835949,False
DTLZ2,0.4382349893654081,0.0550888338017577,66,smsemoa,0.1700820491933293,2.576609297946981,False
DTLZ3,398.39091750128574,0.0,33,smsemoa,129.76799112603217,3.070024541833,False
DTLZ4,0.7908760920109282,0.0,8,nsga3,0.2823977915542932,2.800574635014014,False
DTLZ7,2.470206215881323,0.0,49,nsga3,1.1247085866087754,2.196307777225651,False
MMF1,0.056286697508624,0.7380341971244623,12,nsga3,0.0570132770384747,0.9872559591801683,True
MMF11_L,0.0419580102470012,0.9497342517025602,12,nsga3,0.0231565498976292,1.8119283931539787,False
MMF16_20,0.0527845774701415,0.6429137963202539,100,smsemoa,0.0316158421272363,1.669561014940318,False
MMF4,0.0264732168303444,0.4842572254317526,18,nsga3,0.0377119334276083,0.7019851390319805,True
WFG1,0.9910113107849866,0.0,36,smsemoa,0.4953917959793528,2.0004596741975327,False
WFG2,0.2250775620746705,0.4409490182868467,11,nsga2,0.1227556938180429,1.8335407106109167,False
WFG4,0.1292127687599539,0.209660536875558,42,smsemoa,0.044424346453198,2.9086025811563108,False
WFG5,0.2146846623993098,0.1410067149050677,38,nsga2,0.0930752077028518,2.3065719400240665,False
WFG9,0.2333464355759536,0.1087203436130173,26,nsga3,0.0955346891283579,2.442530956084815,False
ZDT1,1.9840097985661824,0.0,14,nsga2,0.4440783896843883,4.4677017496308284,False
ZDT3,1.1889574991333902,0.0,18,nsga2,0.3442625865872861,3.4536355254855318,False
ZDT4,76.27288000105129,0.0,9,nsga2,43.898268794314845,1.7374917529989065,False
ZDT6,7.603936122087763,0.0,9,nsga2,6.445675963031797,1.1796956852468217,False
