ts,rec,alg,geracao,modelo,motivo,n_pontos,tempo_pred_sonda_s,fe_treino_max,x_hash,ok,problema
2026-07-26T12:22:40Z,sonda,e74,1,RBF-global(boot),cadencia,2000,0.150833,108,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:40Z,sonda,e74,3,RBF-global(s2),cadencia,2000,0.105134,110,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:42Z,sonda,e74,6,PNN(s1),cadencia,2000,0.124189,112,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:46Z,sonda,e74,12,RBF-local(s3),cadencia,2000,0.096457,115,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:47Z,sonda,e74,15,RBF-global(s2),cadencia,2000,0.109315,116,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:49Z,sonda,e74,18,PNN(s1),cadencia,2000,0.103932,118,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:52Z,sonda,e74,24,RBF-local(s3),cadencia,2000,0.096987,121,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:53Z,sonda,e74,27,RBF-global(s2),cadencia,2000,0.094428,122,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:55Z,sonda,e74,30,PNN(s1),cadencia,2000,0.098224,124,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:58Z,sonda,e74,36,RBF-local(s3),cadencia,2000,0.102417,127,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:22:59Z,sonda,e74,39,RBF-global(s2),cadencia,2000,0.085728,128,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:23:01Z,sonda,e74,42,PNN(s1),cadencia,2000,0.103038,130,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:23:04Z,sonda,e74,48,RBF-local(s3),cadencia,2000,0.102888,134,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:23:05Z,sonda,e74,51,RBF-global(s2),cadencia,2000,0.09157,136,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
2026-07-26T12:23:07Z,sonda,e74,54,PNN(s1),cadencia,2000,0.105563,138,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311,True,BBOB_F1
