problema,geracao,N,arq,inter_obj,inter_dec,P_eq_obj,P_eq_dec,mono_obj,mono_dec,quota,sig0,cand_dist
BBOB_F1,2,100,111,100,89,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F1,6,100,113,99,88,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F1,10,100,115,100,86,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F1,14,100,117,100,85,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F1,18,100,119,100,85,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F1,22,100,121,100,83,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F1,26,100,123,100,81,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F1,30,100,125,100,79,True,False,True,False,"[11, 29, 40, 20]",0.0,0.0
BBOB_F1,34,100,127,99,77,False,False,False,False,"[12, 28, 40, 20]",0.0,0.0
BBOB_F1,38,100,129,100,75,True,False,False,False,"[13, 27, 40, 20]",0.0,0.0
BBOB_F1,42,100,131,99,73,False,False,False,False,"[15, 25, 40, 20]",0.0,0.0
BBOB_F17,2,100,111,100,90,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F17,6,100,113,99,89,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F17,10,100,115,100,87,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F17,14,100,117,98,85,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F17,18,100,119,97,84,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F17,22,100,121,99,81,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F17,26,100,123,100,80,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F17,66,100,152,98,60,False,False,False,False,"[10, 31, 39, 20]",0.0,0.0
BBOB_F17,94,100,172,100,46,True,False,False,False,"[9, 32, 39, 20]",0.0,0.0
BBOB_F22,2,100,111,100,89,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,6,100,113,100,87,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,10,100,115,100,85,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,14,100,117,100,83,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,18,100,119,100,81,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,22,100,121,100,79,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,26,100,123,100,77,True,False,False,False,"[9, 31, 40, 20]",0.0,0.0
BBOB_F22,30,100,125,100,75,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,34,100,127,100,73,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,38,100,129,99,71,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,42,100,131,98,69,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,46,100,133,99,67,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F22,50,100,135,100,65,True,False,False,False,"[11, 29, 40, 20]",0.0,0.0
BBOB_F22,54,100,137,100,63,True,False,False,False,"[11, 29, 40, 20]",0.0,0.0
BBOB_F37,2,100,111,100,90,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,6,100,113,100,89,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,10,100,115,99,88,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,14,100,117,96,85,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,18,100,119,100,84,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,22,100,121,100,83,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,26,100,123,99,82,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,30,100,125,100,80,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,34,100,127,99,77,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,38,100,129,99,75,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,42,100,131,98,74,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,46,100,133,98,72,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,50,100,135,98,70,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,54,100,137,98,68,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,58,100,139,97,67,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
BBOB_F37,62,100,141,97,66,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,66,100,143,98,65,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,70,100,145,98,63,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,74,100,147,100,61,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,78,100,149,100,60,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,94,100,160,98,50,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F37,106,100,168,97,47,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
BBOB_F49,2,100,111,99,89,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,6,100,113,100,87,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,10,100,115,100,85,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,14,100,117,98,83,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,18,100,119,98,82,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,22,100,121,99,79,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,26,100,123,99,77,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,30,100,125,97,76,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,34,100,127,99,75,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,102,100,177,99,35,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
BBOB_F49,126,100,194,98,25,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,154,100,214,100,21,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,182,100,234,97,18,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,190,100,239,97,17,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F49,206,100,250,96,13,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F5,2,100,111,100,89,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F5,6,100,113,100,87,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F5,10,100,115,100,85,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F5,14,100,117,99,83,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F5,18,100,119,100,81,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F5,22,100,121,99,79,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F5,26,100,123,100,77,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F5,30,100,125,99,75,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F5,34,100,127,100,73,True,False,False,False,"[11, 29, 40, 20]",0.0,0.0
BBOB_F5,38,100,129,100,72,True,False,True,False,"[11, 29, 40, 20]",0.0,0.0
BBOB_F5,42,100,131,100,70,True,False,False,False,"[12, 28, 40, 20]",0.0,0.0
BBOB_F55,2,100,111,100,90,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,6,100,113,100,88,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,10,100,115,100,86,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,14,100,117,100,84,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,18,100,119,100,83,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,22,100,121,100,83,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,26,100,123,100,80,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,34,100,128,100,77,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,38,100,130,99,75,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,50,100,138,98,73,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,78,100,158,96,64,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,82,100,160,98,61,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,86,100,162,99,60,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,90,100,164,99,59,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,98,100,169,99,57,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,106,100,174,100,56,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
BBOB_F55,110,100,176,100,54,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ3,18,100,146,95,62,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ3,26,100,151,97,60,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ3,34,100,156,95,61,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,6,100,247,89,46,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,10,100,249,87,46,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,14,100,251,90,44,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,18,100,253,88,45,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,22,100,255,90,42,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,26,100,257,89,45,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,30,100,259,90,45,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,34,100,261,93,43,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,38,100,263,92,45,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,42,100,265,93,44,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,46,100,267,92,41,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,50,100,269,90,42,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,54,100,271,93,41,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,58,100,273,91,41,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,62,100,275,89,39,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,66,100,277,91,36,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,70,100,279,92,35,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,74,100,281,90,33,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,78,100,283,91,33,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,82,100,285,91,32,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
DTLZ7,86,100,287,88,32,False,False,False,False,"[8, 32, 40, 20]",0.0,0.0
DTLZ7,90,100,289,89,29,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
DTLZ7,94,100,291,92,27,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,98,100,293,94,26,False,False,True,False,"[11, 29, 40, 20]",0.0,0.0
DTLZ7,102,100,295,95,26,False,False,True,False,"[13, 27, 40, 20]",0.0,0.0
DTLZ7,106,100,297,93,26,False,False,False,False,"[12, 28, 40, 20]",0.0,0.0
DTLZ7,110,100,299,94,28,False,False,False,False,"[7, 33, 40, 20]",0.0,0.0
DTLZ7,114,100,301,95,67,False,False,False,False,"[7, 34, 39, 20]",0.0,0.0
DTLZ7,118,100,303,95,61,False,False,False,False,"[8, 32, 40, 20]",0.0,0.0
DTLZ7,122,100,305,94,54,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
DTLZ7,126,100,307,96,58,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,130,100,309,95,57,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
DTLZ7,134,100,311,93,58,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,138,100,313,93,57,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
DTLZ7,142,100,315,93,56,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
DTLZ7,146,100,317,93,54,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,150,100,319,97,58,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
DTLZ7,154,100,321,99,58,False,False,False,False,"[10, 31, 39, 20]",0.0,0.0
DTLZ7,158,100,323,100,58,True,False,False,False,"[10, 29, 41, 20]",0.0,0.0
DTLZ7,162,100,325,99,58,False,False,False,False,"[12, 27, 41, 20]",0.0,0.0
DTLZ7,166,100,327,97,58,False,False,False,False,"[12, 27, 41, 20]",0.0,0.0
DTLZ7,170,100,329,93,57,False,False,False,False,"[12, 26, 42, 20]",0.0,0.0
DTLZ7,178,100,334,93,56,False,False,False,False,"[14, 26, 40, 20]",0.0,0.0
DTLZ7,182,100,336,92,61,False,False,False,False,"[12, 29, 39, 20]",0.0,0.0
WFG2,2,100,243,100,44,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,6,100,245,98,44,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,10,100,247,98,47,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,14,100,249,98,45,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,18,100,251,98,45,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,22,100,253,98,43,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,26,100,255,97,40,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,30,100,257,96,40,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,34,100,259,97,39,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,38,100,261,95,40,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,42,100,263,96,37,False,False,False,False,"[11, 30, 39, 20]",0.0,0.0
WFG2,46,100,265,96,35,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,50,100,267,98,36,False,False,False,False,"[10, 29, 40, 21]",0.0,0.0
WFG2,54,100,269,98,36,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,66,100,277,96,32,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
WFG2,74,100,282,96,30,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
WFG2,78,100,284,96,32,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,82,100,286,95,30,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,90,100,291,96,30,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,94,100,293,94,28,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG2,98,100,295,93,29,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG9,14,100,252,93,41,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG9,18,100,254,94,43,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
WFG9,22,100,256,89,39,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,6,100,334,90,33,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,10,100,336,90,32,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,14,100,338,92,33,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,18,100,340,91,34,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,22,100,342,93,35,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,26,100,344,91,31,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,30,100,346,91,27,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,34,100,348,92,28,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,38,100,350,92,29,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,42,100,352,92,24,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,46,100,354,94,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,50,100,356,97,17,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,54,100,358,95,21,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,58,100,360,99,17,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,62,100,362,94,19,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
