problema,D,M,cache_hit_guard,cache_hits_man,cache_ok,dedup_guard,dedup_eventos,dedup_ok,hv_range0_guard,hv_range0_eventos,cand_vazio_guard,cand_vazio_eventos,outros,fe_final,footer_fe,n_ger_man,n_ger_footer,cp_init,termino,status,fallback,n_retries
BBOB_F1,10,2,1,1,True,11,11,True,0,0,8,8,{},309,309,291,291,True,normal,ok,False,0
BBOB_F17,10,2,1,1,True,9,9,True,0,0,0,0,{},309,309,277,277,True,normal,ok,False,0
BBOB_F22,10,2,1,1,True,14,14,True,0,0,0,0,{},309,309,284,284,True,normal,ok,False,0
BBOB_F37,10,2,1,1,True,22,22,True,0,0,0,0,{},309,309,295,295,True,normal,ok,False,0
BBOB_F49,10,2,1,1,True,15,15,True,0,0,0,0,{},309,309,285,285,True,normal,ok,False,0
BBOB_F5,10,2,1,1,True,11,11,True,0,0,0,0,{},309,309,280,280,True,normal,ok,False,0
BBOB_F55,10,2,1,1,True,17,17,True,0,0,0,0,{},309,309,288,288,True,normal,ok,False,0
DTLZ1,7,3,1,1,True,0,0,True,0,0,0,0,{},216,216,184,184,True,normal,ok,False,0
DTLZ2,12,3,1,1,True,0,0,True,0,0,0,0,{},371,371,317,317,True,normal,ok,False,0
DTLZ3,12,3,1,1,True,3,3,True,0,0,0,0,{},371,371,321,321,True,normal,ok,False,0
DTLZ4,12,3,1,1,True,0,0,True,0,0,0,0,{},371,371,317,317,True,normal,ok,False,0
DTLZ7,22,3,1,1,True,44,44,True,10,10,6,6,{},681,681,651,651,True,normal,ok,False,0
MMF1,2,2,1,1,True,0,0,True,0,0,6,6,{},61,61,60,60,True,normal,ok,False,0
MMF11_L,2,2,1,1,True,0,0,True,0,0,9,9,{},61,61,64,64,True,normal,ok,False,0
MMF16_20,20,3,1,1,True,0,0,True,0,0,0,0,{},619,619,531,531,True,normal,ok,False,0
MMF4,2,2,1,1,True,0,0,True,0,0,0,0,{},61,61,52,52,True,normal,ok,False,0
WFG1,22,2,1,1,True,1,1,True,0,0,0,0,{},681,681,587,587,True,normal,ok,False,0
WFG2,22,2,1,1,True,22,22,True,0,0,0,0,{},681,681,615,615,True,normal,ok,False,0
WFG4,22,2,1,1,True,1,1,True,0,0,0,0,{},681,681,587,587,True,normal,ok,False,0
WFG5,22,2,1,1,True,0,0,True,0,0,0,0,{},681,681,585,585,True,normal,ok,False,0
WFG9,22,2,1,1,True,3,3,True,0,0,0,0,{},681,681,589,589,True,normal,ok,False,0
ZDT1,30,2,1,1,True,28,28,True,0,0,0,0,{},929,929,836,836,True,normal,ok,False,0
ZDT3,30,2,1,1,True,55,55,True,0,0,0,0,{},929,929,872,872,True,normal,ok,False,0
ZDT4,10,2,1,1,True,59,59,True,0,0,0,0,{},309,309,344,344,True,normal,ok,False,0
ZDT6,10,2,1,1,True,14,14,True,0,0,0,0,{},309,309,284,284,True,normal,ok,False,0
