problema,D,M,fe_infill,s1,s2,s3,sh1,sh2,sh3,desvio_max_pp
BBOB_F1,10,2,198,54,72,72,27.272727272727273,36.36363636363637,36.36363636363637,6.060606060606062
BBOB_F17,10,2,198,60,69,69,30.303030303030305,34.84848484848485,34.84848484848485,3.030303030303031
BBOB_F22,10,2,198,57,71,70,28.78787878787879,35.85858585858586,35.35353535353536,4.545454545454547
BBOB_F37,10,2,198,52,73,73,26.262626262626263,36.86868686868687,36.86868686868687,7.070707070707073
BBOB_F49,10,2,198,56,71,71,28.282828282828284,35.85858585858586,35.85858585858586,5.050505050505052
BBOB_F5,10,2,198,59,70,69,29.7979797979798,35.35353535353536,34.84848484848485,3.5353535353535364
BBOB_F55,10,2,198,55,72,71,27.77777777777778,36.36363636363637,35.85858585858586,5.555555555555557
DTLZ1,7,3,137,46,46,45,33.57664233576642,33.57664233576642,32.846715328467155,0.48661800486618034
DTLZ2,12,3,237,79,79,79,33.333333333333336,33.333333333333336,33.333333333333336,0.0
DTLZ3,12,3,237,77,80,80,32.48945147679325,33.755274261603375,33.755274261603375,0.8438818565400865
DTLZ4,12,3,237,79,79,79,33.333333333333336,33.333333333333336,33.333333333333336,0.0
DTLZ7,22,3,437,113,162,162,25.85812356979405,37.07093821510298,37.07093821510298,7.4752097635392865
MMF1,2,2,38,9,15,14,23.68421052631579,39.473684210526315,36.8421052631579,9.649122807017545
MMF11_L,2,2,38,7,16,15,18.42105263157895,42.10526315789474,39.473684210526315,14.912280701754387
MMF16_20,20,3,397,133,132,132,33.50125944584383,33.249370277078086,33.249370277078086,0.16792611251049294
MMF4,2,2,38,13,13,12,34.21052631578947,34.21052631578947,31.57894736842105,1.7543859649122844
WFG1,22,2,438,146,146,146,33.333333333333336,33.333333333333336,33.333333333333336,0.0
WFG2,22,2,438,132,153,153,30.136986301369863,34.93150684931507,34.93150684931507,3.196347031963473
WFG4,22,2,438,146,146,146,33.333333333333336,33.333333333333336,33.333333333333336,0.0
WFG5,22,2,438,146,146,146,33.333333333333336,33.333333333333336,33.333333333333336,0.0
WFG9,22,2,438,144,147,147,32.87671232876713,33.56164383561644,33.56164383561644,0.4566210045662089
ZDT1,30,2,598,181,209,208,30.267558528428093,34.94983277591973,34.78260869565217,3.0657748049052422
ZDT3,30,2,598,163,218,217,27.25752508361204,36.45484949832776,36.2876254180602,6.075808249721295
ZDT4,10,2,198,27,86,85,13.636363636363637,43.43434343434343,42.92929292929293,19.6969696969697
ZDT6,10,2,198,57,71,70,28.78787878787879,35.85858585858586,35.35353535353536,4.545454545454547
