problema,est,n,err_med,f_med,wape_med
BBOB_F1,2,72,0.00613331794738765,22.653990983963013,0.00026305974039022786
BBOB_F1,3,72,0.044118728488683645,29.715702056884766,0.0014147831820047019
BBOB_F17,2,69,834831.41588974,392380.97218322754,1.90346642847161
BBOB_F17,3,69,466954.3610305786,918774.0150623322,0.5194471129774078
BBOB_F22,2,71,61304.28713989258,45959.197174072266,1.1405240538608454
BBOB_F22,3,70,8036.465072631836,6572.749267578125,2.1126881736791785
BBOB_F37,2,73,2564.3686752319336,1276.9625244140625,2.2163032829860194
BBOB_F37,3,73,130.5169677734375,421.7571563720703,0.3327081418329775
BBOB_F49,2,71,459.2313299179077,344.87310791015625,1.3878435496217856
BBOB_F49,3,71,77.27667617797852,187.59452533721924,0.3703495044969298
BBOB_F5,2,70,348.69310569763184,549.1756311655045,0.7230331048199736
BBOB_F5,3,69,14.020858764648438,207.90087890625,0.07448452739301877
BBOB_F55,2,72,197.3196873664856,83.83562850952148,2.334431567591609
BBOB_F55,3,71,19.38475227355957,64.01254653930664,0.3185627875847896
DTLZ1,2,46,310.3773317337036,41.87641827265421,4.731331396647342
DTLZ1,3,45,58.59636433919271,57.81575775146485,1.0350189603276794
DTLZ2,2,79,0.0347176461170117,0.5934703846772512,0.062069849675122794
DTLZ2,3,79,0.0455239613850911,0.5657517810662588,0.08647667217572695
DTLZ3,2,80,547.9042021334171,345.21337381998694,1.4915364863322202
DTLZ3,3,80,312.4911262194315,258.7853304545084,1.1589620927238102
DTLZ4,2,79,0.7173265988628069,0.6056553863690084,1.2063109147668727
DTLZ4,3,79,0.2836697857516507,0.4788185954093933,0.5531323026267353
DTLZ7,2,162,7.97999027329691,4.697888764886253,1.6262665606485474
DTLZ7,3,162,0.41027606002171524,2.0673162390788398,0.19213626986704707
MMF1,2,15,2.050271870102734,0.652016781270504,1.3192094886265393
MMF1,3,14,1.8298519998788834,0.6881372581701726,1.994912825672523
MMF11_L,2,16,0.5413451418280602,1.7412632629275322,0.3113313215205712
MMF11_L,3,15,0.1547473967075348,2.873205080628395,0.052949288535781416
MMF16_20,2,132,0.7786595703413088,1.1842460831006367,0.6245416771746636
MMF16_20,3,132,0.2438091554989417,1.081057369709015,0.22323458174154265
MMF4,2,13,0.1056507527828216,0.6437810584902763,0.1731570904439468
MMF4,3,12,0.0507327537052333,0.6088744103908539,0.08509026526297434
WFG1,2,146,0.8450213521718979,1.9733953326940536,0.42089401128317605
WFG1,3,146,0.4200226962566376,2.1991666853427887,0.18680296213690223
WFG2,2,153,32.0456782579422,2.684235453605652,11.811571048104579
WFG2,3,153,1.4087291359901428,1.8040352165699003,0.6559522006043023
WFG4,2,146,4.603964440524578,2.2480169534683228,2.0635607520612376
WFG4,3,146,1.1837829854339361,1.792077124118805,0.6248549554343229
WFG5,2,146,2.645556438714266,2.26521797478199,1.2307239047480958
WFG5,3,146,1.4978113658726215,2.038723796606064,0.690408981667288
WFG9,2,147,4.424128890037537,2.6931185722351074,1.6533251463858412
WFG9,3,147,2.0199025869369507,2.421965003013611,0.8543290838991198
ZDT1,2,209,2.211088870524236,1.4184972047805786,1.1804687419231759
ZDT1,3,208,0.055635273456573445,0.5818007737398148,0.0948158993482067
ZDT3,2,218,1.9076587225581534,1.9532284569140757,1.028084908836113
ZDT3,3,217,0.3620443344116211,1.044969379901886,0.34197507058559756
ZDT4,2,86,185.42028287914582,84.28616226495069,2.1524233907258266
ZDT4,3,85,39.47908014431596,55.22116744145751,0.6520890878727856
ZDT6,2,71,0.5797720849514008,3.759495347738266,0.18548636220282888
ZDT6,3,70,0.6335901245474815,3.786044128239155,0.15434137975018145
