problema,geracao,aceito,range0,n_front_ev,n_sigma_val,hv_base,hv_gain,score_best,pos,is_argmax,dif_sig_score
BBOB_F1,3,1,False,100,100,0.9459785947190733,0.05402140528092669,1.0,2,True,2.9577514659706594e-08
BBOB_F1,7,1,False,100,100,0.3169865446349295,0.6830134553650705,1.0,4,True,4.341804105134628e-08
BBOB_F1,11,1,False,100,100,0.8991234663130666,0.0559724126691683,0.9550958789822349,30,True,3.60609914151766e-08
BBOB_F1,15,1,False,100,100,0.5335633656327754,0.10875784245657827,0.6423212080893537,45,True,2.9275301072217985e-08
BBOB_F1,19,1,False,100,100,0.5952780293212534,0.029369234142665235,0.6246472634639186,57,True,2.701717605191334e-08
BBOB_F1,23,1,False,100,100,0.6199540306919187,0.02559621373684995,0.6455502444287686,36,True,3.007120197295876e-08
BBOB_F1,27,1,False,100,100,0.6575527585850642,0.01305346118700923,0.6706062197720735,27,True,2.8292982401367794e-08
BBOB_F1,31,1,False,100,100,0.6682805945127512,0.012504005363111359,0.6807845998758626,65,True,3.026418937679409e-08
BBOB_F1,35,1,False,100,100,0.6823651890515636,0.007221456769617163,0.6895866458211808,44,True,3.471380960462511e-08
BBOB_F1,39,1,False,100,100,0.7191710112484123,0.0056563026419022,0.7248273138903145,27,True,2.8531807250153918e-08
BBOB_F1,43,1,False,100,100,0.7462019022684934,0.01896017102160874,0.7651620732901021,62,True,3.016177396730768e-08
BBOB_F1,47,1,False,100,100,0.7718578545986696,0.00674499092255465,0.7786028455212243,40,True,2.9007902080380177e-08
BBOB_F1,51,1,False,100,100,0.7771061556878429,0.0030503911778760884,0.780156546865719,55,True,3.2549824169336716e-08
BBOB_F1,55,1,False,100,100,0.7834277565392183,0.0025436226475684665,0.7859713791867867,68,True,2.9479757079897695e-08
BBOB_F1,59,1,False,100,100,0.7875765425390201,0.002017788420813793,0.7895943309598339,97,True,3.043053575790822e-08
BBOB_F1,63,1,False,100,100,0.7911250684140969,0.0015088129158962182,0.7926338813299931,46,True,2.9775385934627252e-08
BBOB_F1,67,1,False,100,100,0.8327050335120543,0.003379605407543229,0.8360846389195975,9,True,2.905117746365704e-08
BBOB_F1,71,1,False,100,100,0.8267114141344738,0.006482444289280798,0.8331938584237546,12,True,3.004971027564807e-08
BBOB_F1,75,1,False,100,100,0.834950304370647,0.001220513867799533,0.8361708182384465,84,True,2.926514142131964e-08
BBOB_F1,79,1,False,100,100,0.8654095539422446,0.0021849676407065255,0.8675945215829511,24,True,2.984239522163534e-08
BBOB_F1,83,1,False,100,100,0.8519328500231841,0.0007998744828977555,0.8527327245060818,4,True,2.919401775880459e-08
BBOB_F1,87,1,False,100,100,0.8598385697101145,0.0007931216844283551,0.8606316913945429,16,True,2.9519873656624895e-08
BBOB_F1,91,1,False,100,100,0.8517384230136351,0.0005899989942879103,0.852328422007923,34,True,2.976511059848974e-08
BBOB_F1,95,1,False,100,100,0.8525594213234569,0.0005251094380874788,0.8530845307615443,97,True,2.9448636862383637e-08
BBOB_F1,99,1,False,100,100,0.8532612118675656,0.0005880790234487066,0.8538492908910144,11,True,2.9050507222017075e-08
BBOB_F1,103,1,False,100,100,0.8538971766291107,0.00039424144480215695,0.8542914180739128,92,True,2.9408689372623087e-08
BBOB_F1,107,1,False,100,100,0.8545582528263687,0.00044453144169498415,0.8550027842680636,57,True,2.8868694101902292e-08
BBOB_F1,111,1,False,100,100,0.8552301334821738,0.00032808354151003805,0.8555582170236838,35,True,2.9725989114659512e-08
BBOB_F1,115,1,False,100,100,0.8556045963446457,0.00028434184345838,0.8558889381881041,48,True,2.965637468932414e-08
BBOB_F1,119,1,False,100,100,0.868865413272007,0.0001954402431708635,0.8690608535151778,46,True,2.9735955364706967e-08
BBOB_F1,123,1,False,100,100,0.873939799838263,0.0003184385982148985,0.8742582384364779,20,True,2.9756483721499194e-08
BBOB_F1,127,1,False,100,100,0.8623230348654278,0.00022876364270407734,0.8625517985081319,75,True,2.8956153030890164e-08
BBOB_F1,131,1,False,100,100,0.8626690352469388,0.0001996989904784474,0.8628687342374173,54,True,2.9190857064875786e-08
BBOB_F1,135,1,False,100,100,0.8554088023434533,0.00023161711847241584,0.8556404194619257,32,True,2.9476205809508826e-08
BBOB_F1,139,1,False,100,100,0.8556938576210978,0.00017363249664992253,0.8558674901177478,19,True,2.949572996957528e-08
BBOB_F1,143,1,False,100,100,0.8559452748791258,0.00020144343417016763,0.8561467183132959,18,True,2.871595217168732e-08
BBOB_F1,147,1,False,100,100,0.8563154652353645,0.00016820183385468646,0.8564836670692192,89,True,2.9550118019194827e-08
BBOB_F1,151,1,False,100,100,0.8564842039704815,0.00016339661845132802,0.8566476005889329,5,True,2.9773232879115596e-08
BBOB_F1,155,1,False,100,100,0.8567243754853483,0.00017693797422957402,0.8569013134595779,2,True,2.929780051896813e-08
BBOB_F1,159,1,False,100,100,0.8569351913213937,0.00017640472922453299,0.8571115960506183,57,True,2.9205399543208443e-08
BBOB_F1,163,1,False,100,100,0.8571011398357099,0.00018699673267530414,0.8572881365683852,77,True,2.9790111155669763e-08
BBOB_F1,167,1,False,100,100,0.857408703210185,0.00015326002523030624,0.8575619632354153,13,True,2.9693128289487447e-08
BBOB_F1,171,1,False,100,100,0.857699817459055,0.00012369499134812223,0.8578235124504031,88,True,2.925518527430171e-08
BBOB_F1,175,1,False,100,100,0.8578320900422026,0.00014455090181120234,0.8579766409440138,81,True,2.9410139545937852e-08
BBOB_F1,179,1,False,100,100,0.8580072204947385,0.00012576057656410455,0.8581329810713026,27,True,2.9389656153178123e-08
BBOB_F1,183,1,False,100,100,0.8581744725050992,8.954306757402719e-05,0.8582640155726732,81,True,2.977240753931909e-08
BBOB_F1,187,1,False,100,100,0.8583453808251195,0.00010068498094639722,0.8584460658060659,7,True,2.9288423575302147e-08
BBOB_F1,191,1,False,100,100,0.8585110775462256,9.826130723578075e-05,0.8586093388534614,28,True,2.9088752628858572e-08
BBOB_F1,195,1,False,100,100,0.8586122193212811,8.094491964660833e-05,0.8586931642409277,9,True,2.9258166556189735e-08
BBOB_F1,199,1,False,100,100,0.8587482720547095,9.080974231934213e-05,0.8588390817970288,19,True,2.9799865908231027e-08
BBOB_F1,203,1,False,100,100,0.8589024590580701,6.628768390881667e-05,0.8589687467419789,30,True,2.9652481137176778e-08
BBOB_F1,207,1,False,100,100,0.8589950905940582,7.049022417104922e-05,0.8590655808182293,9,True,2.8798845530531025e-08
BBOB_F1,211,1,False,100,100,0.8591106153643439,7.636841844482767e-05,0.8591869837827887,94,True,2.9774227416901056e-08
BBOB_F1,215,1,False,100,100,0.8592413842469774,6.60426322793839e-05,0.8593074268792568,69,True,2.9752393326809567e-08
BBOB_F1,219,1,False,100,100,0.8593213955383524,6.85526674406578e-05,0.8593899482057931,71,True,2.9732398432180673e-08
BBOB_F1,223,1,False,100,100,0.8594210960678491,6.188610608282019e-05,0.8594829821739319,74,True,2.9457992378745246e-08
BBOB_F1,227,1,False,100,100,0.8595064385893229,6.92583280264003e-05,0.8595756969173493,52,True,2.91899605597834e-08
