problema,est,n,argmax,achado
BBOB_F1,1,54,4,54
BBOB_F1,2,72,72,72
BBOB_F1,3,72,3,72
BBOB_F17,1,60,6,60
BBOB_F17,2,69,69,69
BBOB_F17,3,69,28,69
BBOB_F22,1,57,2,57
BBOB_F22,2,71,71,71
BBOB_F22,3,70,43,70
BBOB_F37,1,52,3,52
BBOB_F37,2,73,73,73
BBOB_F37,3,73,59,73
BBOB_F49,1,56,10,56
BBOB_F49,2,71,71,71
BBOB_F49,3,71,50,71
BBOB_F5,1,59,2,59
BBOB_F5,2,70,70,70
BBOB_F5,3,69,30,69
BBOB_F55,1,55,3,55
BBOB_F55,2,72,72,72
BBOB_F55,3,71,37,71
DTLZ1,1,46,4,46
DTLZ1,2,46,46,46
DTLZ1,3,45,25,45
DTLZ2,1,79,9,79
DTLZ2,2,79,79,79
DTLZ2,3,79,24,79
DTLZ3,1,77,8,77
DTLZ3,2,80,80,80
DTLZ3,3,80,53,80
DTLZ4,1,79,9,79
DTLZ4,2,79,79,79
DTLZ4,3,79,54,79
DTLZ7,1,113,11,113
DTLZ7,2,162,152,162
DTLZ7,3,162,110,162
MMF1,1,9,1,9
MMF1,2,15,15,15
MMF1,3,14,5,14
MMF11_L,1,7,2,7
MMF11_L,2,16,16,16
MMF11_L,3,15,5,15
MMF16_20,1,133,34,133
MMF16_20,2,132,132,132
MMF16_20,3,132,68,132
MMF4,1,13,0,13
MMF4,2,13,13,13
MMF4,3,12,2,12
WFG1,1,146,22,146
WFG1,2,146,146,146
WFG1,3,146,110,146
WFG2,1,132,14,132
WFG2,2,153,153,153
WFG2,3,153,131,153
WFG4,1,146,19,146
WFG4,2,146,146,146
WFG4,3,146,128,146
WFG5,1,146,29,146
WFG5,2,146,146,146
WFG5,3,146,121,146
WFG9,1,144,12,144
WFG9,2,147,147,147
WFG9,3,147,119,147
ZDT1,1,181,18,181
ZDT1,2,209,209,209
ZDT1,3,208,120,208
ZDT3,1,163,23,163
ZDT3,2,218,218,218
ZDT3,3,217,194,217
ZDT4,1,27,3,27
ZDT4,2,86,86,86
ZDT4,3,85,75,85
ZDT6,1,57,8,57
ZDT6,2,71,71,71
ZDT6,3,70,31,70
