problema,D,M,maxfe,init,igd_nosso,igdplus_nosso,hv_nosso,paper_D30,paper_menor_D,razao_orcamento,razao_D
ZDT1,30,2,929,329,0.0788764823504613,0.0788587012299298,0.7462493183346686,0.17209,30,3.0966666666666667,1.0
ZDT3,30,2,929,329,0.3814646791764571,0.3814646791764571,0.231330916921642,0.80636,30,3.0966666666666667,1.0
ZDT4,10,2,309,109,63.5444256369454,63.54204099378331,0.0,269.38,30,1.03,0.3333333333333333
ZDT6,10,2,309,109,1.6797022619760953,1.6797022618694768,0.0,1.6945,30,1.03,0.3333333333333333
DTLZ1,7,3,216,76,63.01379932990874,63.01379932990874,0.0,286.4,30,0.72,0.23333333333333334
DTLZ2,12,3,371,131,0.1422877425339954,0.1280762450487692,0.5078391379721569,0.29013,30,1.2366666666666666,0.4
DTLZ3,12,3,371,131,226.2298910923393,226.2287953273139,0.0,676.09,30,1.2366666666666666,0.4
DTLZ4,12,3,371,131,0.4166783122391452,0.2528198311443027,0.2078539337576606,1.0051,30,1.2366666666666666,0.4
DTLZ7,22,3,681,241,0.1248047531271688,0.097828017043347,0.4298834457004057,0.80399,30,2.27,0.7333333333333333
