problema,D,M,n_ev,fbest_max,fbest_exato,nf1_n,nf1_ok,nD,okD,nE,okE
BBOB_F1,10,2,217,1.1783028028844456e-06,0,10,10,73,73,62,11
BBOB_F17,10,2,207,0.0032470667210873216,0,10,10,69,69,60,1
BBOB_F22,10,2,212,5.931727241659246e-05,0,10,10,71,71,57,0
BBOB_F37,10,2,220,2.4981133719848003e-05,0,10,10,74,74,52,1
BBOB_F49,10,2,213,6.076223371564993e-06,0,10,10,71,71,56,2
BBOB_F5,10,2,209,2.9309754609130323e-05,0,10,10,70,70,59,0
BBOB_F55,10,2,215,1.8221229538539774e-06,0,10,10,72,72,55,0
DTLZ1,7,3,137,4.995470315183326e-09,98,10,7,46,46,46,1
DTLZ2,12,3,237,2.667471174500058e-10,0,10,10,79,79,79,11
DTLZ3,12,3,240,2.4908005791246524e-07,0,10,10,80,80,77,4
DTLZ4,12,3,237,9.813794055180125e-09,0,10,0,79,79,79,4
DTLZ7,22,3,487,4.519137863923106e-07,0,10,10,163,163,119,14
MMF1,2,2,44,1.2726545234320596e-09,0,10,10,15,15,15,6
MMF11_L,2,2,47,4.775243467314283e-08,0,10,10,16,16,16,12
MMF16_20,20,3,397,1.761350180290444e-11,0,10,10,133,133,133,47
MMF4,2,2,38,8.034932441614018e-10,0,10,10,13,13,13,1
WFG1,22,2,439,2.4806131038168644e-08,0,10,10,147,147,147,24
WFG2,22,2,460,2.8792879858130505e-08,0,10,10,154,154,133,12
WFG4,22,2,439,1.656969761398841e-08,0,10,10,147,147,147,19
WFG5,22,2,438,1.6654935874882426e-08,0,10,10,146,146,146,25
WFG9,22,2,441,3.209040499996263e-08,0,10,10,147,147,144,12
ZDT1,30,2,626,1.1357501339404052e-07,0,10,10,209,209,181,19
ZDT3,30,2,653,1.0686752949240486e-07,0,10,10,218,218,163,25
ZDT4,10,2,257,3.1493548533489957e-06,0,10,10,86,86,27,0
ZDT6,10,2,212,2.066341346917966e-07,0,10,10,71,71,57,4
