cel,prob,cfg,obj,wape,corr,mu_mean,mu_std,mu_min,mu_max,f_mean,f_std,sd_rel,mu_amp_rel,mu_mean_rel,col_wape1,col_inerte,col_inerte_frouxo,col_const_naozero
BBOB_F1,BBOB_F1,moead_media,0,0.06815041316940498,0.9650728357057932,113.28383407330513,36.51847462557165,4.927934646606445,274.175537109375,115.59609330177157,40.39827823290031,0.903961164261477,0.9134888876871613,0.9799970815412409,False,False,False,False
BBOB_F1,BBOB_F1,moead_media,1,0.06593291886991585,0.9663634911876027,112.97342899923325,37.00030069733798,7.233874320983887,260.7861022949219,115.18703375926265,40.2061112057539,0.9202655911682118,0.8659279394496406,0.9807825178947158,False,False,False,False
BBOB_F1,BBOB_F1,b5m,0,0.06815041232542418,0.9650728365535054,113.2838341161251,36.51847467439802,4.927934646606445,274.175537109375,115.59609330177157,40.39827823290031,0.9039611654701021,0.9134888876871613,0.9799970819116685,False,False,False,False
BBOB_F1,BBOB_F1,b5m,1,0.06593292004413534,0.966363489967118,112.97342893931865,37.00030063492561,7.2338738441467285,260.7861022949219,115.18703375926265,40.2061112057539,0.9202655896159013,0.8659279410781281,0.9807825173745652,False,False,False,False
BBOB_F1,BBOB_F1,b5r,0,0.06815041589419243,0.9650728326782602,113.28383392045498,36.5184744817428,4.927934169769287,274.175537109375,115.59609330177157,40.39827823290031,0.9039611607012052,0.9134888893049489,0.9799970802189631,False,False,False,False
BBOB_F1,BBOB_F1,b5r,1,0.06593291982183466,0.9663634902013521,112.97342895100117,37.00030064936794,7.2338738441467285,260.7861022949219,115.18703375926265,40.2061112057539,0.9202655899751085,0.8659279410781281,0.9807825174759874,False,False,False,False
BBOB_F17,BBOB_F17,moead_media,0,0.1772479331396831,0.9636046248018433,22123907.18054742,19476777.13014971,-6094316.5,80972024.0,23555321.593487196,22335627.115157984,0.8720049376599717,1.1224260928183452,0.9392318034267234,False,False,False,False
BBOB_F17,BBOB_F17,moead_media,1,0.9999956659537776,0.008148985010961458,0.0007550834801854807,0.049609358142427416,5.556260514925046e-40,6.21132755279541,174.22137223772143,250.98924913434666,0.00019765531118774368,0.001532272438171306,4.334046222269361e-06,True,True,True,False
BBOB_F17,BBOB_F17,b5m,0,0.1772479350703001,0.9636046239518503,22123907.150549244,19476777.090902746,-6094316.5,80972024.0,23555321.593487196,22335627.115157984,0.8720049359028254,1.1224260928183452,0.9392318021532033,False,False,False,False
BBOB_F17,BBOB_F17,b5m,1,0.4292167816206018,0.7601436446950043,139.01221761316097,164.61060550803887,-93.2039794921875,2292.904296875,174.22137223772143,250.98924913434666,0.6558472367871342,0.5886290676659651,0.7979056520314953,False,False,False,False
BBOB_F17,BBOB_F17,b5r,0,0.1772479350703813,0.9636046239518335,22123907.150547326,19476777.09090495,-6094316.5,80972024.0,23555321.593487196,22335627.115157984,0.872004935902924,1.1224260928183452,0.9392318021531219,False,False,False,False
