label,problema,D,pop,dataset_basename,dataset_dX,lhs_estrat,fora_bounds,linhas_busca
BBOB_F1,BBOB_F1,10,50,ds_BBOB_F1_42.parquet,0.0,10,0,40050
BBOB_F17,BBOB_F17,10,50,ds_BBOB_F17_42.parquet,0.0,10,0,40050
BBOB_F22,BBOB_F22,10,50,ds_BBOB_F22_42.parquet,0.0,10,0,40050
BBOB_F37,BBOB_F37,10,50,ds_BBOB_F37_42.parquet,0.0,10,0,40050
BBOB_F49,BBOB_F49,10,50,ds_BBOB_F49_42.parquet,0.0,10,0,40050
BBOB_F5,BBOB_F5,10,50,ds_BBOB_F5_42.parquet,0.0,10,0,40050
BBOB_F55,BBOB_F55,10,50,ds_BBOB_F55_42.parquet,0.0,10,0,40050
DTLZ1,DTLZ1,7,105,ds_DTLZ1_42.parquet,0.0,7,0,40005
DTLZ2,DTLZ2,12,105,ds_DTLZ2_42.parquet,0.0,12,0,40005
DTLZ3,DTLZ3,12,105,ds_DTLZ3_42.parquet,0.0,12,0,40005
DTLZ4,DTLZ4,12,105,ds_DTLZ4_42.parquet,0.0,12,0,40005
DTLZ7,DTLZ7,22,105,ds_DTLZ7_42.parquet,0.0,22,0,40005
MMF1,MMF1,2,50,ds_MMF1_42.parquet,0.0,2,0,40050
MMF11_L,MMF11_L,2,50,ds_MMF11_L_42.parquet,0.0,2,0,40050
MMF16_20,MMF16_20,20,105,ds_MMF16_20_42.parquet,0.0,20,0,40005
MMF4,MMF4,2,50,ds_MMF4_42.parquet,0.0,2,0,40050
WFG1,WFG1,22,50,ds_WFG1_42.parquet,0.0,22,0,40050
WFG2,WFG2,22,50,ds_WFG2_42.parquet,0.0,22,0,40050
WFG4,WFG4,22,50,ds_WFG4_42.parquet,0.0,22,0,40050
WFG5,WFG5,22,50,ds_WFG5_42.parquet,0.0,22,0,40050
WFG9,WFG9,22,50,ds_WFG9_42.parquet,0.0,22,0,40050
ZDT1,ZDT1,30,50,ds_ZDT1_42.parquet,0.0,30,0,40050
ZDT3,ZDT3,30,50,ds_ZDT3_42.parquet,0.0,30,0,40050
ZDT4,ZDT4,10,50,ds_ZDT4_42.parquet,0.0,10,0,40050
ZDT6,ZDT6,10,50,ds_ZDT6_42.parquet,0.0,10,0,40050
swap_medium-lhs_DTLZ2,DTLZ2,12,105,ds_DTLZ2_42_medium_lhs.parquet,0.0,12,0,40005
swap_medium-lhs_MMF16_20,MMF16_20,20,105,ds_MMF16_20_42_medium_lhs.parquet,0.0,20,0,40005
swap_medium-lhs_WFG9,WFG9,22,50,ds_WFG9_42_medium_lhs.parquet,0.0,22,0,40050
swap_medium-lhs_ZDT1,ZDT1,30,50,ds_ZDT1_42_medium_lhs.parquet,0.0,30,0,40050
swap_medium-lhs_ZDT4,ZDT4,10,50,ds_ZDT4_42_medium_lhs.parquet,0.0,10,0,40050
swap_medium-mvns_DTLZ2,DTLZ2,12,105,ds_DTLZ2_42_medium_mvns.parquet,0.0,12,0,40005
swap_medium-mvns_MMF16_20,MMF16_20,20,105,ds_MMF16_20_42_medium_mvns.parquet,0.0,20,0,40005
swap_medium-mvns_WFG9,WFG9,22,50,ds_WFG9_42_medium_mvns.parquet,0.0,22,0,40050
swap_medium-mvns_ZDT1,ZDT1,30,50,ds_ZDT1_42_medium_mvns.parquet,0.0,30,0,40050
swap_medium-mvns_ZDT4,ZDT4,10,50,ds_ZDT4_42_medium_mvns.parquet,0.0,10,0,40050
swap_small-lhs_DTLZ2,DTLZ2,12,105,ds_DTLZ2_42.parquet,0.0,12,0,40005
swap_small-lhs_MMF16_20,MMF16_20,20,105,ds_MMF16_20_42.parquet,0.0,20,0,40005
swap_small-lhs_WFG9,WFG9,22,50,ds_WFG9_42.parquet,0.0,22,0,40050
swap_small-lhs_ZDT1,ZDT1,30,50,ds_ZDT1_42.parquet,0.0,30,0,40050
swap_small-lhs_ZDT4,ZDT4,10,50,ds_ZDT4_42.parquet,0.0,10,0,40050
swap_small-mvns_DTLZ2,DTLZ2,12,105,ds_DTLZ2_42_small_mvns.parquet,0.0,12,0,40005
swap_small-mvns_MMF16_20,MMF16_20,20,105,ds_MMF16_20_42_small_mvns.parquet,0.0,20,0,40005
swap_small-mvns_WFG9,WFG9,22,50,ds_WFG9_42_small_mvns.parquet,0.0,22,0,40050
swap_small-mvns_ZDT1,ZDT1,30,50,ds_ZDT1_42_small_mvns.parquet,0.0,30,0,40050
swap_small-mvns_ZDT4,ZDT4,10,50,ds_ZDT4_42_small_mvns.parquet,0.0,10,0,40050
