problema,D,M,n_linhas_1,n_gen,delta_ideal_vs_fbest_max,n_front1_min,n_front1_max,n_front1_final,nadir_pop_monotono,nadir_front1_monotono,custo_nds_200gen_s,tempo_total_s,overhead_pct
DTLZ2,12,3,2131,200,2.667471174500058e-10,42,116,116,1,0,0.049,3.2655,1.5
MMF16_20,20,3,2219,200,5.3614896810411095e-11,51,221,221,1,0,0.052,3.3378,1.6
WFG9,22,2,2241,200,3.209040411178421e-08,12,25,24,1,0,0.023,6.8203,0.3
ZDT1,30,2,2329,200,9.006027168467767e-08,14,27,26,1,1,0.025,3.3356,0.7
ZDT4,10,2,2109,200,3.426780324389256e-06,5,11,7,1,0,0.02,3.1561,0.6
