problema,geracao,fe,n_front1_rec
DTLZ2,1,141,42
DTLZ2,2,151,42
DTLZ2,3,161,42
DTLZ2,4,171,44
DTLZ2,5,181,47
DTLZ2,6,191,51
DTLZ2,7,201,52
DTLZ2,8,211,54
DTLZ2,9,221,56
DTLZ2,10,231,59
DTLZ2,11,241,60
DTLZ2,12,251,61
DTLZ2,13,261,63
DTLZ2,14,271,65
DTLZ2,15,281,66
DTLZ2,16,291,67
DTLZ2,17,301,69
DTLZ2,18,311,59
DTLZ2,19,321,60
DTLZ2,20,331,61
DTLZ2,21,341,63
DTLZ2,22,351,64
DTLZ2,23,361,64
DTLZ2,24,371,65
DTLZ2,25,381,66
DTLZ2,26,391,64
DTLZ2,27,401,64
DTLZ2,28,411,65
DTLZ2,29,421,65
DTLZ2,30,431,65
DTLZ2,31,441,65
DTLZ2,32,451,67
DTLZ2,33,461,68
DTLZ2,34,471,68
DTLZ2,35,481,68
DTLZ2,36,491,69
DTLZ2,37,501,70
DTLZ2,38,511,71
DTLZ2,39,521,72
DTLZ2,40,531,72
DTLZ2,41,541,70
DTLZ2,42,551,70
DTLZ2,43,561,71
DTLZ2,44,571,72
DTLZ2,45,581,72
DTLZ2,46,591,72
DTLZ2,47,601,72
DTLZ2,48,611,72
DTLZ2,49,621,73
DTLZ2,50,631,73
DTLZ2,51,641,74
DTLZ2,52,651,74
DTLZ2,53,661,71
DTLZ2,54,671,71
DTLZ2,55,681,72
DTLZ2,56,691,74
DTLZ2,57,701,74
DTLZ2,58,711,74
DTLZ2,59,721,75
DTLZ2,60,731,74
DTLZ2,61,741,76
DTLZ2,62,751,76
DTLZ2,63,761,76
DTLZ2,64,771,78
DTLZ2,65,781,80
DTLZ2,66,791,82
DTLZ2,67,801,83
DTLZ2,68,811,80
DTLZ2,69,821,82
DTLZ2,70,831,83
DTLZ2,71,841,84
DTLZ2,72,851,83
DTLZ2,73,861,84
DTLZ2,74,871,85
DTLZ2,75,881,86
DTLZ2,76,891,86
DTLZ2,77,901,86
DTLZ2,78,911,86
DTLZ2,79,921,87
DTLZ2,80,931,85
DTLZ2,81,941,86
DTLZ2,82,951,88
DTLZ2,83,961,88
DTLZ2,84,971,86
DTLZ2,85,981,86
DTLZ2,86,991,88
DTLZ2,87,1001,82
DTLZ2,88,1011,82
DTLZ2,89,1021,82
DTLZ2,90,1031,82
DTLZ2,91,1041,82
DTLZ2,92,1051,82
DTLZ2,93,1061,82
DTLZ2,94,1071,82
DTLZ2,95,1081,83
DTLZ2,96,1091,83
DTLZ2,97,1101,81
DTLZ2,98,1111,82
DTLZ2,99,1121,85
DTLZ2,100,1131,85
DTLZ2,101,1141,86
DTLZ2,102,1151,87
DTLZ2,103,1161,88
DTLZ2,104,1171,88
DTLZ2,105,1181,88
DTLZ2,106,1191,88
DTLZ2,107,1201,88
DTLZ2,108,1211,89
DTLZ2,109,1221,89
DTLZ2,110,1231,90
DTLZ2,111,1241,91
DTLZ2,112,1251,91
DTLZ2,113,1261,92
DTLZ2,114,1271,92
DTLZ2,115,1281,92
DTLZ2,116,1291,92
DTLZ2,117,1301,93
DTLZ2,118,1311,94
DTLZ2,119,1321,94
DTLZ2,120,1331,95
DTLZ2,121,1341,95
DTLZ2,122,1351,96
DTLZ2,123,1361,96
DTLZ2,124,1371,97
DTLZ2,125,1381,98
DTLZ2,126,1391,97
DTLZ2,127,1401,98
DTLZ2,128,1411,96
DTLZ2,129,1421,97
DTLZ2,130,1431,95
DTLZ2,131,1441,95
DTLZ2,132,1451,94
DTLZ2,133,1461,95
DTLZ2,134,1471,95
DTLZ2,135,1481,96
DTLZ2,136,1491,96
DTLZ2,137,1501,96
DTLZ2,138,1511,99
DTLZ2,139,1521,99
DTLZ2,140,1531,99
DTLZ2,141,1541,99
DTLZ2,142,1551,100
DTLZ2,143,1561,100
DTLZ2,144,1571,100
DTLZ2,145,1581,101
DTLZ2,146,1591,101
DTLZ2,147,1601,100
DTLZ2,148,1611,100
DTLZ2,149,1621,100
DTLZ2,150,1631,99
DTLZ2,151,1641,99
DTLZ2,152,1651,98
DTLZ2,153,1661,99
DTLZ2,154,1671,97
DTLZ2,155,1681,97
DTLZ2,156,1691,98
DTLZ2,157,1701,99
DTLZ2,158,1711,99
DTLZ2,159,1721,100
DTLZ2,160,1731,100
DTLZ2,161,1741,100
DTLZ2,162,1751,101
DTLZ2,163,1761,102
DTLZ2,164,1771,102
DTLZ2,165,1781,102
DTLZ2,166,1791,103
DTLZ2,167,1801,103
DTLZ2,168,1811,105
DTLZ2,169,1821,106
DTLZ2,170,1831,106
DTLZ2,171,1841,107
DTLZ2,172,1851,107
DTLZ2,173,1861,107
DTLZ2,174,1871,107
DTLZ2,175,1881,107
DTLZ2,176,1891,105
DTLZ2,177,1901,106
DTLZ2,178,1911,106
DTLZ2,179,1921,105
DTLZ2,180,1931,105
DTLZ2,181,1941,106
DTLZ2,182,1951,108
DTLZ2,183,1961,109
DTLZ2,184,1971,109
DTLZ2,185,1981,109
DTLZ2,186,1991,110
DTLZ2,187,2001,112
DTLZ2,188,2011,112
DTLZ2,189,2021,112
DTLZ2,190,2031,113
DTLZ2,191,2041,113
DTLZ2,192,2051,113
DTLZ2,193,2061,113
DTLZ2,194,2071,114
DTLZ2,195,2081,114
DTLZ2,196,2091,114
DTLZ2,197,2101,115
DTLZ2,198,2111,115
DTLZ2,199,2121,116
DTLZ2,200,2131,116
MMF16_20,1,229,51
MMF16_20,2,239,53
MMF16_20,3,249,54
MMF16_20,4,259,55
MMF16_20,5,269,56
MMF16_20,6,279,58
MMF16_20,7,289,58
MMF16_20,8,299,58
MMF16_20,9,309,58
MMF16_20,10,319,60
MMF16_20,11,329,63
MMF16_20,12,339,57
MMF16_20,13,349,59
MMF16_20,14,359,60
MMF16_20,15,369,61
MMF16_20,16,379,61
MMF16_20,17,389,63
MMF16_20,18,399,65
MMF16_20,19,409,66
MMF16_20,20,419,68
MMF16_20,21,429,68
MMF16_20,22,439,69
MMF16_20,23,449,68
MMF16_20,24,459,70
MMF16_20,25,469,70
MMF16_20,26,479,70
MMF16_20,27,489,70
MMF16_20,28,499,70
MMF16_20,29,509,72
MMF16_20,30,519,73
MMF16_20,31,529,73
MMF16_20,32,539,75
MMF16_20,33,549,75
MMF16_20,34,559,75
MMF16_20,35,569,78
MMF16_20,36,579,81
MMF16_20,37,589,82
MMF16_20,38,599,84
MMF16_20,39,609,85
MMF16_20,40,619,85
MMF16_20,41,629,83
MMF16_20,42,639,84
MMF16_20,43,649,85
MMF16_20,44,659,86
MMF16_20,45,669,86
MMF16_20,46,679,87
MMF16_20,47,689,88
MMF16_20,48,699,89
MMF16_20,49,709,90
MMF16_20,50,719,92
MMF16_20,51,729,93
MMF16_20,52,739,96
MMF16_20,53,749,95
MMF16_20,54,759,95
MMF16_20,55,769,98
MMF16_20,56,779,99
MMF16_20,57,789,100
MMF16_20,58,799,103
MMF16_20,59,809,105
MMF16_20,60,819,105
MMF16_20,61,829,105
MMF16_20,62,839,107
MMF16_20,63,849,108
MMF16_20,64,859,109
MMF16_20,65,869,110
MMF16_20,66,879,111
MMF16_20,67,889,111
MMF16_20,68,899,113
MMF16_20,69,909,115
MMF16_20,70,919,117
MMF16_20,71,929,119
MMF16_20,72,939,121
MMF16_20,73,949,122
MMF16_20,74,959,123
MMF16_20,75,969,123
MMF16_20,76,979,125
MMF16_20,77,989,126
MMF16_20,78,999,127
MMF16_20,79,1009,127
MMF16_20,80,1019,128
MMF16_20,81,1029,129
MMF16_20,82,1039,132
MMF16_20,83,1049,135
MMF16_20,84,1059,135
MMF16_20,85,1069,137
MMF16_20,86,1079,139
MMF16_20,87,1089,139
MMF16_20,88,1099,139
MMF16_20,89,1109,140
MMF16_20,90,1119,141
MMF16_20,91,1129,141
MMF16_20,92,1139,143
MMF16_20,93,1149,144
MMF16_20,94,1159,144
MMF16_20,95,1169,146
MMF16_20,96,1179,149
MMF16_20,97,1189,151
MMF16_20,98,1199,151
MMF16_20,99,1209,151
MMF16_20,100,1219,148
MMF16_20,101,1229,149
MMF16_20,102,1239,149
MMF16_20,103,1249,151
MMF16_20,104,1259,152
MMF16_20,105,1269,152
MMF16_20,106,1279,155
MMF16_20,107,1289,155
MMF16_20,108,1299,155
MMF16_20,109,1309,157
MMF16_20,110,1319,159
MMF16_20,111,1329,160
MMF16_20,112,1339,161
MMF16_20,113,1349,162
MMF16_20,114,1359,162
MMF16_20,115,1369,163
MMF16_20,116,1379,164
MMF16_20,117,1389,166
MMF16_20,118,1399,167
MMF16_20,119,1409,169
MMF16_20,120,1419,171
MMF16_20,121,1429,172
MMF16_20,122,1439,173
MMF16_20,123,1449,174
MMF16_20,124,1459,174
MMF16_20,125,1469,175
MMF16_20,126,1479,176
MMF16_20,127,1489,178
MMF16_20,128,1499,178
MMF16_20,129,1509,178
MMF16_20,130,1519,178
MMF16_20,131,1529,179
MMF16_20,132,1539,179
MMF16_20,133,1549,179
MMF16_20,134,1559,181
MMF16_20,135,1569,183
MMF16_20,136,1579,184
MMF16_20,137,1589,185
MMF16_20,138,1599,187
MMF16_20,139,1609,188
MMF16_20,140,1619,190
MMF16_20,141,1629,191
MMF16_20,142,1639,192
MMF16_20,143,1649,192
MMF16_20,144,1659,193
MMF16_20,145,1669,193
MMF16_20,146,1679,193
MMF16_20,147,1689,194
MMF16_20,148,1699,197
MMF16_20,149,1709,198
MMF16_20,150,1719,198
MMF16_20,151,1729,198
MMF16_20,152,1739,198
MMF16_20,153,1749,198
MMF16_20,154,1759,198
MMF16_20,155,1769,195
MMF16_20,156,1779,194
MMF16_20,157,1789,194
MMF16_20,158,1799,194
MMF16_20,159,1809,194
MMF16_20,160,1819,194
MMF16_20,161,1829,195
MMF16_20,162,1839,196
MMF16_20,163,1849,198
MMF16_20,164,1859,198
MMF16_20,165,1869,198
MMF16_20,166,1879,198
MMF16_20,167,1889,199
MMF16_20,168,1899,199
MMF16_20,169,1909,200
MMF16_20,170,1919,200
MMF16_20,171,1929,200
MMF16_20,172,1939,200
MMF16_20,173,1949,200
MMF16_20,174,1959,200
MMF16_20,175,1969,201
MMF16_20,176,1979,202
MMF16_20,177,1989,202
MMF16_20,178,1999,202
MMF16_20,179,2009,205
MMF16_20,180,2019,204
MMF16_20,181,2029,206
MMF16_20,182,2039,206
MMF16_20,183,2049,209
MMF16_20,184,2059,211
MMF16_20,185,2069,212
MMF16_20,186,2079,212
MMF16_20,187,2089,213
MMF16_20,188,2099,213
MMF16_20,189,2109,214
MMF16_20,190,2119,215
MMF16_20,191,2129,215
MMF16_20,192,2139,216
MMF16_20,193,2149,216
MMF16_20,194,2159,216
MMF16_20,195,2169,216
MMF16_20,196,2179,217
MMF16_20,197,2189,219
MMF16_20,198,2199,220
MMF16_20,199,2209,221
MMF16_20,200,2219,221
WFG9,1,251,13
WFG9,2,261,13
WFG9,3,271,13
WFG9,4,281,13
WFG9,5,291,13
WFG9,6,301,14
WFG9,7,311,14
WFG9,8,321,14
WFG9,9,331,15
WFG9,10,341,13
WFG9,11,351,13
WFG9,12,361,13
WFG9,13,371,14
WFG9,14,381,12
WFG9,15,391,12
WFG9,16,401,12
WFG9,17,411,12
WFG9,18,421,12
WFG9,19,431,12
WFG9,20,441,12
WFG9,21,451,12
WFG9,22,461,12
WFG9,23,471,12
WFG9,24,481,12
WFG9,25,491,12
WFG9,26,501,12
WFG9,27,511,12
WFG9,28,521,13
WFG9,29,531,13
WFG9,30,541,13
WFG9,31,551,13
WFG9,32,561,14
WFG9,33,571,14
WFG9,34,581,14
WFG9,35,591,14
WFG9,36,601,14
WFG9,37,611,14
WFG9,38,621,14
WFG9,39,631,15
WFG9,40,641,15
WFG9,41,651,15
WFG9,42,661,15
WFG9,43,671,15
WFG9,44,681,15
WFG9,45,691,15
WFG9,46,701,15
WFG9,47,711,16
WFG9,48,721,16
WFG9,49,731,16
WFG9,50,741,16
WFG9,51,751,16
WFG9,52,761,16
WFG9,53,771,16
WFG9,54,781,16
WFG9,55,791,16
WFG9,56,801,16
WFG9,57,811,16
WFG9,58,821,16
WFG9,59,831,16
WFG9,60,841,16
WFG9,61,851,17
WFG9,62,861,17
WFG9,63,871,17
WFG9,64,881,17
WFG9,65,891,17
WFG9,66,901,18
WFG9,67,911,18
WFG9,68,921,19
WFG9,69,931,19
WFG9,70,941,19
WFG9,71,951,19
WFG9,72,961,19
WFG9,73,971,19
WFG9,74,981,19
WFG9,75,991,19
WFG9,76,1001,19
WFG9,77,1011,19
WFG9,78,1021,19
WFG9,79,1031,19
WFG9,80,1041,19
WFG9,81,1051,19
WFG9,82,1061,19
WFG9,83,1071,20
WFG9,84,1081,20
WFG9,85,1091,20
WFG9,86,1101,20
WFG9,87,1111,20
WFG9,88,1121,20
WFG9,89,1131,20
WFG9,90,1141,21
