dist,problema,D,M,mesmo_dataset_hash,mesma_sonda_x_hash,msl_c311,msl_treed,join_posicional_X_identico,obj0_n_sem_gp,obj0_pct_sem_gp,obj0_n_mu_identico,obj0_pct_mu_identico,obj0_maxabs_dmu,obj0_folhas_c311_semgp,obj0_folhas_treed_nesses_pts,obj1_n_sem_gp,obj1_pct_sem_gp,obj1_n_mu_identico,obj1_pct_mu_identico,obj1_maxabs_dmu,obj1_folhas_c311_semgp,obj1_folhas_treed_nesses_pts,TOTAL_pts_sem_gp,TOTAL_mu_identico,TOTAL_pct_identico,obj0_alfabeto_c311_em_treed_pct,obj1_alfabeto_c311_em_treed_pct,obj2_n_sem_gp,obj2_pct_sem_gp,obj2_n_mu_identico,obj2_pct_mu_identico,obj2_maxabs_dmu,obj2_folhas_c311_semgp,obj2_folhas_treed_nesses_pts,obj2_alfabeto_c311_em_treed_pct
lhs,ZDT4,10,2,True,True,100,100,True,16247,81.23,16247,100.0,0.0,208,208,19875,99.38,19875,100.0,0.0,390,390,36122,36122,100.0,100.0,100.0,,,,,,,,
lhs,ZDT1,30,2,True,True,300,300,True,17497,87.48,17497,100.0,0.0,112,112,19499,97.5,19499,100.0,0.0,121,121,36996,36996,100.0,100.0,100.0,,,,,,,,
lhs,DTLZ2,12,3,True,True,120,120,True,13835,69.17,13835,100.0,0.0,230,230,13942,69.71,13942,100.0,0.0,228,228,44706,44706,100.0,100.0,100.0,16929.0,84.65,16929.0,100.0,0.0,278.0,278.0,100.0
lhs,MMF16_20,20,3,True,True,200,200,True,15426,77.13,15426,100.0,0.0,147,147,15684,78.42,15684,100.0,0.0,145,145,48204,48204,100.0,100.0,100.0,17094.0,85.47,17094.0,100.0,0.0,162.0,162.0,100.0
lhs,WFG9,22,2,True,True,220,220,True,19895,99.48,19895,100.0,0.0,168,168,19900,99.5,19900,100.0,0.0,172,172,39795,39795,100.0,100.0,100.0,,,,,,,,
mvns,ZDT4,10,2,True,True,100,100,True,18128,90.64,18126,99.989,1.7964553990168497e-05,293,291,18658,93.29,18658,100.0,0.0,365,365,36786,36784,99.995,99.32,100.0,,,,,,,,
mvns,ZDT1,30,2,True,True,300,300,True,8330,41.65,8322,99.904,1.1422915122238919e-05,57,57,19344,96.72,19344,100.0,0.0,110,110,27674,27666,99.971,100.0,100.0,,,,,,,,
mvns,DTLZ2,12,3,True,True,120,120,True,12190,60.95,12190,100.0,0.0,283,283,12388,61.94,12384,99.968,2.5868705051834695e-05,222,221,37808,37802,99.984,100.0,99.55,13230.0,66.15,13228.0,99.985,7.360064273598255e-07,248.0,246.0,99.19
mvns,WFG9,22,2,True,True,220,220,True,19767,98.83,19767,100.0,0.0,163,163,19657,98.28,19657,100.0,0.0,166,166,39424,39424,100.0,100.0,100.0,,,,,,,,
