dist,problema,serie_identica
lhs,ZDT4,True
lhs,ZDT1,True
lhs,DTLZ2,True
lhs,MMF16_20,True
lhs,WFG9,True
mvns,ZDT4,True
mvns,ZDT1,True
mvns,DTLZ2,True
mvns,WFG9,True
