problema,alg,M,trans,quedas,quedas_1pc,pior_rel,ganho
BBOB_F1,smsemoa,2,10,0,0,0.0010642823034776835,0.26135976925572874
BBOB_F1,nsga2,2,10,0,0,0.002423235442247417,0.2989950400813863
BBOB_F1,nsga3,2,10,0,0,0.002736055284779695,0.3280771109594058
BBOB_F1,moead,2,11,6,1,-0.01010675158072569,0.08118199179543555
BBOB_F17,smsemoa,2,10,0,0,0.0005334043948541082,0.01601502682194602
BBOB_F17,nsga2,2,10,0,0,1.1888163122227803e-05,0.01911306918517661
BBOB_F17,nsga3,2,10,0,0,5.023490103671387e-06,0.016603698059504637
BBOB_F17,moead,2,13,7,0,-0.004560899042721803,0.006960554783603995
BBOB_F22,smsemoa,2,10,0,0,0.000381930825862222,0.358308973967732
BBOB_F22,nsga2,2,10,0,0,1.0436516245211093e-07,0.2513230721912849
BBOB_F22,nsga3,2,10,0,0,0.00012265241315976706,0.3150847778405315
BBOB_F22,moead,2,13,4,2,-0.042830769701073315,0.05059168258496739
BBOB_F37,smsemoa,2,10,0,0,3.165441320098301e-05,0.14140448920793072
BBOB_F37,nsga2,2,10,0,0,0.00023886391359581648,0.16334970415286532
BBOB_F37,nsga3,2,10,0,0,0.0005262909211135772,0.11304133987148669
BBOB_F37,moead,2,12,1,0,-0.0037299177293730807,0.13953759314338635
BBOB_F49,smsemoa,2,10,0,0,2.5097527466638154e-05,0.2566046099004882
BBOB_F49,nsga2,2,10,0,0,0.0,0.31358911420779334
BBOB_F49,nsga3,2,10,0,0,0.00022417328500436859,0.3588237849498615
BBOB_F49,moead,2,13,5,5,-0.20994945933244766,-0.46991219345672314
BBOB_F5,smsemoa,2,10,0,0,0.0060193861878530645,0.45175864549797506
BBOB_F5,nsga2,2,10,0,0,0.00537864864296759,0.4049704482877223
BBOB_F5,nsga3,2,10,0,0,0.0016882130304939314,0.3984887300730093
BBOB_F5,moead,2,13,3,0,-0.007385806967901255,0.2818756913476918
BBOB_F55,smsemoa,2,10,0,0,8.136420588619019e-05,2.7268932810465483
BBOB_F55,nsga2,2,10,0,0,0.07025311795530689,3.639872525221996
BBOB_F55,nsga3,2,10,0,0,0.0,3.22399592325991
BBOB_F55,moead,2,12,3,1,-0.0816471735514571,0.9396475001695199
DTLZ1,smsemoa,3,7,0,0,0.0011294022739305075,0.037148443362865664
DTLZ1,nsga2,3,7,0,0,0.00025102165814867784,0.04028635767782346
DTLZ1,nsga3,3,10,2,0,-0.0008765751751884459,0.047494065511187886
DTLZ1,moead,3,10,3,2,-0.02867479246544932,0.0008765242010303057
DTLZ2,smsemoa,3,12,0,0,0.0039510052412464886,0.4129045136063714
DTLZ2,nsga2,3,12,1,0,-0.008810599473431331,0.359682825976305
DTLZ2,nsga3,3,17,2,0,-0.00796337710085004,0.44329100744387306
DTLZ2,moead,3,16,4,2,-0.1648650856279683,0.14415893241686403
DTLZ3,smsemoa,3,12,0,0,0.00023069670404626501,0.09778243249071496
DTLZ3,nsga2,3,12,2,1,-0.03296843719384928,0.08248606873638185
DTLZ3,nsga3,3,17,1,0,-0.0002422774076318021,0.12576373373143498
DTLZ3,moead,3,17,4,4,-0.08940501164332462,0.001337871770643275
DTLZ4,smsemoa,3,12,0,0,0.002715126110462807,0.5764104404917282
DTLZ4,nsga2,3,12,0,0,0.0,0.5853032810327317
DTLZ4,nsga3,3,17,0,0,0.0,0.6093701158021207
DTLZ4,moead,3,17,1,0,-0.005230514933009999,0.5428374771049785
DTLZ7,smsemoa,3,22,0,0,0.0,0.3638930391746018
DTLZ7,nsga2,3,22,3,0,-0.00770372310243994,0.3709292726982737
DTLZ7,nsga3,3,32,3,0,-0.003653688764176307,0.5552178775825848
DTLZ7,moead,3,32,7,4,-0.05577856586163493,0.07653999060240226
MMF1,smsemoa,2,2,0,0,0.006241551693620661,0.016047011934761858
MMF1,nsga2,2,2,0,0,0.00570438854207995,0.02203815715686097
MMF1,nsga3,2,2,0,0,0.006120960495600585,0.02246149470669175
MMF1,moead,2,2,1,0,-0.005171508233124784,0.007152885572652125
MMF11_L,smsemoa,2,2,0,0,0.003479629339301306,0.02421302528962146
MMF11_L,nsga2,2,2,0,0,0.0240285318769407,0.0645700225953809
MMF11_L,nsga3,2,2,0,0,0.03959019642170688,0.09905309330625847
MMF11_L,moead,2,2,1,1,-0.05255858132429215,-0.03885209533638991
MMF16_20,smsemoa,3,20,3,0,-0.0012383005738924794,0.1387667306609021
MMF16_20,nsga2,3,20,7,5,-0.047733191492301055,0.08331271907690103
MMF16_20,nsga3,3,29,4,0,-0.007935810908065563,0.1540008568963305
MMF16_20,moead,3,28,6,3,-0.12702743049254406,-0.12732953936507094
MMF4,smsemoa,2,2,0,0,0.006443389825130505,0.017786906533010304
MMF4,nsga2,2,2,0,0,0.01421317914814733,0.029872878743752256
MMF4,nsga3,2,2,0,0,0.015440244632551255,0.03147355002470168
MMF4,moead,2,2,1,1,-0.049805279357100614,-0.04247377282850161
WFG1,smsemoa,2,22,0,0,0.00047165929198263645,3.2409425875954616
WFG1,nsga2,2,22,3,0,-0.004584610368281332,3.234884258032044
WFG1,nsga3,2,22,4,0,-0.007515131610715462,2.861674726285243
WFG1,moead,2,30,5,0,-0.0015685568557667437,0.2775510866196109
WFG2,smsemoa,2,22,0,0,0.001531820205195314,0.21143986028919376
WFG2,nsga2,2,22,0,0,0.0016507447267287898,0.2741958999516112
WFG2,nsga3,2,22,0,0,0.0019153776080362468,0.2529807416845937
WFG2,moead,2,26,6,4,-0.0489153594730006,-0.03700775652173381
WFG4,smsemoa,2,22,0,0,0.003033208323638702,0.5232160021255893
WFG4,nsga2,2,22,1,0,-0.0039032277743177857,0.4141882545337409
WFG4,nsga3,2,22,1,0,-0.0001372661243235776,0.336310463409404
WFG4,moead,2,26,10,4,-0.11704506743205738,-0.09206759100345482
WFG5,smsemoa,2,22,0,0,0.004400757010524388,0.5506053521282132
WFG5,nsga2,2,22,0,0,0.00357363002802605,0.51867193336749
WFG5,nsga3,2,22,0,0,0.0015258815908732388,0.4474523699201626
WFG5,moead,2,25,5,2,-0.09965699262122076,0.004547196820540375
WFG9,smsemoa,2,22,0,0,0.0041305298018469855,0.48011840174463355
WFG9,nsga2,2,22,4,0,-0.004913673683690355,0.5248811683463361
WFG9,nsga3,2,22,1,0,-0.00036434005844445305,0.5464649660314179
WFG9,moead,2,24,10,4,-0.03155038103072112,-0.03238120617238396
ZDT1,smsemoa,2,30,0,0,0.0010165141782880265,0.6109355314271788
ZDT1,nsga2,2,30,0,0,0.00096925487041594,0.687605825944638
ZDT1,nsga3,2,30,0,0,0.000467225860851087,0.558769846698992
ZDT1,moead,2,37,5,1,-0.018619146113341326,0.0816118058563091
ZDT3,smsemoa,2,30,0,0,0.0009609551982510669,0.6632440547606996
ZDT3,nsga2,2,30,0,0,0.0006068916108248926,0.6754441193666098
ZDT3,nsga3,2,30,0,0,0.00026085784500725246,0.6086899505979545
ZDT3,moead,2,37,2,1,-0.0123183922873032,0.15549746028311254
ZDT4,smsemoa,2,10,0,0,8.07668737567157e-05,0.3761147156627442
ZDT4,nsga2,2,10,0,0,4.3716329986058585e-05,0.3981130728633716
ZDT4,nsga3,2,10,0,0,0.0,0.37288208937223644
ZDT4,moead,2,13,1,1,-0.015658186935376805,0.1565614890383275
ZDT6,smsemoa,2,10,0,0,0.0008197951531548353,1.5465120295313388
ZDT6,nsga2,2,10,0,0,0.005135130660997965,1.66286278670053
ZDT6,nsga3,2,10,0,0,0.008555973908391499,1.577769363284763
ZDT6,moead,2,13,3,2,-0.03329579279687573,0.26342228780848576
