alg,problema,M,D,gens,trans,ideal_piora,pior_piora,frac_f1_media,frac_f1_1_em
moead,DTLZ4,3,12,18,17,11,0.027546560361361726,0.7555555555555555,1
moead,DTLZ7,3,22,33,32,11,0.49112125657080696,0.7333333333333334,1
moead,MMF1,2,2,3,2,2,0.08927178940137387,0.4833333333333334,0
moead,MMF11_L,2,2,3,2,1,0.12011051740358636,0.4000000000000001,0
moead,MMF16_20,3,20,29,28,6,0.026706589353261354,0.9494252873563219,13
moead,MMF4,2,2,3,2,1,0.1724184835039416,0.5666666666666667,0
moead,WFG1,2,22,31,30,5,0.0190009777311263,0.829032258064516,2
moead,WFG2,2,22,27,26,17,0.15767002532344465,0.29814814814814816,0
moead,WFG4,2,22,27,26,2,0.929250356374745,0.688888888888889,1
moead,WFG5,2,22,26,25,2,0.9432157825838903,0.7826923076923078,1
moead,WFG9,2,22,25,24,2,0.18649023069535153,0.52,0
moead,ZDT1,2,30,38,37,3,0.17896502010393567,0.4355263157894737,0
moead,ZDT3,2,30,38,37,5,0.16770316723135892,0.46447368421052626,0
moead,ZDT4,2,10,14,13,1,0.034816554285049796,0.45000000000000007,0
moead,ZDT6,2,10,14,13,2,0.08676706895643349,0.41785714285714287,0
