problema,moead,nsga2,nsga3,smsemoa,rank_entre_pisos,melhor_piso,igd_melhor_piso,n_algs,rank_geral,n_sa_piores,n_sa,banda_min,banda_max,sa_dentro_banda
BBOB_F1,0.2582138795238207,0.1359531134257377,0.137318662091244,0.1480915227119584,4,nsga2,0.1359531134257377,17,16,1,13,0.1359531134257377,0.2582138795238207,2
BBOB_F17,0.0339335599190253,0.0206141256299147,0.0244220835244481,0.0213354281482618,4,nsga2,0.0206141256299147,17,15,2,13,0.0206141256299147,0.0339335599190253,8
BBOB_F22,0.8116115946394648,0.2676864895703527,0.3007149536569143,0.1591300073706684,4,smsemoa,0.1591300073706684,17,16,1,13,0.1591300073706684,0.8116115946394648,5
BBOB_F37,0.4524787718089781,0.2762060842222105,0.3268568768897895,0.2539185871646663,4,smsemoa,0.2539185871646663,17,16,1,13,0.2539185871646663,0.4524787718089781,2
BBOB_F49,0.4078188625287026,0.2070601036537373,0.306760266506344,0.2961792032016101,4,nsga2,0.2070601036537373,17,14,3,13,0.2070601036537373,0.4078188625287026,2
BBOB_F5,0.2558106684608193,0.1985265406103037,0.1907181227803057,0.1192824482234564,4,smsemoa,0.1192824482234564,17,16,1,13,0.1192824482234564,0.2558106684608193,2
BBOB_F55,0.8084348763217353,0.6061479210199184,0.6739948007650018,0.7289744263759702,4,nsga2,0.6061479210199184,16,15,1,12,0.6061479210199184,0.8084348763217353,0
DTLZ1,55.243198478786475,45.34570273153767,54.579569419243406,63.71341357744688,3,nsga2,45.34570273153767,17,4,12,13,45.34570273153767,63.71341357744688,2
DTLZ2,0.3518633395536835,0.2314965985503017,0.2436941785807205,0.1700820491933293,4,smsemoa,0.1700820491933293,16,15,1,12,0.1700820491933293,0.3518633395536835,4
DTLZ3,210.1594222538854,305.6544879630138,236.36467091755844,129.76799112603217,2,smsemoa,129.76799112603217,16,3,11,12,129.76799112603217,305.6544879630138,8
DTLZ4,0.3237102553205356,0.3480468423174555,0.2823977915542932,0.3321667090240134,2,nsga3,0.2823977915542932,15,6,7,11,0.2823977915542932,0.3480468423174555,0
DTLZ7,1.4282933892698586,1.4252844080178932,1.1247085866087754,1.8809617636365812,3,nsga3,1.1247085866087754,15,13,1,11,1.1247085866087754,1.8809617636365812,2
MMF1,0.0685634160408346,0.0628119931405187,0.0570132770384747,0.0714342048541285,3,nsga3,0.0570132770384747,17,15,1,13,0.0570132770384747,0.0714342048541285,3
MMF11_L,0.0436194300069967,0.0317573340494481,0.0231565498976292,0.0414543997958267,4,nsga3,0.0231565498976292,17,14,3,13,0.0231565498976292,0.0436194300069967,4
MMF16_20,0.0600143363541736,0.0406997603316842,0.0316883226836744,0.0316158421272363,4,smsemoa,0.0316158421272363,15,15,0,11,0.0316158421272363,0.0600143363541736,5
MMF4,0.0418755247904921,0.0403771229938478,0.0377119334276083,0.0470914389681702,3,nsga3,0.0377119334276083,17,15,1,13,0.0377119334276083,0.0470914389681702,2
WFG1,0.7104681491693458,0.4981943696243536,0.5074461679688114,0.4953917959793528,4,smsemoa,0.4953917959793528,14,11,3,10,0.4953917959793528,0.7104681491693458,6
WFG2,0.223741203048006,0.1227556938180429,0.1232873263708593,0.1422987289749966,4,nsga2,0.1227556938180429,16,14,2,12,0.1227556938180429,0.223741203048006,8
WFG4,0.1090501547977985,0.061710428820897,0.0717614461687339,0.044424346453198,4,smsemoa,0.044424346453198,16,13,3,12,0.044424346453198,0.1090501547977985,9
WFG5,0.1873782241759709,0.0930752077028518,0.1126334304175281,0.0941577883048372,4,nsga2,0.0930752077028518,16,16,0,12,0.0930752077028518,0.1873782241759709,4
WFG9,0.1497323119704348,0.0999413549159468,0.0955346891283579,0.1113875374533136,4,nsga3,0.0955346891283579,16,12,4,12,0.0955346891283579,0.1497323119704348,4
ZDT1,1.686875225032134,0.4440783896843883,0.956168340282256,0.700594322143167,4,nsga2,0.4440783896843883,16,16,0,12,0.4440783896843883,1.686875225032134,3
ZDT3,1.0249933278408947,0.3442625865872861,0.4121286025925313,0.3504989313662802,4,nsga2,0.3442625865872861,15,15,0,11,0.3442625865872861,1.0249933278408947,5
ZDT4,65.17103599448568,43.898268794314845,46.24627157931003,47.101878260869746,4,nsga2,43.898268794314845,17,15,2,13,43.898268794314845,65.17103599448568,7
ZDT6,7.605188993963688,6.445675963031797,6.662399706796948,6.605030137633778,4,nsga2,6.445675963031797,16,16,0,12,6.445675963031797,7.605188993963688,1
