problema,D,M,N,T,n_ger,novos,ch_off,hard_stop,deficit,deficit_ok,g1_todos_doe,g1_unicos,d88_conjunto,d88_ordem,f_pares_identicos,p_nomut,clone_previsto,clone_medido,raz_clone,ideal_eq_fbest,viol_mono_ideal,ideal_eq_pop,ideal_eq_arq,n_cmp,alvo_doe,alvo_infill,max_hits_sid
BBOB_F1,10,2,20,2,12,200,35,1,4,True,True,True,True,True,0.42083333333333334,0.3486784401000001,0.14673551020875003,0.1483050847457627,1.010696623706012,True,7,12,2,12,1,34,4
BBOB_F17,10,2,20,2,14,200,75,1,4,True,True,True,True,True,0.75,0.3486784401000001,0.2615088300750001,0.2717391304347826,1.0391202865190001,True,6,14,2,14,1,74,6
BBOB_F22,10,2,20,2,14,200,64,1,15,True,True,True,True,True,0.7,0.3486784401000001,0.24407490807000004,0.24150943396226415,0.9894889887370146,True,6,14,3,14,3,61,5
BBOB_F37,10,2,20,2,13,200,42,1,17,True,True,True,True,True,0.43846153846153846,0.3486784401000001,0.15288208527461541,0.1728395061728395,1.1305412655928615,True,4,13,1,13,1,41,4
BBOB_F49,10,2,20,2,14,200,70,1,9,True,True,True,True,True,0.7571428571428571,0.3486784401000001,0.2639993903614286,0.25830258302583026,0.9784211345041398,True,5,14,1,14,1,69,7
BBOB_F5,10,2,20,2,14,200,70,1,9,True,True,True,True,True,0.7571428571428571,0.3486784401000001,0.2639993903614286,0.25830258302583026,0.9784211345041398,True,7,14,2,14,1,69,5
BBOB_F55,10,2,20,2,13,200,52,1,7,True,True,True,True,True,0.5230769230769231,0.3486784401000001,0.18238564559076928,0.20553359683794467,1.1269176155403917,True,4,13,2,13,1,51,4
DTLZ1,7,3,15,2,11,140,13,1,11,True,True,True,True,True,0.2606060606060606,0.33991667708911394,0.08858434615049636,0.08441558441558442,0.9529401986234722,True,6,11,1,11,1,12,3
DTLZ2,12,3,15,2,17,240,13,1,1,True,True,True,True,True,0.1607843137254902,0.3519956280141369,0.05659537548462594,0.051181102362204724,0.9043336478279573,True,7,17,1,17,1,12,4
DTLZ3,12,3,15,2,18,240,27,1,2,True,True,True,True,True,0.3296296296296296,0.3519956280141369,0.11602818849354883,0.10074626865671642,0.868291317521672,True,8,18,1,18,1,26,4
DTLZ4,12,3,15,2,18,240,22,1,7,True,True,True,False,False,0.26296296296296295,0.3519956280141369,0.09256181329260638,0.08365019011406843,0.903722465436513,True,14,18,6,18,1,21,4
DTLZ7,22,3,15,2,33,440,54,1,0,True,True,True,True,True,0.36767676767676766,0.35935650109560646,0.1321270367664654,0.10909090909090909,0.8256516740304055,True,13,33,1,33,1,53,5
MMF1,2,2,20,2,3,40,14,1,5,True,True,True,True,True,0.45,0.25,0.1125,0.2545454545454545,2.2626262626262625,True,2,3,1,3,5,9,2
MMF11_L,2,2,20,2,3,40,12,1,7,True,True,True,True,True,0.4666666666666667,0.25,0.11666666666666667,0.22641509433962265,1.940700808625337,True,2,3,1,3,6,6,2
MMF16_20,20,3,15,2,29,400,26,1,8,True,True,True,True,True,0.2206896551724138,0.3584859224085419,0.07911413460050579,0.06088992974238876,0.769646663644343,True,8,29,1,29,1,25,3
MMF4,2,2,20,2,3,40,11,1,8,True,True,True,True,True,0.35,0.25,0.0875,0.21153846153846154,2.417582417582418,True,2,3,2,3,6,5,3
WFG1,22,2,20,2,31,440,163,1,16,True,True,True,True,True,0.6741935483870968,0.35935650109560646,0.24227583460961855,0.26986754966887416,1.1138855433259136,True,5,31,1,31,1,162,10
WFG2,22,2,20,2,27,440,89,1,10,True,True,True,True,True,0.5018518518518519,0.35935650109560646,0.18034372554983213,0.16792452830188678,0.9311359615640539,True,19,27,1,27,1,88,8
WFG4,22,2,20,2,27,440,95,1,4,True,True,True,True,True,0.48333333333333334,0.35935650109560646,0.17368897552954313,0.17723880597014927,1.0204378569784491,True,3,27,1,27,1,94,6
WFG5,22,2,20,2,26,440,79,1,0,True,True,True,True,True,0.3923076923076923,0.35935650109560646,0.14097831966058408,0.1519230769230769,1.0776343290857995,True,2,26,1,26,1,78,8
WFG9,22,2,20,2,25,440,44,1,15,True,True,True,True,True,0.236,0.35935650109560646,0.08480813425856312,0.09072164948453608,1.0697281608382496,True,2,25,16,25,1,43,7
ZDT1,30,2,20,2,38,600,159,1,0,True,True,True,True,True,0.5842105263157895,0.3616615134616106,0.21128646312757252,0.20921052631578949,0.9901747760786284,True,4,38,1,38,1,158,8
ZDT3,30,2,20,2,38,600,159,1,0,True,True,True,True,True,0.5697368421052632,0.3616615134616106,0.20605188859062815,0.20921052631578949,1.0153293315910186,True,5,38,1,38,1,158,9
ZDT4,10,2,20,2,14,200,70,1,9,True,True,True,True,True,0.7428571428571429,0.3486784401000001,0.2590182697885715,0.25830258302583026,0.9972369255522961,True,1,14,1,14,1,69,6
ZDT6,10,2,20,2,14,200,67,1,12,True,True,True,True,True,0.7214285714285714,0.3486784401000001,0.2515465889292858,0.25,0.9938516799775784,True,2,14,1,14,1,66,5
