problema,D,N,tent,hits,taxa,ic_lo,ic_hi,prev,raz,ic_contem
BBOB_F1,10,20,235,34,0.14468085106382977,0.10232235173323631,0.1962668551651328,0.15392586801484864,0.9399385102046198,True
BBOB_F17,10,20,275,74,0.2690909090909091,0.21759906738164328,0.3256355160542232,0.2703024049925611,0.9955179980670711,True
BBOB_F22,10,20,264,63,0.23863636363636365,0.18851939221188121,0.2947249321289772,0.2508758663761873,0.9512129129173765,True
BBOB_F37,10,20,242,41,0.16942148760330578,0.1244075042919092,0.22273866993953645,0.15926968859035584,1.063739680178948,True
BBOB_F49,10,20,270,69,0.25555555555555554,0.20461725314950024,0.3119472953509252,0.27365180820228074,0.9338712476792822,True
BBOB_F5,10,20,270,69,0.25555555555555554,0.20461725314950024,0.3119472953509252,0.2729819275603368,0.9361629095357255,True
BBOB_F55,10,20,252,51,0.20238095238095238,0.1545565049330806,0.25735429239513624,0.19120066585634954,1.0584740982701528,True
DTLZ1,7,15,153,12,0.0784313725490196,0.041182778121515495,0.13299568500081746,0.0948402937065824,0.8269836530839009,True
DTLZ2,12,15,253,12,0.04743083003952569,0.024745122073926006,0.08138579590138457,0.05873755169620665,0.8075043761585459,True
DTLZ3,12,15,267,26,0.09737827715355805,0.06460117724287379,0.13942208846519535,0.12083926197529775,0.8058496515268717,True
DTLZ4,12,15,262,21,0.08015267175572519,0.050299264478292506,0.11991300271019745,0.09461853985745924,0.8471138095818581,True
DTLZ7,22,15,494,53,0.10728744939271255,0.08140429981830455,0.13797940114321144,0.135133071058538,0.793939252266656,True
MMF1,2,20,54,13,0.24074074074074073,0.13486342127246118,0.3764052458340096,0.15625,1.5407407407407407,True
MMF11_L,2,20,52,11,0.21153846153846154,0.11061151031085725,0.3470376064021534,0.16093749999999996,1.314413741598208,True
MMF16_20,20,15,426,25,0.05868544600938967,0.03833446265029012,0.0854150356644207,0.08065959749800505,0.7275692890835604,True
MMF4,2,20,51,10,0.19607843137254902,0.09824341651159875,0.3311573512529288,0.1328125,1.4763552479815456,True
WFG1,22,20,603,162,0.26865671641791045,0.23365455278636504,0.3059423489315166,0.24615923023882924,1.091394038554856,True
WFG2,22,20,529,88,0.166351606805293,0.13561011725662728,0.20087539428493914,0.18382471356434033,0.9049469115428184,True
WFG4,22,20,535,94,0.17570093457943925,0.14438394985680342,0.21064952848384008,0.17760508329748442,0.9892787487683797,True
WFG5,22,20,519,78,0.15028901734104047,0.12064584643505799,0.18398042716665952,0.1455394339216941,1.0326343403390028,True
WFG9,22,20,484,43,0.08884297520661157,0.06504193773657195,0.11780495213113727,0.08759321193548669,1.0142678096111528,True
ZDT1,30,20,759,158,0.20816864295125165,0.1798059903626748,0.23881909023157719,0.2143088834519845,0.9713486421942533,True
ZDT3,30,20,759,158,0.20816864295125165,0.1798059903626748,0.23881909023157719,0.20991029748154785,0.9917028628362108,True
ZDT4,10,20,270,69,0.25555555555555554,0.20461725314950024,0.3119472953509252,0.2676228824247854,0.954909211200872,True
ZDT6,10,20,267,66,0.24719101123595505,0.19664026251396616,0.3034489387232801,0.2636035985731219,0.9377376203283732,True
