problema,c262,melhor_piso,delta_pct
BBOB_F1,0.0014561014382336,0.1359531134257377,-98.92896793494253
BBOB_F17,0.0216919194598772,0.0206141256299147,5.22842369990426
BBOB_F22,0.0510757488279859,0.1591300073706684,-67.90313173994082
BBOB_F37,0.2344353383257915,0.2539185871646663,-7.673029791332257
BBOB_F49,0.1161096131479717,0.2070601036537373,-43.92468124031291
BBOB_F5,0.0048277052418038,0.1192824482234564,-95.95271113755155
BBOB_F55,0.2674844512531847,0.6061479210199184,-55.871423133299004
DTLZ1,77.77173997171971,45.34570273153767,71.50851191380903
DTLZ2,0.0306550164345873,0.1700820491933293,-81.97633637413301
DTLZ3,225.70073441422787,129.76799112603217,73.92635306731742
DTLZ4,0.5919531214643767,0.2823977915542932,109.61676725809987
MMF1,0.038685793504745,0.0570132770384747,-32.14599210173733
MMF11_L,0.0165311383365109,0.0231565498976292,-28.611393279257967
MMF4,0.021017978540486,0.0377119334276083,-44.26703531169506
WFG2,0.0565254541946007,0.1227556938180429,-53.9528860645872
WFG4,0.0723318949908459,0.044424346453198,62.82039189265079
WFG5,0.0525619975816182,0.0930752077028518,-43.527391580553285
WFG9,0.0919140678837228,0.0955346891283579,-3.7898498206976137
ZDT1,0.000702785674901,0.4440783896843883,-99.84174287890917
ZDT4,5.928104893929911,43.898268794314845,-86.49581166467857
ZDT6,0.0024453730300986,6.445675963031797,-99.96206180633152
