problema,obj,wape_1,wape_N,d_pct,cob_N,corr_N,nan,val
BBOB_F1,0,0.048964,0.037574,-23.261988399640547,0.993,0.991591,0,2000
BBOB_F1,1,0.043677,0.035921,-17.757629873846643,0.9945,0.992228,0,2000
BBOB_F17,0,0.030769,0.017792,-42.175566316747386,0.978,0.999619,0,2000
BBOB_F17,1,0.385394,0.353205,-8.352231742061377,0.8585,0.874985,0,2000
BBOB_F22,0,0.106207,0.089361,-15.861478057001895,0.904,0.98131,0,2000
BBOB_F22,1,0.039493,0.022766,-42.3543412756691,0.998,0.989273,0,2000
BBOB_F37,0,0.042464,0.025079,-40.940561416729466,0.9965,0.989666,0,2000
BBOB_F37,1,0.368984,0.338062,-8.380309173297489,0.9025,0.842058,0,2000
BBOB_F49,0,0.26602,0.24228,-8.92414104202691,0.8895,0.828961,0,2000
BBOB_F49,1,0.053585,0.052968,-1.1514416347858534,0.9855,0.212132,0,2000
BBOB_F5,0,0.047022,0.032844,-30.151843817787427,0.994,0.993845,0,2000
BBOB_F5,1,0.043415,0.045216,4.148335828630651,0.997,0.965497,0,2000
BBOB_F55,0,0.053527,0.05436,1.5562239617389364,0.9725,0.32547,0,2000
BBOB_F55,1,0.048746,0.050942,4.5049850244122664,0.986,0.254237,0,2000
DTLZ1,0,0.346509,0.316067,-8.785341794874022,0.9575,0.873799,0,2000
DTLZ1,1,0.33799,0.314347,-6.995177372111609,0.8885,0.864175,0,2000
DTLZ1,2,0.287399,0.282386,-1.7442649417708445,0.9165,0.822876,0,2000
DTLZ2,0,0.135808,0.126068,-7.171889726672949,0.9745,0.982985,0,2000
DTLZ2,1,0.129324,0.123653,-4.385110265689272,0.9605,0.98196,0,2000
DTLZ2,2,0.089381,0.054558,-38.96018169409606,0.9905,0.991729,0,2000
DTLZ3,0,0.224595,0.219195,-2.4043277900220343,0.836,0.917073,0,2000
DTLZ3,1,0.239809,0.228515,-4.709581375177746,0.896,0.904335,0,2000
DTLZ3,2,0.205732,0.230827,12.197907957925848,0.992,0.848287,0,2000
DTLZ4,0,0.077197,0.112689,45.97587989170563,0.9735,0.081358,0,2000
DTLZ4,1,1.052573,0.253055,-75.95843708702388,0.991,0.966646,0,2000
DTLZ4,2,1.76182,0.530115,-69.91094436435048,0.9935,0.967234,0,2000
MMF1,0,0.024117,0.018819,-21.96790645602687,0.963,0.998684,0,2000
MMF1,1,0.825358,0.663406,-19.622030682443253,0.9375,0.424697,0,2000
MMF11_L,0,0.000719,0.000412,-42.698191933240615,1.0,0.999999,0,2000
MMF11_L,1,0.140265,0.100115,-28.624389548354902,0.859,0.96447,0,2000
MMF4,0,0.020385,0.021832,7.098356634780478,0.967,0.998026,0,2000
MMF4,1,0.311746,0.300123,-3.728355776818323,0.927,0.592698,0,2000
WFG2,0,0.04623,0.042653,-7.737399956738042,0.9965,0.989893,0,2000
WFG2,1,0.195666,0.078744,-59.755910582318855,0.992,0.952352,0,2000
WFG4,0,0.086595,0.085495,-1.2702811940643266,0.9975,0.949995,0,2000
WFG4,1,0.055535,0.052559,-5.358782749617358,0.9745,0.918073,0,2000
WFG5,0,0.031604,0.027069,-14.349449436780157,0.9835,0.984753,0,2000
WFG5,1,0.042761,0.036648,-14.295736769486215,0.9685,0.979989,0,2000
WFG9,0,0.234765,0.222668,-5.152812386854939,0.939,0.476382,0,2000
WFG9,1,0.263275,0.24431,-7.203494444971981,0.9275,0.400617,0,2000
ZDT1,0,0.012685,0.008022,-36.75995270003942,0.998,0.999782,0,2000
ZDT1,1,0.0167,0.014496,-13.197604790419158,0.993,0.99336,0,2000
ZDT4,0,0.009618,0.006111,-36.46288209606986,0.9895,0.999851,0,2000
ZDT4,1,0.140106,0.155312,10.85321114013675,0.967,0.051132,0,2000
ZDT6,0,0.088168,0.007706,-91.25986752563287,0.985,0.997241,0,2000
ZDT6,1,0.004157,0.039538,851.1185951407264,1.0,0.290883,0,2000
