problema,D,xl0,xu0,on_fora,on_n,real_fora,real_n,on_min,on_max,frac_no_bound
BBOB_F1,10,-5.0,5.0,0,1254000,0,3090,0.0,0.0,0.0006283891547049442
BBOB_F17,10,-5.0,5.0,0,1254000,0,3090,0.0,0.0,0.0057527910685805424
BBOB_F22,10,-5.0,5.0,0,1254000,0,3090,0.0,0.0,0.004460127591706539
BBOB_F37,10,-5.0,5.0,0,1254000,0,3090,0.0,0.0,0.0011626794258373205
BBOB_F49,10,-5.0,5.0,0,1254000,0,3090,0.0,0.0,0.002302232854864434
BBOB_F5,10,-5.0,5.0,0,1254000,0,3090,0.0,0.0,0.0008859649122807018
BBOB_F55,10,-5.0,5.0,0,1254000,0,3090,0.0,0.0,0.0015789473684210526
DTLZ1,7,0.0,1.0,0,611800,0,1512,0.0,0.0,0.016008499509643673
DTLZ2,12,0.0,1.0,0,1824000,0,4452,0.0,0.0,0.007759320175438597
DTLZ3,12,0.0,1.0,0,1824000,0,4452,0.0,0.0,0.014419956140350878
DTLZ4,12,0.0,1.0,0,1824000,0,4452,0.0,0.0,0.006630482456140351
DTLZ7,22,0.0,1.0,0,6102800,0,14982,0.0,0.0,0.021874713246378713
MMF1,2,1.0,3.0,0,49400,0,122,0.0,0.0,0.0007287449392712551
MMF11_L,2,0.1,1.1,0,49400,0,122,1.4901161138336505e-09,-2.3841857821338408e-08,0.004676113360323887
MMF16_20,20,0.0,1.0,0,5054000,0,12380,0.0,0.0,0.014434309457855165
MMF4,2,-1.0,1.0,0,49400,0,122,0.0,0.0,0.016295546558704452
WFG1,22,0.0,2.0,0,6102800,0,14982,0.0,0.0,0.013440224159402242
WFG2,22,0.0,2.0,0,6102800,0,14982,0.0,0.0,0.008510192042996658
WFG4,22,0.0,2.0,0,6102800,0,14982,0.0,0.0,0.007129514321295143
WFG5,22,0.0,2.0,0,6102800,0,14982,0.0,0.0,0.01950694763059579
WFG9,22,0.0,2.0,0,6102800,0,14982,0.0,0.0,0.009239857114766992
ZDT1,30,0.0,1.0,0,11400000,0,27870,0.0,0.0,0.019519298245614033
ZDT3,30,0.0,1.0,0,11400000,0,27870,0.0,0.0,0.017873947368421052
ZDT4,10,0.0,1.0,0,1254000,0,3090,0.0,0.0,0.0042799043062200955
ZDT6,10,0.0,1.0,0,1254000,0,3090,0.0,0.0,0.0228133971291866
