problema,ciclo,ramo,n_inf,n_achados,rank_min,ranks,km_ok,nf1_log,nf1_pop,nf1_arq,warm_inter,head_mean,head_std
ZDT1,99,convergencia,3,3,0,"[0, 45, 92]",2,22,34,22,0.0,0.4622427225112915,0.28505179286003113
ZDT1,100,incerteza,3,3,0,"[0, 1, 53]",3,22,29,22,0.0,0.46247217059135437,0.28658291697502136
ZDT1,101,convergencia,3,3,0,"[0, 47, 90]",3,22,33,22,0.0,0.450178861618042,0.2892361283302307
ZDT1,102,convergencia,3,3,0,"[0, 5, 73]",2,22,41,22,0.0,0.46263623237609863,0.28642958402633667
ZDT1,103,incerteza,3,3,0,"[0, 9, 59]",3,22,28,22,0.0,0.43746599555015564,0.28246110677719116
ZDT1,104,convergencia,3,3,0,"[0, 54, 92]",3,22,41,22,0.0,0.45185229182243347,0.2812820374965668
ZDT1,105,convergencia,3,3,0,"[0, 7, 72]",2,24,42,22,0.0,0.45706096291542053,0.28076183795928955
ZDT1,106,convergencia,3,3,0,"[0, 52, 97]",3,24,38,24,0.0,0.4532407522201538,0.2872670292854309
ZDT1,107,convergencia,3,3,0,"[0, 28, 68]",3,24,47,24,0.0,0.44404593110084534,0.2843133509159088
ZDT1,108,convergencia,3,3,0,"[0, 17, 66]",1,25,44,24,0.0,0.46095195412635803,0.2953615188598633
ZDT1,109,convergencia,3,3,0,"[0, 9, 84]",1,25,50,25,0.0,0.4401300549507141,0.28511664271354675
ZDT1,110,incerteza,3,3,0,"[0, 3, 55]",3,25,37,25,0.0,0.4556599259376526,0.2833227217197418
ZDT1,111,convergencia,3,3,0,"[0, 24, 81]",2,25,42,25,0.0,0.4406726360321045,0.2810743749141693
ZDT1,112,incerteza,3,3,0,"[0, 5, 19]",3,25,33,25,0.0,0.46072688698768616,0.28938978910446167
ZDT1,113,convergencia,3,3,0,"[0, 53, 93]",2,25,29,25,0.0,0.44700098037719727,0.2871752083301544
ZDT1,114,convergencia,3,3,0,"[0, 45, 99]",3,25,34,25,0.0,0.4578004479408264,0.2885529398918152
ZDT1,115,convergencia,3,3,0,"[0, 8, 80]",3,25,39,25,0.0,0.4515984356403351,0.29069873690605164
ZDT1,116,convergencia,3,3,0,"[0, 1, 65]",3,25,45,25,0.0,0.4593590497970581,0.27681607007980347
ZDT1,117,incerteza,3,3,0,"[0, 1, 62]",3,25,29,25,0.0,0.4622493386268616,0.28148311376571655
ZDT1,118,convergencia,3,3,0,"[0, 3, 71]",1,25,36,25,0.0,0.44275206327438354,0.285256028175354
ZDT1,119,convergencia,3,3,0,"[0, 1, 95]",2,25,36,25,0.0,0.4555187225341797,0.2840687036514282
ZDT1,120,incerteza,3,3,0,"[0, 7, 33]",3,25,25,25,0.0,0.4630422294139862,0.2873079776763916
ZDT1,121,incerteza,3,3,0,"[0, 2, 34]",3,25,16,25,0.0,0.451865553855896,0.28976839780807495
ZDT1,122,convergencia,3,3,0,"[0, 49, 95]",1,25,35,25,0.0,0.4425075650215149,0.28365522623062134
ZDT1,123,convergencia,3,3,0,"[0, 22, 87]",2,25,40,25,0.0,0.46156400442123413,0.28171977400779724
ZDT1,124,convergencia,3,3,0,"[0, 38, 98]",2,25,47,25,0.0,0.45181360840797424,0.2856433093547821
ZDT1,125,incerteza,3,3,0,"[0, 3, 31]",2,25,29,25,0.0,0.4602762758731842,0.28833910822868347
ZDT1,126,convergencia,3,3,0,"[0, 34, 88]",2,25,39,25,0.0,0.4523034989833832,0.28751295804977417
ZDT1,127,incerteza,3,3,0,"[0, 1, 43]",3,25,25,25,0.0,0.4549998641014099,0.29215848445892334
ZDT1,128,convergencia,3,3,0,"[0, 44, 97]",3,25,37,25,0.0,0.4638938307762146,0.28356972336769104
ZDT1,129,incerteza,3,3,0,"[0, 2, 46]",2,25,22,25,0.0,0.4662397503852844,0.2896134555339813
ZDT1,130,convergencia,3,3,0,"[0, 47, 86]",2,25,38,25,0.0,0.4715091288089752,0.2874692976474762
ZDT1,131,convergencia,3,3,0,"[0, 39, 90]",3,25,32,25,0.0,0.478944331407547,0.2912571430206299
ZDT1,132,convergencia,3,3,0,"[0, 7, 76]",3,24,42,25,0.0,0.4606149196624756,0.289253830909729
ZDT1,133,convergencia,3,3,0,"[0, 15, 50]",3,24,48,24,0.0,0.4600706696510315,0.288727343082428
ZDT1,134,incerteza,3,3,0,"[0, 1, 48]",3,24,38,24,0.0,0.4600087106227875,0.2776555120944977
ZDT1,135,convergencia,3,3,0,"[0, 12, 93]",2,24,30,24,0.0,0.4617810547351837,0.28834930062294006
ZDT1,136,convergencia,3,3,0,"[0, 24, 72]",3,24,37,24,0.0,0.4547135531902313,0.2861269414424896
ZDT1,137,convergencia,3,3,0,"[0, 52, 97]",3,24,48,24,0.0,0.4644308388233185,0.29148930311203003
