problema,D,M,jan_soma,jan_n,jan_max,linhas_tag,pf_dom,pf_n,sig_cv,sig_cv_n,jan_media,head_ks_med,sig_cv_med
BBOB_F1,10,2,450,198,8,453,4510,6600,19.86433795127021,66,2.272727272727273,0.09894385480880735,0.30097481744348803
BBOB_F17,10,2,780,198,17,801,4951,6600,32.24811923033864,66,3.9393939393939394,0.038836999893188506,0.488607867126343
BBOB_F22,10,2,598,198,9,619,5299,6600,19.738111388999553,66,3.0202020202020203,0.08368564291298389,0.2990622937727205
BBOB_F37,10,2,543,198,15,557,5226,6600,18.396360017184314,66,2.742424242424242,0.07515648055076596,0.2787327275330957
BBOB_F49,10,2,658,198,17,664,3953,6600,32.25891993899813,66,3.323232323232323,0.04841746520996093,0.48877151422724446
BBOB_F5,10,2,544,198,11,553,3995,6600,20.833462859185268,66,2.7474747474747474,0.0627471685409546,0.31565852816947376
BBOB_F55,10,2,436,198,8,446,4882,6600,16.574351413638663,66,2.202020202020202,0.06141549801826479,0.2511265365702828
DTLZ1,7,3,544,138,17,550,77,4600,17.215126507601106,46,3.9420289855072466,0.05094265895230429,0.37424188060002406
DTLZ2,12,3,907,240,14,910,0,8000,37.39927582468624,80,3.779166666666667,0.049257855614026375,0.46749094780857803
DTLZ3,12,3,1020,240,15,1036,0,8000,29.7264811506947,80,4.25,0.03674380938212074,0.37158101438368374
DTLZ4,12,3,909,240,17,920,24,8000,50.66627728804753,80,3.7875,0.0479497969150543,0.6333284661005941
DTLZ7,22,3,1263,438,12,1270,3353,14600,33.02417190010422,146,2.8835616438356166,0.07658305168151852,0.22619295821989194
MMF1,2,2,296,39,18,312,267,1300,7.874704586815929,13,7.589743589743589,0.1749771046638489,0.6057465066781483
MMF11_L,2,2,286,39,19,289,0,1300,7.663576425431552,13,7.333333333333333,0.20882197022438043,0.5895058788793501
MMF16_20,20,3,1720,399,19,1730,0,13300,52.71478519093943,133,4.31077694235589,0.02780046319961549,0.39635176835292807
MMF4,2,2,303,39,19,312,156,1300,7.0935393081926,13,7.769230769230769,0.12608578681945803,0.5456568698609693
WFG1,22,2,1435,438,15,1442,140,14600,64.71517515659784,146,3.276255707762557,0.029721597758206403,0.44325462436025914
WFG2,22,2,1659,438,17,1681,7322,14600,43.602326636342745,146,3.787671232876712,0.032167213658967075,0.2986460728516626
WFG4,22,2,1478,438,15,1491,844,14600,69.77341747848286,146,3.374429223744292,0.033345908156963894,0.477900119715636
WFG5,22,2,1293,438,13,1301,2623,14600,53.35408474704001,146,2.952054794520548,0.03867861553269497,0.36543893662356175
WFG9,22,2,1196,438,12,1219,5428,14600,40.41645459534109,146,2.730593607305936,0.028756339062343955,0.276825031474939
ZDT1,30,2,1547,600,19,1561,12341,20000,72.93573004333692,200,2.578333333333333,0.07489528894424441,0.3646786502166846
ZDT3,30,2,1711,600,19,1716,12207,20000,68.51233337283347,200,2.8516666666666666,0.06303964050610861,0.34256166686416734
ZDT4,10,2,653,198,14,665,5308,6600,15.856898129173345,66,3.297979797979798,0.05505461168289183,0.2402560322602022
ZDT6,10,2,541,198,13,542,5046,6600,15.329736758656413,66,2.7323232323232323,0.10959033811092375,0.2322687387675214
