problema,ciclo,ramo,w1,w19,delta
BBOB_F1,1,convergencia,145.17894622066814,74.06413901338216,-0.48984242590653165
BBOB_F1,2,incerteza,110.55305964711084,29.689767364611534,-0.731443277468916
BBOB_F1,3,incerteza,112.22536721646964,25.073243392942686,-0.7765813201165176
BBOB_F1,4,convergencia,122.9866843235965,25.080849955976802,-0.7960685736515564
BBOB_F1,5,convergencia,126.22443065576971,24.856029519891717,-0.8030806762941374
BBOB_F1,6,convergencia,124.61630233013933,28.58438314555086,-0.7706208368322166
BBOB_F1,7,convergencia,121.51472715902896,22.6185940405746,-0.8138612942695156
BBOB_F1,8,convergencia,118.28405900106749,22.8040296196746,-0.8072096120790985
BBOB_F1,9,convergencia,119.83796332558379,25.91528739693545,-0.783747264407965
BBOB_F1,10,convergencia,125.01874086141386,19.94130400044462,-0.8404934823127838
BBOB_F1,11,convergencia,112.6658956446066,20.89592787335614,-0.8145319153253769
BBOB_F1,12,convergencia,121.58477846246821,19.034140362902416,-0.8434496439142829
BBOB_F1,13,incerteza,129.16871513465526,17.82815792304844,-0.8619777404732794
BBOB_F1,14,convergencia,122.3761841706622,17.464070528482267,-0.8572919179754176
BBOB_F1,15,convergencia,118.34514011388092,19.86232052805962,-0.8321661497130634
BBOB_F1,16,convergencia,121.95353094618797,16.641415068636835,-0.8635429828105603
BBOB_F1,17,convergencia,118.40053831892932,16.057594471616618,-0.8643790416867606
BBOB_F1,18,incerteza,120.70568113402847,20.983082651339444,-0.8261632554971429
BBOB_F1,19,convergencia,117.13079891989726,18.36884292705457,-0.8431766615062828
BBOB_F1,20,incerteza,121.88831911631264,18.777419033994445,-0.845945705297027
BBOB_F1,21,convergencia,123.836277778076,16.63855802408137,-0.8656406803998185
BBOB_F1,22,convergencia,131.25991793477095,18.395176674197163,-0.8598568629051059
BBOB_F1,23,convergencia,123.9299389912281,18.373316546781904,-0.8517443267031513
BBOB_F1,24,incerteza,121.10058171939768,21.308799362494547,-0.8240404871723144
BBOB_F1,25,convergencia,124.0762311584241,23.228921144195205,-0.8127850844007678
BBOB_F1,26,convergencia,132.28265643011548,23.62319226258952,-0.8214188246584723
BBOB_F1,27,convergencia,123.99497537027084,22.54513971580801,-0.8181769894426427
BBOB_F1,28,incerteza,134.42935418385096,20.89600776351641,-0.8445577017729462
BBOB_F1,29,convergencia,134.45950907779323,22.1919841219566,-0.8349541488425548
BBOB_F1,30,incerteza,126.01702972013018,22.96532180997592,-0.8177601720896029
BBOB_F1,31,convergencia,131.35797414527468,21.062275957480246,-0.8396574239628077
BBOB_F1,32,convergencia,122.76939111851028,18.77807664048817,-0.8470459414239374
BBOB_F1,33,incerteza,129.82590034614523,22.45883574000487,-0.8270080493944234
BBOB_F1,34,convergencia,130.9420044953148,18.00110909415308,-0.8625260918867546
BBOB_F1,35,convergencia,126.65506631199577,18.763399105024444,-0.8518543343635095
BBOB_F1,36,convergencia,135.29851251295,19.52623329567904,-0.8556803549942198
BBOB_F1,37,convergencia,128.24078288533894,19.629122582171163,-0.846935412116739
BBOB_F1,38,incerteza,124.57777259918768,22.19557288358756,-0.8218336030537419
BBOB_F1,39,convergencia,123.02115439515285,20.43802542190173,-0.8338657646126998
BBOB_F1,40,incerteza,125.86684860187661,22.93998497228422,-0.8177440269054118
BBOB_F1,41,convergencia,125.59363321452412,19.238503291516942,-0.8468194382221907
BBOB_F1,42,incerteza,126.21619008892965,19.560510267859108,-0.8450237623709199
BBOB_F1,43,convergencia,133.45163589981078,21.02422652567249,-0.8424580831556349
BBOB_F1,44,convergencia,121.45451319182541,22.83076693024002,-0.8120220786346484
BBOB_F1,45,incerteza,136.187711348622,22.985059962724772,-0.8312251543468107
BBOB_F1,46,convergencia,129.75998212124549,22.913669890667553,-0.8234149734295014
BBOB_F1,47,incerteza,126.07414944485798,22.114512970178474,-0.8245912182032934
BBOB_F1,48,convergencia,138.20304324178085,21.13325526059566,-0.8470854565508817
BBOB_F1,49,convergencia,125.1334455533545,20.78785531021164,-0.8338745071848269
