problema,C,inc_nosso,inc_paper,inc_paper_delta005,inc_delta008_estrito_lt,diff_med,diff_min,diff_max,n_diff_igual_005,ratio_med,ratio_old_c1,frac_inc_nosso,frac_inc_paper
BBOB_F1,66,21,18,21,18,0.010000000000000009,-0.32,0.35,1,0.28500000000000003,0.09,0.3181818181818182,0.2727272727272727
BBOB_F17,66,21,8,21,8,0.0,-0.19999999999999998,0.16,3,0.22,0.05,0.3181818181818182,0.12121212121212122
BBOB_F22,66,18,14,18,15,-0.009999999999999995,-0.23,0.2,2,0.19,0.04,0.2727272727272727,0.21212121212121213
BBOB_F37,66,19,11,19,11,0.0050000000000000044,-0.18,0.16999999999999998,3,0.2,0.04,0.2878787878787879,0.16666666666666666
BBOB_F49,66,18,13,18,13,-0.0050000000000000044,-0.26,0.24,2,0.33,0.05,0.2727272727272727,0.19696969696969696
BBOB_F5,66,20,16,20,16,0.0,-0.3,0.30000000000000004,3,0.38,0.03,0.30303030303030304,0.24242424242424243
BBOB_F55,66,15,11,15,11,0.009999999999999981,-0.28,0.15000000000000002,3,0.24,0.04,0.22727272727272727,0.16666666666666666
DTLZ1,46,11,7,11,7,-0.01098901098901095,-0.4725274725274725,0.17582417582417587,0,0.7197802197802198,0.23076923076923078,0.2391304347826087,0.15217391304347827
DTLZ2,80,16,7,16,7,0.0,-0.2747252747252747,0.20879120879120872,0,0.7472527472527473,0.4175824175824176,0.2,0.0875
DTLZ3,80,20,11,20,11,-0.01098901098901095,-0.23076923076923078,0.23076923076923073,0,0.6593406593406593,0.2967032967032967,0.25,0.1375
DTLZ4,80,24,18,24,18,-0.010989010989011005,-0.32967032967032966,0.24175824175824173,0,0.478021978021978,0.14285714285714285,0.3,0.225
DTLZ7,146,51,42,51,42,0.005494505494505475,-0.37362637362637363,0.26373626373626374,0,0.4725274725274725,0.21978021978021978,0.3493150684931507,0.2876712328767123
MMF1,13,5,4,5,4,-0.12000000000000005,-0.59,0.51,0,0.59,0.03,0.38461538461538464,0.3076923076923077
MMF11_L,13,4,1,4,1,0.010000000000000009,-0.69,0.15000000000000002,2,0.87,0.18,0.3076923076923077,0.07692307692307693
MMF16_20,133,36,18,36,18,0.0,-0.37362637362637363,0.1428571428571429,0,0.7362637362637363,0.37362637362637363,0.2706766917293233,0.13533834586466165
MMF4,13,4,4,4,4,-0.08999999999999997,-0.37,0.22999999999999998,0,0.66,0.16,0.3076923076923077,0.3076923076923077
WFG1,146,33,24,33,24,0.0,-0.49,0.29,5,0.94,0.17,0.22602739726027396,0.1643835616438356
WFG2,146,39,24,39,24,0.0,-0.24,0.29,7,0.42,0.08,0.2671232876712329,0.1643835616438356
WFG4,146,37,26,37,26,0.010000000000000009,-0.42000000000000004,0.24,3,0.75,0.21,0.2534246575342466,0.1780821917808219
WFG5,146,39,26,39,26,0.0,-0.5,0.24,9,0.65,0.14,0.2671232876712329,0.1780821917808219
WFG9,146,44,37,44,37,-0.010000000000000009,-0.36000000000000004,0.32,3,0.54,0.15,0.3013698630136986,0.2534246575342466
ZDT1,200,55,35,55,35,0.0,-0.53,0.24000000000000005,6,0.35,0.13,0.275,0.175
ZDT3,200,55,38,55,38,0.010000000000000009,-0.25999999999999995,0.21999999999999997,10,0.355,0.14,0.275,0.19
ZDT4,66,22,11,22,11,0.0,-0.25,0.33999999999999997,5,0.19,0.02,0.3333333333333333,0.16666666666666666
ZDT6,66,17,12,17,12,0.0,-0.41,0.21999999999999997,3,0.185,0.07,0.25757575757575757,0.18181818181818182
