problema,D,M,n_real,maxfe,fe_final,U1_fe_exato,U1_feidx_denso,U1_solid_denso,n_init,U2_init_exato,n_opt,U2_opt_exato,U2_dX_max,U2_hash_ok,doe_hash_sidecar,C_e7gen,n_geracoes_man,U10_ngen_eq_C1,U10_timing_C1,U10_pop_gers,U10_pop_eq_C1,U10_pop_prog_ok,n_pop_rows,n_pop_esperado,U10_pop_total_ok,U10_ger1_dup,tempo_fit_inicial_s,tempo_fit_upd_c1,razao_80k_8k,tfi_so_em_c1,lote3_all,lotes,fe_ciclo3_all,delta_set,gat_ok,gat_n,n_conv,n_inc,motivo_ok,n_inc_se_paper,NW,NW_manifest,N_pop,ratio_quant_max,ratio_quant_ok,ratio_min,ratio_max,pop_por_w_len,pop_por_w_vals,n_std_neg_tot,n_dup_infill_tot,stall_tot,guards,cache_hits_man,cache_hits_footer,n_cache_guard,U9_ok,hard_stop,hard_stop_esperado,C_esperado,U14_ok,overshoot_teorico,esp_c1,esp_resto_ok,ymin_chain_max,ymin_chain_n,ymin_c1,n_treino_const,n_acum_const,fe_ok,fetm_ok,fetm_mono,U7_viol,U7_n,U7_viol_com_sonda,U7_sonda_gers,hp_T,hp_drop,hp_lr,hp_wd,hp_batch,hp_batch_eq_D,hp_neuron,hp_pi,hp_pu,hp_loss,hp_const,hp_drop_all,hp_T_all,hp_loss_all,nclu3,nfront1_min,nfront1_max,nfront1_c1,nfront1_last,distmin_n,distmin_min,distmin_med,distmin_zeros,rss_max,rss_c1,sonda_n_blocos,sonda_man_blocos,sonda_gers_eq_man,sonda_cad_ok,sonda_gers_falt,sonda_gers_extra,sonda_falhas,sonda_npontos_ok,sonda_ok_all,sonda_xhash_ok,status,n_retries,fallback,footer_n,termino,cp_init,tem_motivo_parada,tempo_total_s,tempo_fit_tot,tempo_busca_tot,tempo_sonda_tot,tempo_aval_tot,soma_comp,frac_busca,frac_fit,frac_sonda,overhead,s_por_ciclo,passos_sgd
BBOB_F1,10,2,309,309,309,True,True,True,109,True,200,True,2.375113989927513e-07,True,f875df0bb019,66,67,True,True,67,True,True,13936,13936,True,True,3.616258833333333,0.3342274583333333,10.819753862732451,True,True,[3],True,[0.05],66,66,45,21,66,18,100,100,100,3.552713678800501e-15,66,0.11,0.63,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 309)]",1,1,1,True,True,True,66,True,1,cru,True,0.0,65,"[0, 0]",True,True,True,True,True,0,66,34,35,100,"(0.1, 0.1)",0.01,1e-05,10,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,2,22,2,22,198,0.4224429823626237,1.122282657620013,0,1184.40625,950.796875,35,35,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1548.30040025,25.44945067167282,1423.6222743988037,53.83629754166667,0.0557745416666666,1502.96379715381,0.9194742016271101,0.016437023892497585,0.034771222388739205,0.029281529016507112,23.108961197761193,616000
BBOB_F17,10,2,309,309,309,True,True,True,109,True,200,True,2.378790329160552e-07,True,d15aed2c60ef,66,67,True,True,67,True,True,13936,13936,True,True,3.607123125,0.3352949583333333,10.75805953936826,True,True,[3],True,[0.05],66,66,45,21,66,8,100,100,100,3.552713678800501e-15,66,0.09,0.44,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 309)]",1,1,1,True,True,True,66,True,1,cru,True,0.0,65,"[0, 0]",True,True,True,True,True,0,66,34,35,100,"(0.1, 0.1)",0.01,1e-05,10,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,4,15,5,15,198,1.917001471545988,3.5293147770080315,0,1165.5,960.4375,35,35,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1544.125487625,25.69229656457901,1422.584768295288,51.299646,0.0625777499999999,1499.639288609867,0.9212883147750821,0.01663873614578826,0.033222459192033246,0.028809963550019947,23.04664906902985,616000
BBOB_F22,10,2,309,309,309,True,True,True,109,True,200,True,2.345476923792944e-07,True,f363ce9265e2,66,67,True,True,67,True,True,13936,13936,True,True,3.483243,0.3285642916666667,10.601404621089504,True,True,[3],True,[0.05],66,66,48,18,66,14,100,100,100,1.7763568394002505e-15,66,0.06,0.38,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 309)]",1,1,1,True,True,True,66,True,1,cru,True,0.0,65,"[0, 0]",True,True,True,True,True,0,66,34,35,100,"(0.1, 0.1)",0.01,1e-05,10,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,3,14,6,14,198,0.8709888358486416,1.8534152601447649,0,1129.984375,952.984375,35,35,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1544.1875012083333,25.48673313856125,1424.3691596984863,51.82940829166666,0.0553388749999999,1501.7406400037141,0.9224068700102231,0.016504947176827794,0.03356419363005459,0.027488152294591367,23.047574644900497,616000
BBOB_F37,10,2,309,309,309,True,True,True,109,True,200,True,2.3685163252906707e-07,True,6ff27d4d787c,66,67,True,True,67,True,True,13936,13936,True,True,3.3667602083333334,0.3190469166666667,10.55255522764024,True,True,[3],True,[0.05],66,66,47,19,66,11,100,100,100,3.552713678800501e-15,66,0.07,0.39,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 309)]",1,1,1,True,True,True,66,True,1,cru,True,0.0,65,"[0, 0]",True,True,True,True,True,0,66,34,35,100,"(0.1, 0.1)",0.01,1e-05,10,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,3,12,4,12,198,0.9336261441933008,1.767090841389788,0,1522.546875,952.890625,35,35,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1556.3472852083332,25.2241712808609,1433.2948837280271,51.913653125,0.063904,1510.4966121338882,0.9209351263372851,0.016207289671523656,0.033356085507644795,0.02946043823908327,23.22906395833333,616000
BBOB_F49,10,2,309,309,309,True,True,True,109,True,200,True,2.365150315597475e-07,True,95bec03708fd,66,67,True,True,67,True,True,13936,13936,True,True,3.3507365,0.3366695416666667,9.952597682024743,True,True,[3],True,[0.05],66,66,48,18,66,13,100,100,100,3.552713678800501e-15,66,0.22,0.54,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 309)]",1,1,1,True,True,True,66,True,1,cru,True,0.0,65,"[0, 0]",True,True,True,True,True,0,66,34,35,100,"(0.1, 0.1)",0.01,1e-05,10,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,5,15,5,12,198,1.0451614710513888,2.5222190182756847,0,1687.8125,955.078125,35,35,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1558.0955396666666,25.08858108520508,1436.599645614624,52.02322233333333,0.2274144166666667,1513.9388634498291,0.9220228214772793,0.016102081320746506,0.03338898097639314,0.028340159568317737,23.25515730845771,616000
BBOB_F5,10,2,309,309,309,True,True,True,109,True,200,True,2.3727650955152058e-07,True,9c1c6f9e8c0a,66,67,True,True,67,True,True,13936,13936,True,True,3.440813791666667,0.3368690416666666,10.21409914856874,True,True,[3],True,[0.05],66,66,46,20,66,16,100,100,100,7.105427357601002e-15,66,0.06,0.72,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 309)]",1,1,1,True,True,True,66,True,1,cru,True,0.0,65,"[0, 0]",True,True,True,True,True,0,66,34,35,100,"(0.1, 0.1)",0.01,1e-05,10,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,2,21,2,20,198,0.6413359218078253,1.3770018181719346,0,1666.484375,952.84375,35,35,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1545.4808760833334,24.714083045721058,1425.0876941680908,52.06509891666667,0.0505790416666667,1501.917455172145,0.9220998565699813,0.015991193050769563,0.03368860768346336,0.0281876156381759,23.06687874751244,616000
BBOB_F55,10,2,309,309,309,True,True,True,109,True,200,True,2.357825561460914e-07,True,156cb913846b,66,67,True,True,67,True,True,13936,13936,True,True,3.4679574166666667,0.3457305,10.030811330405234,True,True,[3],True,[0.05],66,66,51,15,66,11,100,100,100,3.552713678800501e-15,66,0.12,0.44,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 309)]",1,1,1,True,True,True,66,True,1,cru,True,0.0,65,"[0, 0]",True,True,True,True,True,0,66,34,35,100,"(0.1, 0.1)",0.01,1e-05,10,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,3,11,3,11,198,0.5598353872182239,1.264296932746034,0,1628.640625,953.4375,35,35,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1560.86146625,24.917268812656403,1434.2832012176514,52.59462891666667,0.4760652083333336,1512.2711641553076,0.9189048690295012,0.015963792656449278,0.03369589810108279,0.031130438636192026,23.29643979477612,616000
DTLZ1,7,3,216,216,216,True,True,True,76,True,140,True,2.9680730539993764e-08,True,721bacf39910,46,47,True,True,47,True,True,6815,6815,True,True,3.0681450416666665,0.2803045416666667,10.9457557249117,True,True,[3],True,[0.05],46,46,35,11,46,7,91,91,100,7.105427357601002e-15,46,0.1538461538461538,0.8241758241758241,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 216)]",1,1,1,True,True,True,46,True,1,cru,True,0.0,45,"[0, 0, 0]",True,True,True,True,True,0,46,24,25,100,"(0.1, 0.1)",0.01,1e-05,7,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,17,25,18,25,138,0.0990823926222511,0.406736744797358,0,1164.578125,956.28125,25,25,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1093.2011304583334,16.107455402612686,999.1029033660888,37.102410625,0.0361247916666666,1052.3488941853682,0.9139241403338165,0.014734210342299504,0.033939235508697756,0.037369368851491766,23.25959852039007,456000
DTLZ2,12,3,371,371,371,True,True,True,131,True,240,True,2.9765084841315573e-08,True,e9e359a6a4af,80,81,True,True,81,True,True,20331,20331,True,True,3.8416525416666665,0.3654473333333333,10.512192021285328,True,True,[3],True,[0.05],80,80,64,16,80,7,91,91,100,7.105427357601002e-15,80,0.6373626373626373,0.8901098901098901,[19],[100],0,0,0,"[('cache_hit', 1)]",1,1,1,True,False,False,80,True,0,cru,True,0.0,79,"[0, 0, 0]",True,True,True,True,True,0,80,41,41,100,"(0.1, 0.1)",0.01,1e-05,12,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,40,96,40,94,240,0.1728026194674621,0.3619870009959518,0,1443.125,964.28125,41,41,True,False,[81],[],0,True,True,True,ok,0,False,1,normal,True,False,1868.3858669166664,33.845939218997955,1747.6285343170166,60.73757225000001,0.0554405,1842.2674862860147,0.9353680978121872,0.018115069171901175,0.03250804521992727,0.013979114856907999,23.066492184156374,728000
DTLZ3,12,3,371,371,371,True,True,True,131,True,240,True,2.9797159739608503e-08,True,b41f7d771c68,80,81,True,True,81,True,True,20331,20331,True,True,3.8895375833333334,0.3768497083333333,10.32119037728679,True,True,[3],True,[0.05],80,80,60,20,80,11,91,91,100,7.105427357601002e-15,80,0.4395604395604395,0.7912087912087912,[19],[100],0,0,0,"[('cache_hit', 1)]",1,1,1,True,False,False,80,True,0,cru,True,0.0,79,"[0, 0, 0]",True,True,True,True,True,0,80,41,41,100,"(0.1, 0.1)",0.01,1e-05,12,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,16,33,19,32,240,0.2814062522129317,0.7113495963843735,0,1417.59375,968.234375,41,41,True,False,[81],[],0,True,True,True,ok,0,False,1,normal,True,False,1837.11811975,34.39599123597145,1716.5202026367188,60.97382216666668,0.0585681249999999,1811.9485841643568,0.9343548377119635,0.018722797879023777,0.03318993020163786,0.013700553772268234,22.68047061419753,728000
