gate D92 HV smoke: 1.04333
BBOB_F1 0.8345
BBOB_F17 0.7592
BBOB_F22 0.7518
BBOB_F37 0.707
BBOB_F49 0.462
BBOB_F5 0.8518
BBOB_F55 0.8924
DTLZ1 0.3112
DTLZ2 0.5831
DTLZ3 0.3288
DTLZ4 0.7393
DTLZ7 0.7413
MMF1 0.4339
MMF11_L 0.5755
MMF16_20 0.4823
MMF4 0.5446
WFG1 0.4784
WFG2 0.1131
WFG4 0.3686
WFG5 0.3669
WFG9 0.4364
ZDT1 0.8105
ZDT3 0.7161
ZDT4 0.3968
ZDT6 0.4651
    problema   D  M   igd_doe   igd_fin   ganho  nd_doe  nd_fin  hv_doe  hv_fin
0    BBOB_F1  10  2    0.5082    0.0841  0.8345       7      22  0.2873  0.8735
1   BBOB_F17  10  2    0.1057    0.0254  0.7592       6      15  1.0148  1.1286
2   BBOB_F22  10  2    0.9287    0.2305  0.7518       5      14  0.0000  0.7375
3   BBOB_F37  10  2    0.6756    0.1979  0.7070       5      12  0.1217  0.6065
4   BBOB_F49  10  2    0.5068    0.2727  0.4620       5      12  0.4346  0.7332
5    BBOB_F5  10  2    0.6099    0.0904  0.8518       7      16  0.0788  0.7185
6   BBOB_F55  10  2    1.0905    0.1173  0.8924       4      11  0.0185  0.9441
7      DTLZ1   7  3  115.2437   79.3824  0.3112      17      25  0.0000  0.0000
8      DTLZ2  12  3    0.4484    0.1870  0.5831      40      94  0.0522  0.3802
9      DTLZ3  12  3  446.9151  299.9545  0.3288      19      32  0.0000  0.0000
10     DTLZ4  12  3    0.8196    0.2136  0.7393       7      17  0.0000  0.2032
11     DTLZ7  22  3    2.6970    0.6977  0.7413      21      34  0.0000  0.0000
12      MMF1   2  2    0.1178    0.0667  0.4339       7      11  0.6183  0.7471
13   MMF11_L   2  2    0.0614    0.0261  0.5755       9      12  0.8851  0.9773
14  MMF16_20  20  3    0.0778    0.0403  0.4823      50     111  0.5559  0.6937
15      MMF4   2  2    0.0683    0.0311  0.5446       9      25  0.4059  0.4790
16      WFG1  22  2    1.0003    0.5218  0.4784      18      77  0.0000  0.1673
17      WFG2  22  2    0.2351    0.2085  0.1131       8       8  0.4321  0.4556
18      WFG4  22  2    0.1345    0.0849  0.3686      30      49  0.2004  0.2649
19      WFG5  22  2    0.2162    0.1368  0.3669      36      36  0.1320  0.2085
20      WFG9  22  2    0.2387    0.1345  0.4364      15      15  0.0915  0.1814
21      ZDT1  30  2    2.0959    0.3973  0.8105      14      26  0.0000  0.2995
22      ZDT3  30  2    1.2547    0.3562  0.7161      12      17  0.0000  0.2182
23      ZDT4  10  2   91.9217   55.4442  0.3968       8       1  0.0000  0.0000
24      ZDT6  10  2    7.9973    4.2778  0.4651       7       4  0.0000  0.0000

ganho mediano sobre o DoE: 0.5446 | celulas com ganho ~0: 0 | min 0.1131 max 0.8924
