label,problema,tier,dist,n_dataset,kflag_lider,n_final,n_nd,fantasia,igd_plus_7,hv_7,igd_plus_7_nd,hv_7_nd,igd_plus_dataset,ganho_rel,pop_linhas,soma_n_ds_membros,pop_eq_soma,ndsm_g1,ndsm_g99,ndsm_zera_em,orig_sid_naonulo,IDENT_sid_eq_ndsm99,nfront1_g1,nfront1_g99
BBOB_F1,BBOB_F1,small,lhs,309,RBFN,100,99,0.99,0.006707131941329389,1.0268755406557037,0.006707131941329389,1.0268755406557037,0.3862484203788069,0.9826351860940907,98,98,True,64,0,6.0,0,True,7,99
BBOB_F17,BBOB_F17,small,lhs,309,RBFN,100,9,0.09,0.0809068278140177,1.0039655088435206,0.0809068278140177,1.0039655088435206,0.07688428143559754,-0.05231948980091154,70,70,True,56,0,5.0,0,True,11,100
BBOB_F22,BBOB_F22,small,lhs,309,RBFN,100,20,0.2,0.4649127323552117,0.4546381554234699,0.4649127323552117,0.4546381554234699,1.0748151779345663,0.5674486721999797,110,110,True,63,0,7.0,0,True,5,100
BBOB_F37,BBOB_F37,small,lhs,309,RBFN,100,5,0.05,0.3101446345657044,0.39286951878392024,0.3101446345657044,0.39286951878392024,0.5034143939497656,0.3839178253678362,122,122,True,64,0,14.0,0,True,6,100
BBOB_F49,BBOB_F49,small,lhs,309,RBFN,100,15,0.15,0.3347313389783466,0.5628991429732192,0.3347313389783466,0.5628991429732192,0.33490728311011936,0.0005253517634457995,948,948,True,64,8,,8,True,8,90
BBOB_F5,BBOB_F5,small,lhs,309,RBFN,100,74,0.74,0.08428194447892468,0.7342992828165342,0.08428194447892468,0.7342992828165342,0.5185289806592093,0.8374595295102378,322,322,True,62,2,,2,True,10,98
BBOB_F55,BBOB_F55,small,lhs,309,RBFN,100,4,0.04,0.9561693974866271,0.03203052147834735,0.9561693974866271,0.03203052147834735,0.9561693927609834,-4.942266182065508e-09,2609,2609,True,92,20,,20,True,4,4
DTLZ1,DTLZ1,small,lhs,216,RBFN,100,24,0.24,75.32358173827524,0.0,75.32358173827524,0.0,75.32352791621113,-7.145451838525918e-07,2508,2508,True,66,22,,22,True,58,98
DTLZ2,DTLZ2,small,lhs,371,RBFN,100,81,0.81,0.07575006422749106,0.5867407654860621,0.07575006422749106,0.5867407654860621,0.43823498936540817,0.8271473842442797,2141,2141,True,70,18,,18,True,81,99
DTLZ3,DTLZ3,small,lhs,371,RBFN,100,46,0.46,250.61629106443735,0.0,250.61629106443735,0.0,398.39091750128574,0.3709287033040141,2234,2234,True,84,8,,8,True,44,99
DTLZ4,DTLZ4,small,lhs,371,RBFN,100,22,0.22,0.5921455226533678,0.11918296790122998,0.5921455226533678,0.11918296790122998,0.7908760920109282,0.25127902001975594,573,573,True,50,5,,5,True,20,99
DTLZ7,DTLZ7,small,lhs,681,Kriging,100,40,0.4,0.054448651346112625,0.5151803758967477,0.054448651346112625,0.5151803758967477,2.470206215881323,0.9779578518602804,124,124,True,79,0,5.0,0,True,50,100
MMF1,MMF1,small,lhs,61,RBFN,100,37,0.37,0.04894027381483341,0.7677347664904137,0.04894027381483341,0.7677347664904137,0.05628669750862405,0.13051793796687125,2917,2917,True,42,29,,29,True,13,57
MMF11_L,MMF11_L,small,lhs,61,Kriging,100,73,0.73,0.028169703899792387,0.9860056273406983,0.028169703899792387,0.9860056273406983,0.0419580102470012,0.328621549640674,50,50,True,29,0,5.0,0,True,23,94
MMF16_20,MMF16_20,small,lhs,619,RBFN,100,100,1.0,0.5060223598911855,0.03687283442807217,0.5060223598911855,0.03687283442807217,0.05278457747014157,-8.586556985843545,2104,2104,True,94,0,93.0,0,True,92,100
