label,ndsm_g1,ndsm_g99,pop_linhas,soma,pop_eq,orig_sid,ident,zera_em,meia_vida
BBOB_F1,64,0,98,98,True,0,True,6.0,2.0
BBOB_F17,56,0,70,70,True,0,True,5.0,2.0
BBOB_F22,63,0,110,110,True,0,True,7.0,2.0
BBOB_F37,64,0,122,122,True,0,True,14.0,2.0
BBOB_F49,64,8,948,948,True,8,True,,2.0
BBOB_F5,62,2,322,322,True,2,True,,3.0
BBOB_F55,92,20,2609,2609,True,20,True,,8.0
DTLZ1,66,22,2508,2508,True,22,True,,7.0
DTLZ2,70,18,2141,2141,True,18,True,,7.0
DTLZ3,84,8,2234,2234,True,8,True,,18.0
DTLZ4,50,5,573,573,True,5,True,,3.0
DTLZ7,79,0,124,124,True,0,True,5.0,2.0
MMF1,42,29,2917,2917,True,29,True,,
MMF11_L,29,0,50,50,True,0,True,5.0,2.0
MMF16_20,94,0,2104,2104,True,0,True,93.0,24.0
MMF4,41,0,71,71,True,0,True,6.0,3.0
WFG1,100,79,8447,8447,True,79,True,,
WFG2,100,95,9609,9609,True,95,True,,
WFG4,82,51,5394,5394,True,51,True,,
WFG5,71,19,2588,2588,True,19,True,,16.0
WFG9,75,9,1730,1730,True,9,True,,9.0
ZDT1,77,0,116,116,True,0,True,6.0,2.0
ZDT3,89,0,237,237,True,0,True,7.0,3.0
ZDT4,76,0,513,513,True,0,True,42.0,3.0
ZDT6,68,7,847,847,True,7,True,,2.0
swap_medium-lhs_DTLZ2,94,26,3265,3265,True,26,True,,8.0
swap_medium-lhs_MMF16_20,100,0,1377,1377,True,0,True,33.0,15.0
swap_medium-lhs_WFG9,84,7,1268,1268,True,7,True,,5.0
swap_medium-lhs_ZDT1,83,0,124,124,True,0,True,4.0,2.0
swap_medium-lhs_ZDT4,93,0,195,195,True,0,True,11.0,2.0
swap_medium-mvns_DTLZ2,95,13,2019,2019,True,13,True,,6.0
swap_medium-mvns_MMF16_20,99,0,1060,1060,True,0,True,33.0,12.0
swap_medium-mvns_WFG9,100,67,7632,7632,True,67,True,,
swap_medium-mvns_ZDT1,84,0,150,150,True,0,True,5.0,3.0
swap_medium-mvns_ZDT4,98,0,299,299,True,0,True,18.0,3.0
swap_small-lhs_DTLZ2,70,18,2141,2141,True,18,True,,7.0
swap_small-lhs_MMF16_20,94,0,2104,2104,True,0,True,93.0,24.0
swap_small-lhs_WFG9,75,9,1730,1730,True,9,True,,9.0
swap_small-lhs_ZDT1,77,0,116,116,True,0,True,6.0,2.0
swap_small-lhs_ZDT4,76,0,513,513,True,0,True,42.0,3.0
swap_small-mvns_DTLZ2,78,5,903,903,True,5,True,,4.0
swap_small-mvns_MMF16_20,93,4,2478,2478,True,4,True,,28.0
swap_small-mvns_WFG9,88,46,4985,4985,True,46,True,,
swap_small-mvns_ZDT1,83,0,132,132,True,0,True,7.0,2.0
swap_small-mvns_ZDT4,67,0,151,151,True,0,True,11.0,3.0
