alg,exp,n_cel,n_ev,familias,has_fe,has_f_best,has_n_front1,has_modelo_hp,has_tempo_fit_s,has_tempo_busca_s,has_dist_min_arquivo,has_ideal,has_nadir_pop,has_nadir_front1,n_di10,n_pisos
b1,main,24,7447,b1_gen/,True,True,True,True,True,True,True,False,False,False,7,0
b3,main,25,1443,b3_gen/,True,True,True,True,True,True,True,False,False,False,7,0
b4,main,25,6268,b4_gen/,True,True,True,True,True,True,True,False,False,False,7,0
b5m,off,25,17505,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
b5m,sweep-medium-lhs,5,3165,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
b5m,sweep-medium-mvns,5,3165,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
b5m,sweep-small-lhs,5,3165,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
b5m,sweep-small-mvns,5,3165,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
b5r,off,25,27977,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
b5r,sweep-medium-lhs,5,8142,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
b5r,sweep-medium-mvns,5,6579,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
b5r,sweep-small-lhs,5,6728,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
b5r,sweep-small-mvns,5,8410,decision/b5_gen,True,True,True,False,False,False,False,False,False,False,3,0
c122,main,25,7022,decision/c122_gen,True,True,True,False,True,True,True,False,False,False,6,0
c141,main,25,1967,c141_gen/,True,True,True,True,True,True,True,False,False,False,7,0
c149,batch,5,1000,decision/c149_gen,True,True,True,True,True,True,True,False,False,False,7,0
c149,main,25,7020,decision/c149_gen,True,True,True,True,True,True,True,False,False,False,7,0
c154,main,11,1673,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False,7,0
c217,main,25,6762,c217_gen/,True,True,True,True,True,True,True,False,False,False,7,0
c238,main,25,7020,c238_gen/,True,True,True,True,True,True,True,False,False,False,7,0
c262,main,21,5201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False,7,0
c311,off,25,100,decision/c311_build,True,True,True,False,True,True,False,False,False,False,5,0
c311,sweep-big-lhs,5,217,decision/c311_build,True,True,True,False,True,True,False,False,False,False,5,0
c311,sweep-big-mvns,5,196,decision/c311_build,True,True,True,False,True,True,False,False,False,False,5,0
c311,sweep-medium-lhs,5,43,decision/c311_build,True,True,True,False,True,True,False,False,False,False,5,0
c311,sweep-medium-mvns,5,49,decision/c311_build,True,True,True,False,True,True,False,False,False,False,5,0
c311,sweep-small-lhs,5,20,decision/c311_build,True,True,True,False,True,True,False,False,False,False,5,0
c311,sweep-small-mvns,5,20,decision/c311_build,True,True,True,False,True,True,False,False,False,False,5,0
e103,off,25,2475,e103_gen/,True,True,True,False,False,False,False,False,False,False,3,0
e103,sweep-medium-lhs,5,495,e103_gen/,True,True,True,False,False,False,False,False,False,False,3,0
e103,sweep-medium-mvns,5,495,e103_gen/,True,True,True,False,False,False,False,False,False,False,3,0
e103,sweep-small-lhs,5,495,e103_gen/,True,True,True,False,False,False,False,False,False,False,3,0
e103,sweep-small-mvns,5,495,e103_gen/,True,True,True,False,False,False,False,False,False,False,3,0
e7,main,25,2328,e7_gen/,True,True,True,True,True,True,True,False,False,False,7,0
e74,main,25,7347,e74_boot/;e74_gen/,True,True,True,True,True,True,True,False,False,False,7,0
e81,batch,5,1000,decision/e81_gen,True,True,True,True,True,True,True,False,False,False,7,0
e81,main,25,7020,decision/e81_gen,True,True,True,True,True,True,True,False,False,False,7,0
moead,main,25,469,moead_gen/,True,True,True,False,False,False,False,True,True,True,3,3
moead_media,off,25,17505,decision/moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0
moead_media,sweep-medium-lhs,5,3165,decision/moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0
moead_media,sweep-medium-mvns,5,3165,decision/moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0
moead_media,sweep-small-lhs,5,3165,decision/moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0
moead_media,sweep-small-mvns,5,3165,decision/moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0
nsga2,main,25,376,nsga2_gen/,True,True,True,False,False,False,False,True,True,True,3,3
nsga3,main,25,413,nsga3_gen/,True,True,True,False,False,False,False,True,True,True,3,3
smsemoa,main,25,376,smsemoa_gen/,True,True,True,False,False,False,False,True,True,True,3,3
sobol_batch,batch,5,1000,decision/sobol_batch_gen,True,True,False,False,False,False,False,False,False,False,2,0
