problema,D,M,N,NI,NI_mu,ramo_a_estrutural,ciclo1_size_Via,ciclo1_ramo,new_encontrados,ciclo1_len_Total,ciclo1_size_Vi
BBOB_F1,10,2,100,109,104,False,,(b) ESTRUTURAL,,,
BBOB_F17,10,2,100,109,104,False,,(b) ESTRUTURAL,,,
BBOB_F22,10,2,100,109,104,False,,(b) ESTRUTURAL,,,
BBOB_F37,10,2,100,109,104,False,,(b) ESTRUTURAL,,,
BBOB_F49,10,2,100,109,104,False,,(b) ESTRUTURAL,,,
BBOB_F5,10,2,100,109,104,False,,(b) ESTRUTURAL,,,
BBOB_F55,10,2,100,109,104,False,,(b) ESTRUTURAL,,,
DTLZ1,7,3,91,76,71,True,47.0,(b) ok,5.0,76.0,87.0
DTLZ2,12,3,91,131,126,False,,(b) ESTRUTURAL,,,
DTLZ3,12,3,91,131,126,False,,(b) ESTRUTURAL,,,
DTLZ4,12,3,91,131,126,False,,(b) ESTRUTURAL,,,
DTLZ7,22,3,91,241,236,False,,(b) ESTRUTURAL,,,
MMF1,2,2,100,21,16,True,18.0,(a) BUG,5.0,21.0,95.0
MMF11_L,2,2,100,21,16,True,19.0,(a) BUG,5.0,21.0,95.0
MMF16_20,20,3,91,219,214,False,,(b) ESTRUTURAL,,,
MMF4,2,2,100,21,16,True,19.0,(a) BUG,5.0,20.0,95.0
WFG1,22,2,100,241,236,False,,(b) ESTRUTURAL,,,
WFG2,22,2,100,241,236,False,,(b) ESTRUTURAL,,,
WFG4,22,2,100,241,236,False,,(b) ESTRUTURAL,,,
WFG5,22,2,100,241,236,False,,(b) ESTRUTURAL,,,
WFG9,22,2,100,241,236,False,,(b) ESTRUTURAL,,,
ZDT1,30,2,100,329,324,False,,(b) ESTRUTURAL,,,
ZDT3,30,2,100,329,324,False,,(b) ESTRUTURAL,,,
ZDT4,10,2,100,109,104,False,,(b) ESTRUTURAL,,,
ZDT6,10,2,100,109,104,False,,(b) ESTRUTURAL,,,
