problema,b3,melhor_piso,razao,piso
BBOB_F1,0.0412065514006254,0.1359531134257377,0.3030938414156572,nsga2
BBOB_F17,0.0273855805400489,0.0206141256299147,1.3284861570993647,nsga2
BBOB_F22,0.0599255344899914,0.1591300073706684,0.37658223913987676,smsemoa
BBOB_F37,0.1572649032168013,0.2539185871646663,0.6193516787127322,smsemoa
BBOB_F49,0.1511467023513817,0.2070601036537373,0.7299653563592408,nsga2
BBOB_F5,0.0303389079646851,0.1192824482234564,0.25434511461275555,smsemoa
BBOB_F55,0.0525601226054507,0.6061479210199184,0.0867117097704663,nsga2
DTLZ1,107.90095654288476,45.34570273153767,2.379518896899579,nsga2
DTLZ2,0.1420440366274875,0.1700820491933293,0.8351500778664097,smsemoa
DTLZ3,426.7214887384964,129.76799112603217,3.288341639842907,smsemoa
DTLZ4,0.4298240303343262,0.2823977915542932,1.522051670335705,nsga3
DTLZ7,0.0507528544036108,1.1247085866087754,0.04512533736106786,nsga3
MMF1,0.0450406808380648,0.0570132770384747,0.7900033672449605,nsga3
MMF11_L,0.0137555248377796,0.0231565498976292,0.594023069005971,nsga3
MMF16_20,0.0246641935331076,0.0316158421272363,0.7801213528916245,smsemoa
MMF4,0.0223485227594842,0.0377119334276083,0.5926114290158141,nsga3
WFG1,0.5019701836745175,0.4953917959793528,1.0132791615617287,smsemoa
WFG2,0.1142921612591666,0.1227556938180429,0.9310538493520183,nsga2
WFG4,0.1038205373773919,0.044424346453198,2.337018902163683,smsemoa
WFG5,0.0541615136179472,0.0930752077028518,0.5819112839464307,nsga2
WFG9,0.1991034580783021,0.0955346891283579,2.0840959435246806,nsga3
ZDT1,0.0195147937526374,0.4440783896843883,0.04394447963681996,nsga2
ZDT3,0.0167492119711416,0.3442625865872861,0.04865243167193517,nsga2
ZDT4,40.410159213164334,43.898268794314845,0.9205410674053223,nsga2
ZDT6,1.5372928378696342,6.445675963031797,0.23849986358087896,nsga2
