problema,nb,auc,aucnd,frac0,conf,auc_q1,auc_q4,ndc_q1,ndc_q4,d_auc,d_nd
BBOB_F1,96,0.5071915071915072,0.6150376884422111,0.9125,0.3333333432674408,0.5247158372158371,0.5003127919794587,0.606269891122278,0.5749371859296483,-0.024403045236378484,-0.03133270519262976
BBOB_F17,99,0.5054910494194448,0.5754208027621925,0.945,0.3333333432674408,0.516417126920809,0.4994203072827655,0.559985373807126,0.6073826307965281,-0.016996819638043503,0.047397256989402115
BBOB_F22,71,0.498502994011976,0.6246242484969939,0.9555,0.3333333432674408,0.5129840519362078,0.49225079253258186,0.6489707355888248,0.5027149888011317,-0.020733259403625914,-0.14625574678769304
BBOB_F37,94,0.5075525075525076,0.7102315512048193,0.918,0.3333333432674408,0.5192286714025844,0.49401547227634174,0.7675007093591758,0.6044899707525754,-0.025213199126242702,-0.16301073860660042
BBOB_F49,99,0.498018,0.4602996399674809,0.949,0.3333333432674408,0.5064096875,0.49617625,0.5072796897784316,0.43411340379131014,-0.010233437500000053,-0.0731662859871215
BBOB_F5,81,0.5073965073965074,0.6034655951783023,0.929,0.3333333432674408,0.5215050965050965,0.5087122587122588,0.6201252860092639,0.5269085886489202,-0.012792837792837686,-0.09321669736034366
BBOB_F55,90,0.505004755004755,0.6177522590361446,0.91325,0.3333333432674408,0.5142109914837188,0.5007640916731826,0.5485692771084337,0.6443700940124132,-0.013446899810536261,0.09580081690397946
DTLZ1,71,0.494876953892585,0.4996362603012219,0.3485,0.3333333432674408,0.5007740952021509,0.5020039298000741,0.4989606004379587,0.4947100613476422,0.0012298345979232517,-0.004250539090316474
DTLZ2,102,0.5025884344248274,0.5009230623579904,0.694,0.1666666716337204,0.5009137098492555,0.5071337752928806,0.5078777455188084,0.5005216485735925,0.006220065443625078,-0.007356096945215884
DTLZ3,121,0.488025413245249,0.5225594206736166,0.377,0.3333333432674408,0.4981014569713917,0.48270890273623407,0.5275873681059643,0.5197179544743714,-0.015392554235157618,-0.007869413631592881
DTLZ4,121,0.551796,0.5177862448770492,0.397,0.3333333432674408,0.5627008333333333,0.5340628666666667,0.5235684198542805,0.5079156705373405,-0.028637966666666625,-0.01565274931693994
DTLZ7,217,0.5417265417265418,0.5722602885928961,0.257,0.3333333432674408,0.558318641651975,0.5326130511315696,0.5848063793386966,0.573039206385347,-0.02570559052040533,-0.011767172953349614
MMF1,22,0.5377112877112877,0.4796664181099371,0.3315,0.5,0.567900667900668,0.5168262168262168,0.4971678602079435,0.47985846335664134,-0.05107445107445119,-0.017309396851302172
MMF11_L,23,0.703211,0.6830019738965318,0.341,0.5,0.7572616999999999,0.7233596,0.6911032055179039,0.6855410202718424,-0.033902099999999935,-0.005562185246061557
MMF16_20,1,0.5689893804796435,0.551687057173656,0.162,0.4230769276618957,0.5689893804796435,0.5689893804796435,0.551687057173656,0.551687057173656,0.0,0.0
MMF4,20,0.5727927911711648,0.4965892163276244,0.2545,0.3333333432674408,0.5567089268357074,0.601936407745631,0.48519195756520095,0.5511813278477056,0.04522748090992357,0.06598937028250462
ZDT1,294,0.5895383581534326,0.6244845895998339,0.20675,0.3333333432674408,0.5802129235914204,0.5885588336873896,0.6250709597249465,0.6159706416709638,0.008345910095969189,-0.009100318053982703
ZDT3,292,0.5573648073648074,0.5671713038734316,0.24825,0.3333333432674408,0.5303345919784277,0.5872198680417859,0.5666449672934663,0.5796468420339013,0.05688527606335825,0.013001874740435015
ZDT4,92,0.5060028040252362,0.5649236613862806,0.8315,0.3333333432674408,0.4957295050438062,0.49902509992155136,0.5717480124535251,0.4623745220071492,0.003295594877745167,-0.10937349044637595
ZDT6,79,0.5483000483000483,0.6244974874371859,0.038,0.5,0.5785414732783154,0.5247721563511037,0.6899285903200212,0.5862483469981485,-0.05376931692721165,-0.10368024332187264
