problema,q1,q4,med,mx,zero,delta
BBOB_F1,0.13829787234042554,0.3475177304964539,0.3333333333333333,0.8333333333333334,0.12105263157894737,0.20921985815602837
BBOB_F17,0.1802721088435374,0.3707482993197279,0.3333333333333333,0.8333333333333334,0.12244897959183673,0.19047619047619052
BBOB_F22,0.2107843137254902,0.4754901960784314,0.3333333333333333,1.0,0.07246376811594203,0.26470588235294124
BBOB_F37,0.10144927536231883,0.4202898550724637,0.3333333333333333,0.8333333333333334,0.20967741935483872,0.31884057971014484
BBOB_F49,0.2022501308215594,0.40816326530612246,0.3333333333333333,0.8333333333333334,0.10714285714285714,0.20591313448456305
BBOB_F5,0.1621794871794872,0.4333333333333333,0.3333333333333333,0.8333333333333334,0.09375,0.2711538461538461
BBOB_F55,0.16462703962703962,0.3977272727272727,0.3333333333333333,1.0,0.11235955056179775,0.2331002331002331
DTLZ1,0.28095238095238095,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.05714285714285714,0.05238095238095236
DTLZ2,0.22534722222222225,0.05833333333333333,0.0,0.6666666666666666,0.525,-0.16701388888888893
DTLZ3,0.31076388888888895,0.3,0.3333333333333333,0.6666666666666666,0.058333333333333334,-0.010763888888888962
DTLZ4,0.2628472222222222,0.25277777777777777,0.3333333333333333,0.6666666666666666,0.1125,-0.010069444444444409
DTLZ7,0.34049844236760124,0.38940809968847356,0.3333333333333333,0.8333333333333334,0.03248259860788863,0.048909657320872324
MMF1,0.2833333333333333,0.3,0.5,0.6666666666666666,0.14285714285714285,0.016666666666666663
MMF11_L,0.25,0.3666666666666667,0.5,0.75,0.11627906976744186,0.1166666666666667
MMF16_20,0.004230769230769231,0.0,0.0,0.4230769230769231,0.9975,-0.004230769230769231
MMF4,0.34259259259259256,0.3148148148148148,0.3333333333333333,0.6666666666666666,0.23684210526315788,-0.027777777777777735
WFG1,0.00909090909090909,0.0,0.0,0.16666666666666666,0.9772727272727273,-0.00909090909090909
WFG2,0.0,0.013636363636363636,0.0,0.3333333333333333,0.8818181818181818,0.013636363636363636
WFG4,0.0,0.0,0.0,0.16666666666666666,0.9886363636363636,0.0
WFG5,0.0,0.03181818181818181,0.0,0.3333333333333333,0.9181818181818182,0.03181818181818181
WFG9,0.0303030303030303,0.06818181818181818,0.0,0.5,0.7278911564625851,0.03787878787878787
ZDT1,0.3779109589041096,0.3881278538812786,0.3333333333333333,0.8333333333333334,0.030716723549488054,0.010216894977168989
ZDT3,0.3058045977011494,0.3689655172413793,0.3333333333333333,0.675,0.05679862306368331,0.0631609195402299
ZDT4,0.12393162393162395,0.3814814814814814,0.3333333333333333,0.8333333333333334,0.13812154696132597,0.2575498575498575
ZDT6,0.4746963562753037,0.44298245614035087,0.5,1.0,0.012903225806451613,-0.031713900134952844
