fonte,igd,igd_plus,hv,gd,spacing,n_nd,delta_%
① float32 (oficial),0.4478029497283316,0.34804684231745553,0.08705699954898757,0.2901080730861852,0.43260128599721775,12,
f recomputado float64,0.4422023367992767,0.34804683989933904,0.0870569462590832,0.34487584181975,0.2518296433232325,25,
