problema,gers,nf1_std_eq,nf1_semempate_eq,se_delta_min,se_delta_max,se_enquadra
BBOB_F1,11,11,11,0,0,True
BBOB_F17,11,11,10,0,2,True
BBOB_F22,11,11,11,0,0,True
BBOB_F37,11,11,11,0,0,True
BBOB_F49,11,11,11,0,0,True
BBOB_F5,11,11,11,0,0,True
BBOB_F55,11,11,11,0,0,True
DTLZ1,8,8,3,0,2,True
DTLZ2,13,13,13,0,0,True
DTLZ3,13,13,9,0,5,True
DTLZ4,13,0,9,0,4,True
DTLZ7,23,14,12,0,7,True
MMF1,3,1,1,0,1,True
MMF11_L,3,3,2,0,1,True
MMF16_20,21,21,21,0,0,True
MMF4,3,2,2,0,4,True
WFG1,23,23,23,0,0,True
WFG2,23,23,23,0,0,True
WFG4,23,23,23,0,0,True
WFG5,23,23,23,0,0,True
WFG9,23,23,23,0,0,True
ZDT1,31,21,7,0,9,True
ZDT3,31,17,13,0,4,True
ZDT4,11,11,6,0,3,True
ZDT6,11,10,2,0,7,True
