problema,n_ckpt,viol_igdplus,viol_max,igd0,igdF,ganho,hv_viol,hv_final,nd0,ndF,fe_ult
BBOB_F1,20,0,0.0,1.6651151931674129,0.13595311342573774,12.247716519393695,0,0.794882237795319,1,25,308
BBOB_F17,20,0,0.0,2.4167899424756034,0.020614125629914756,117.239507795005,0,1.1389302978381772,1,11,308
BBOB_F22,20,0,0.0,6.550407018400444,0.26768648957035274,24.470443125142783,0,0.6834636062843437,1,24,308
BBOB_F37,20,0,0.0,1.182738987190214,0.2762060842222105,4.28208882697417,0,0.523263898349478,1,14,308
BBOB_F49,20,0,0.0,1.3383037553621309,0.2070601036537373,6.463358859320146,0,0.7833325681449697,1,8,308
BBOB_F5,20,0,0.0,0.9165469299595926,0.19852654061030375,4.616747600305603,0,0.5574061644524277,1,21,308
BBOB_F55,20,0,0.0,1.388541999942182,0.6061479210199184,2.29076427022267,0,0.2847968270563726,1,4,308
DTLZ1,20,0,0.0,541.7753550899159,45.34570273153767,11.947666977341038,0,0.0,1,17,215
DTLZ2,20,0,-0.0005246495502677084,1.6297304711986438,0.2314965985503017,7.03997588476239,0,0.2712247455871695,1,42,370
DTLZ3,20,0,0.0,914.1600619307801,305.6544879630138,2.990828199589202,0,0.0,1,19,370
DTLZ4,20,0,0.0,1.2302654075242083,0.34804684231745553,3.5347696285147623,0,0.08705699954898757,1,12,370
DTLZ7,20,0,0.0,2.9506393479468724,1.4252844080178932,2.07021092165756,0,0.0,1,13,680
MMF1,20,0,0.0,2.8112970162129414,0.06281199314051879,44.75732858729217,0,0.7301758179875709,1,13,60
MMF11_L,20,0,0.0,0.5728206234612008,0.0317573340494481,18.03742790781129,0,0.9722375610389884,1,14,60
MMF16_20,20,0,-0.00045783179106326233,0.8559201840763245,0.04069976033168424,21.03010379179068,0,0.6955590741032323,1,149,618
MMF4,20,0,0.0,0.3675238638476179,0.04037712299384787,9.102279622637212,0,0.46445711799386163,1,22,60
WFG1,20,0,0.0,1.1163446066331106,0.49819436962435365,2.240781258677917,0,0.2071577146825653,1,84,680
WFG2,20,0,-0.00044596209096853245,0.6595702461706784,0.12275569381804297,5.37303179719174,0,0.5889726898088412,1,16,680
WFG4,20,0,-0.0009944588713052538,0.32820668172874007,0.06171042882089703,5.318496208822314,0,0.3008317456748015,1,54,680
WFG5,20,0,-8.079284945911036e-05,0.5435150445367514,0.0930752077028518,5.839525454210706,0,0.2729876378389645,1,40,680
WFG9,20,0,-0.0012944055554844902,0.6928485995065304,0.0999413549159468,6.932551595775679,0,0.25326111663318257,1,73,680
ZDT1,20,0,0.0,3.825360846748847,0.4440783896843883,8.614156724598951,0,0.23322171093493366,1,22,928
ZDT3,20,0,0.0,2.5208579962367232,0.3442625865872861,7.3224860744418185,0,0.25317791382524,1,33,928
ZDT4,20,0,0.0,160.0026906116995,43.898268794314845,3.6448519498887633,0,0.0,1,5,308
ZDT6,20,0,0.0,8.952705826241381,6.445675963031797,1.3889475483391154,0,0.0,1,9,308
