problema,geracao,fe,aceito,slot_perdido,n_cand,N,count,frac_n1,n_desal,flag_copia,cand_dist,cand_classe,n1_pop,nan_s0,match_dx,pos,rank_global,is_argmax_global,is_argmax_S,pos_in_S,chosen_in_S,|S1|,limiar_pre
BBOB_F1,2,111,0,1,1,100,0,0.98,91,True,0,1,10,0,,,,,,,,,
BBOB_F1,6,113,0,1,1,100,0,1.0,90,True,0,1,10,0,,,,,,,,,
BBOB_F1,10,115,0,1,1,100,0,1.0,90,True,0,1,10,0,,,,,,,,,
BBOB_F1,14,117,0,1,1,100,0,1.0,90,True,0,1,10,0,,,,,,,,,
BBOB_F1,18,119,0,1,1,100,0,1.0,90,True,0,1,10,0,,,,,,,,,
BBOB_F1,22,121,0,1,1,100,0,1.0,90,True,0,1,10,0,,,,,,,,,
BBOB_F1,26,123,0,1,1,100,0,1.0,90,True,0,1,10,0,,,,,,,,,
BBOB_F1,30,125,0,1,1,100,0,1.0,89,True,0,1,11,0,,,,,,,,,
BBOB_F1,34,127,0,1,1,100,0,1.0,88,True,0,1,12,0,,,,,,,,,
BBOB_F1,38,129,0,1,1,100,0,1.0,87,True,0,1,13,0,,,,,,,,,
BBOB_F1,42,131,0,1,1,100,0,1.0,85,True,0,1,15,0,,,,,,,,,
BBOB_F1,46,134,1,0,1,100,3,0.95,5,False,3.9679472678424164,1,100,0,0.0,70.0,38.0,0.0,0.0,38.0,1.0,100.0,1.0
BBOB_F1,50,137,1,0,1,100,51,0.78,20,False,7.9936795635559195,1,98,0,0.0,7.0,55.0,0.0,0.0,53.0,1.0,98.0,1.0
BBOB_F1,54,140,1,0,1,100,3,0.9,9,False,4.811223591809497,1,99,0,0.0,32.0,16.0,0.0,0.0,15.0,1.0,99.0,1.0
BBOB_F1,58,143,1,0,1,100,51,0.55,28,False,5.568629981660613,1,82,0,0.0,54.0,64.0,0.0,0.0,51.0,1.0,82.0,1.0
BBOB_F1,62,146,1,0,1,100,51,0.76,20,False,6.814010371927118,1,94,0,0.0,23.0,32.0,0.0,0.0,30.0,1.0,94.0,1.0
BBOB_F1,66,149,1,0,1,100,6,0.91,8,False,1.5170179839926927,1,99,0,0.0,61.0,92.0,0.0,0.0,91.0,1.0,99.0,1.0
BBOB_F1,70,152,1,0,1,100,2,0.94,1,False,1.9325018916861658,1,95,0,0.0,47.0,86.0,0.0,0.0,81.0,1.0,95.0,1.0
BBOB_F1,74,155,1,0,1,100,51,0.61,31,False,6.381438867378194,1,90,0,0.0,32.0,46.0,0.0,0.0,39.0,1.0,90.0,1.0
BBOB_F1,78,158,1,0,1,100,3,0.97,3,False,5.221945999749075,1,100,0,0.0,27.0,8.0,0.0,0.0,8.0,1.0,100.0,1.0
BBOB_F1,82,161,1,0,1,100,51,0.66,25,False,7.257792688159379,1,89,0,0.0,46.0,38.0,0.0,0.0,31.0,1.0,89.0,1.0
BBOB_F1,86,164,1,0,1,100,51,0.88,9,False,5.5425653767886995,1,97,0,0.0,62.0,85.0,0.0,0.0,83.0,1.0,97.0,1.0
BBOB_F1,90,167,1,0,1,100,51,0.68,24,False,7.079863522067798,1,89,0,0.0,7.0,31.0,0.0,0.0,27.0,1.0,89.0,1.0
BBOB_F1,94,170,1,0,1,100,51,0.72,24,False,8.0599315111157,1,96,0,0.0,20.0,12.0,0.0,0.0,12.0,1.0,96.0,1.0
BBOB_F1,98,173,1,0,1,100,51,0.65,26,False,5.186330590647712,3,90,0,0.0,38.0,73.0,0.0,0.0,-1.0,0.0,90.0,1.0
