problema,corpus,cabeca,blocos,wape_1,wape_N,corr_1,corr_N,mu_max,f_max
MMF1,PRE_s42,PNN(s1),6,,,,,,
MMF1,PRE_s42,RBF-global(boot),1,0.7298667363947694,0.7298667363947694,0.49011854593243526,0.49011854593243526,9.473794937133789,8.343179561218623
MMF1,PRE_s42,RBF-global(s2),6,0.5320512678247775,1.4788617788098652,0.565242833222143,-0.07071043884663354,14.955344200134277,8.343179561218623
MMF1,PRE_s42,RBF-local(s3),5,0.9095169437995075,1.8421747592329054,0.514353024670333,-0.13083000071066297,15.33993911743164,8.343179561218623
MMF1,POS_smoke,PNN(s1),6,,,,,,
MMF1,POS_smoke,RBF-global(boot),1,0.7298667363947694,0.7298667363947694,0.49011854593243526,0.49011854593243526,9.473794937133789,8.343179561218623
MMF1,POS_smoke,RBF-global(s2),6,0.5320512678247775,27.010345965625927,0.565242833222143,-0.009177916601286652,869.5598754882812,8.343179561218623
MMF1,POS_smoke,RBF-local(s3),5,18.196209457329328,15.307251014106438,0.24167819242556202,0.03973882298392578,464.5140380859375,8.343179561218623
DTLZ2,PRE_s42,PNN(s1),27,,,,,,
DTLZ2,PRE_s42,RBF-global(boot),1,0.21524510494875462,0.21524510494875462,0.9267155111064113,0.9267155111064113,2.267317533493042,2.49151251754459
DTLZ2,PRE_s42,RBF-global(s2),27,0.2089712044727298,0.14364306052944964,0.9312484197364277,0.9679072977015012,2.374589204788208,2.49151251754459
DTLZ2,PRE_s42,RBF-local(s3),27,0.27826682730384694,0.42765321694827496,0.8764355923249922,0.8515898120620432,2.080723524093628,2.49151251754459
DTLZ2,POS_smoke,PNN(s1),27,,,,,,
DTLZ2,POS_smoke,RBF-global(boot),1,0.21524510494875462,0.21524510494875462,0.9267155111064113,0.9267155111064113,2.267317533493042,2.49151251754459
DTLZ2,POS_smoke,RBF-global(s2),27,0.20875649599442617,0.13627313887987239,0.9311919938507832,0.9716489726438088,2.4290146827697754,2.49151251754459
DTLZ2,POS_smoke,RBF-local(s3),27,0.29263259820011833,0.5700256417980901,0.8660833236737564,0.6704408866098578,2.073615312576294,2.49151251754459
ZDT1,PRE_s42,PNN(s1),70,,,,,,
ZDT1,PRE_s42,RBF-global(boot),1,0.028323462631520455,0.028323462631520455,0.9908544148825749,0.9908544148825749,6.061295986175537,6.695247145212829
ZDT1,PRE_s42,RBF-global(s2),71,0.028691793572588692,17.31714223769434,0.9906852549217945,0.6304465546861687,656.0911865234375,6.695247145212829
ZDT1,PRE_s42,RBF-local(s3),70,0.1410390981759739,1.3899568978376147,0.8662930766577948,0.014405141442241379,3.6276333332061768,6.695247145212829
ZDT1,POS_smoke,PNN(s1),70,,,,,,
ZDT1,POS_smoke,RBF-global(boot),1,0.028323462631520455,0.028323462631520455,0.9908544148825749,0.9908544148825749,6.061295986175537,6.695247145212829
ZDT1,POS_smoke,RBF-global(s2),71,0.028691793572588692,0.9500127789235288,0.9906852549217945,0.6738700900054433,50.09705352783203,6.695247145212829
ZDT1,POS_smoke,RBF-local(s3),70,0.15271279114767977,0.9136699462543295,0.9264249821338708,-0.03289383919193163,0.44081738591194153,6.695247145212829
