problema,corpus,cabeca,n,wape_med,wape_p90,wape_max
MMF1,PRE_s42,RBF-global(boot),1,0.7298667363947694,0.7298667363947694,0.7298667363947694
MMF1,PRE_s42,RBF-global(s2),6,1.5090221246567306,3.60274754770695,4.593041074685556
MMF1,PRE_s42,RBF-local(s3),5,1.0215543141733257,1.777766593847164,1.8421747592329054
MMF1,POS_smoke,RBF-global(boot),1,0.7298667363947694,0.7298667363947694,0.7298667363947694
MMF1,POS_smoke,RBF-global(s2),6,19.58802653508279,28.717285339223356,30.424224712820784
MMF1,POS_smoke,RBF-local(s3),5,22.635360086991625,26.54832834787026,27.831894965077304
DTLZ2,PRE_s42,RBF-global(boot),1,0.21524510494875462,0.21524510494875462,0.21524510494875462
DTLZ2,PRE_s42,RBF-global(s2),27,0.15573831976514116,0.22160710306326262,0.2702619876429918
DTLZ2,PRE_s42,RBF-local(s3),27,0.354988048143265,0.4668946697535139,0.5149012215396523
DTLZ2,POS_smoke,RBF-global(boot),1,0.21524510494875462,0.21524510494875462,0.21524510494875462
DTLZ2,POS_smoke,RBF-global(s2),27,0.1588521554682634,0.21952459359385473,0.2528081960779326
DTLZ2,POS_smoke,RBF-local(s3),27,0.33792713196453433,0.5819103833674057,0.6950067947411258
ZDT1,PRE_s42,RBF-global(boot),1,0.028323462631520455,0.028323462631520455,0.028323462631520455
ZDT1,PRE_s42,RBF-global(s2),71,0.8313430402549074,15.867378728554424,21.638527343007752
ZDT1,PRE_s42,RBF-local(s3),70,1.2785735386123545,3.954429774369291,17.769011213247268
ZDT1,POS_smoke,RBF-global(boot),1,0.028323462631520455,0.028323462631520455,0.028323462631520455
ZDT1,POS_smoke,RBF-global(s2),71,0.9500127789235288,9.159476943757756,13.561389516963796
ZDT1,POS_smoke,RBF-local(s3),70,1.7304628869683691,4.833924889489391,26.647982795548035
