corpus,problema,A9_relmax,A9_n,A17_ident,A17_top_quota,A18_pnn_relmax,A18_n,A19_s1_max,A19_s2_max,A19_s3_max,A22_sonda_blocos,A22_estrat_blocos,A22_falhas
POS_smoke,MMF1,2.7285473014616713e-08,16,16/16,"[((23, 0, 0, 0), 1), ((26, 0, 0, 0), 1), ((26, 1, 2, 0), 1)]",,0,5.558758398027663e-09,6.927704188086636e-09,3.502848443304174e-06,18,17,0
PRE_s42,MMF1,2.7285473014616713e-08,15,15/15,"[((23, 0, 0, 0), 1), ((26, 0, 0, 0), 1), ((22, 3, 4, 0), 1)]",,0,6.244470773797417e-09,7.10534520109718e-09,1.175923123319933e-07,18,0,0
POS_smoke,DTLZ2,5.466096762733063e-08,79,79/79,"[((100, 0, 0, 0), 14), ((99, 0, 1, 0), 11), ((99, 1, 0, 0), 10)]",,0,5.871997355022529e-08,7.84498577210968e-10,1.4770356382420857e-08,82,80,0
PRE_s42,DTLZ2,3.5227905962198236e-08,79,79/79,"[((100, 0, 0, 0), 19), ((99, 1, 0, 0), 14), ((99, 0, 1, 0), 9)]",,0,5.790994861420984e-08,1.9325225864008644e-09,1.3316944158514588e-08,82,0,0
POS_smoke,ZDT1,5.351926850240648e-08,209,209/209,"[((100, 0, 0, 0), 43), ((99, 1, 0, 0), 34), ((98, 2, 0, 0), 18)]",5.249299922770817e-09,28,5.896046739728433e-08,1.8499145881811785e-08,5.1329084982398854e-08,212,210,0
PRE_s42,ZDT1,5.366580497208511e-08,209,209/209,"[((100, 0, 0, 0), 34), ((99, 1, 0, 0), 30), ((10, 30, 40, 20), 19)]",5.699606271855611e-09,28,5.8226152344076354e-08,1.4884603771747607e-08,2.8463422729885224e-08,212,0,0
