corpus,problema,D,M,U1_fe,U1_denso,U2_init,U2_doehash,ciclos,k,U10_nger,U10_eventos,U3_timing_linhas,U7_viol,A4_rot,FE_fecha,A20_sigma_nan,A20_conf_nan,A21_hibridos,A21_mu_em_pnn,A21_classe_em_rbf,U5_maxdX,U5_blocos,A8_argmax,A8_pct,A8_ident_max,A11_argmax_global,A11_pct_global,A28_fbest_relmax,guards,termino,status,cp_init,tempo_aval_real_s,campanha_id,schema,tem_REGRA_DO_ROTULO,tem_ids
POS_smoke,MMF1,2,2,True,True,True,True,16,2,True,True,True,0,True,True,1.0,1.0,0,0,0,1.1920928955078125e-07,18,16/16,100.0,3.084326971602991e-08,8/15,53.333333333333336,1.7820821808319853e-08,"{'cache_hit': 1, 'cand_vazio': 9}",normal,ok,True,0.021537583333333336,t11-smoke-195f64e,2,False,False
PRE_s42,MMF1,2,2,True,True,True,True,15,2,True,True,True,0,True,True,1.0,1.0,0,0,0,1.1920928955078125e-07,18,15/15,100.0,3.084326971602991e-08,5/14,35.714285714285715,2.503887641682029e-08,"{'cache_hit': 1, 'cand_vazio': 6}",normal,ok,True,0.030177,,1,False,False
POS_smoke,DTLZ2,12,3,True,True,True,True,79,3,True,True,True,0,True,True,1.0,1.0,0,0,0,2.9802322387695312e-08,82,79/79,100.0,2.9737878048941013e-08,26/79,32.91139240506329,3.3334532453907e-08,{'cache_hit': 1},normal,ok,True,0.0779759583333333,t11-smoke-195f64e,2,False,False
PRE_s42,DTLZ2,12,3,True,True,True,True,79,3,True,True,True,0,True,True,1.0,1.0,0,0,0,2.9802322387695312e-08,82,79/79,100.0,2.9742669660492993e-08,24/79,30.379746835443036,3.3334532453907e-08,{'cache_hit': 1},normal,ok,True,0.16742500000000013,,1,False,False
POS_smoke,ZDT1,30,2,True,True,True,True,209,2,True,True,True,0,True,True,1.0,1.0,0,0,0,2.9802322387695312e-08,212,209/209,100.0,3.5134572362593985e-08,170/208,81.73076923076923,5.351926563809453e-08,"{'cache_hit': 1, 'dedup_slot_perdido': 28}",normal,ok,True,0.18995141666666648,t11-smoke-195f64e,2,False,False
PRE_s42,ZDT1,30,2,True,True,True,True,209,2,True,True,True,0,True,True,1.0,1.0,0,0,0,2.9802322387695312e-08,212,209/209,100.0,4.0291212810572574e-08,120/208,57.69230769230769,5.366580785210388e-08,"{'cache_hit': 1, 'dedup_slot_perdido': 28}",normal,ok,True,0.3882889999999997,,1,False,False
