alg,problema,D,n_final,n_nd_pos_real,fantasia,igd_plus_c7,hv_c7
e103,MMF1,2,100,37,0.37,0.04894,0.767735
e103,MMF11_L,2,100,73,0.73,0.02817,0.986006
e103,MMF4,2,100,71,0.71,0.109995,0.386908
e103,DTLZ1,7,100,24,0.24,75.323582,0.0
e103,BBOB_F1,10,100,99,0.99,0.006707,1.026876
e103,BBOB_F17,10,100,9,0.09,0.080907,1.003966
e103,BBOB_F22,10,100,20,0.2,0.464913,0.454638
e103,BBOB_F37,10,100,5,0.05,0.310145,0.39287
e103,BBOB_F49,10,100,15,0.15,0.334731,0.562899
e103,BBOB_F5,10,100,74,0.74,0.084282,0.734299
e103,BBOB_F55,10,100,4,0.04,0.956169,0.032031
e103,ZDT4,10,100,7,0.07,71.040391,0.0
e103,ZDT6,10,100,5,0.05,0.460702,0.060481
e103,DTLZ2,12,100,81,0.81,0.07575,0.586741
e103,DTLZ3,12,100,46,0.46,250.616291,0.0
e103,DTLZ4,12,100,22,0.22,0.592146,0.119183
e103,MMF16_20,20,100,100,1.0,0.506022,0.036873
e103,DTLZ7,22,100,40,0.4,0.054449,0.51518
e103,WFG1,22,100,38,0.38,0.717454,0.057411
e103,WFG2,22,100,12,0.12,0.225078,0.441206
e103,WFG4,22,100,26,0.26,0.115435,0.217634
e103,WFG5,22,100,31,0.31,0.138328,0.242829
e103,WFG9,22,100,19,0.19,0.284262,0.048525
e103,ZDT1,30,100,95,0.95,0.005206,0.865015
e103,ZDT3,30,100,26,0.26,0.008483,0.712705
b5r,MMF1,2,44,20,0.4545,0.061007,0.724948
b5r,MMF11_L,2,48,21,0.4375,0.032163,0.956236
b5r,MMF4,2,48,33,0.6875,0.027089,0.48557
b5r,DTLZ1,7,51,5,0.098,102.55984,0.0
b5r,BBOB_F1,10,48,28,0.5833,0.086082,0.871202
b5r,BBOB_F17,10,29,3,0.1034,0.365813,0.538153
b5r,BBOB_F22,10,39,5,0.1282,0.738355,0.137912
b5r,BBOB_F37,10,50,7,0.14,0.254423,0.56004
b5r,BBOB_F49,10,46,2,0.0435,0.732815,0.20124
b5r,BBOB_F5,10,46,27,0.587,0.153223,0.617397
b5r,BBOB_F55,10,44,7,0.1591,1.001802,0.052808
b5r,ZDT4,10,12,4,0.3333,127.250292,0.0
b5r,ZDT6,10,38,9,0.2368,3.42409,0.0
b5r,DTLZ2,12,83,71,0.8554,0.047529,0.681905
b5r,DTLZ3,12,38,4,0.1053,354.211684,0.0
b5r,DTLZ4,12,14,8,0.5714,0.657244,0.04536
b5r,MMF16_20,20,74,56,0.7568,0.114382,0.477771
b5r,DTLZ7,22,52,18,0.3462,0.823983,0.0
b5r,WFG1,22,46,24,0.5217,0.672441,0.089069
b5r,WFG2,22,42,12,0.2857,0.292783,0.270749
b5r,WFG4,22,46,18,0.3913,0.127251,0.174437
b5r,WFG5,22,44,11,0.25,0.398124,0.072773
b5r,WFG9,22,45,15,0.3333,0.381448,0.025384
b5r,ZDT1,30,47,18,0.383,0.31493,0.355013
b5r,ZDT3,30,45,15,0.3333,1.341037,0.0
b5m,MMF1,2,50,19,0.38,0.127486,0.663442
b5m,MMF11_L,2,50,32,0.64,0.028585,0.99161
b5m,MMF4,2,50,32,0.64,0.032587,0.468721
b5m,DTLZ1,7,105,4,0.0381,109.89521,0.0
b5m,BBOB_F1,10,50,27,0.54,0.087093,0.875773
b5m,BBOB_F17,10,50,7,0.14,0.486783,0.393359
b5m,BBOB_F22,10,50,22,0.44,0.75217,0.132265
b5m,BBOB_F37,10,50,9,0.18,0.241362,0.57094
b5m,BBOB_F49,10,50,15,0.3,0.622285,0.322457
b5m,BBOB_F5,10,50,21,0.42,0.143473,0.632435
b5m,BBOB_F55,10,50,9,0.18,1.00351,0.004995
b5m,ZDT4,10,50,13,0.26,46.726657,0.0
b5m,ZDT6,10,50,12,0.24,6.636511,0.0
b5m,DTLZ2,12,105,83,0.7905,0.05689,0.666023
b5m,DTLZ3,12,105,26,0.2476,542.282709,0.0
b5m,DTLZ4,12,105,12,0.1143,0.600294,0.114268
b5m,MMF16_20,20,105,45,0.4286,0.070164,0.597644
b5m,DTLZ7,22,105,28,0.2667,0.937925,0.0
b5m,WFG1,22,50,24,0.48,0.976919,0.0
b5m,WFG2,22,50,14,0.28,0.229957,0.419004
b5m,WFG4,22,50,21,0.42,0.136045,0.189199
b5m,WFG5,22,50,21,0.42,0.31767,0.039132
b5m,WFG9,22,50,19,0.38,0.323241,0.030569
b5m,ZDT1,30,50,13,0.26,1.136404,0.0
b5m,ZDT3,30,50,12,0.24,1.296297,0.0
c311,MMF1,2,50,9,0.18,0.051413,0.761372
c311,MMF11_L,2,50,49,0.98,0.128287,0.823165
c311,MMF4,2,50,25,0.5,0.062821,0.416
c311,DTLZ1,7,104,21,0.2019,72.249031,0.0
c311,BBOB_F1,10,50,17,0.34,0.202262,0.681758
c311,BBOB_F17,10,2,1,0.5,0.433036,0.46012
c311,BBOB_F22,10,14,2,0.1429,4.805768,0.0
c311,BBOB_F37,10,50,5,0.1,1.987471,0.0
c311,BBOB_F49,10,32,5,0.1562,0.854883,0.091072
c311,BBOB_F5,10,50,2,0.04,0.874724,0.0
c311,BBOB_F55,10,50,7,0.14,1.245197,0.0
c311,ZDT4,10,50,49,0.98,184.674479,0.0
c311,ZDT6,10,50,2,0.04,1.073529,0.0
c311,DTLZ2,12,94,93,0.9894,0.040806,0.701899
c311,DTLZ3,12,95,36,0.3789,641.179362,0.0
c311,DTLZ4,12,99,79,0.798,1.373854,0.0
c311,MMF16_20,20,93,92,0.9892,0.026452,0.735905
c311,DTLZ7,22,79,63,0.7975,0.092411,0.476592
c311,WFG1,22,50,22,0.44,0.721088,0.05698
c311,WFG2,22,34,2,0.0588,0.737154,0.077391
c311,WFG4,22,50,5,0.1,0.967534,0.0
c311,WFG5,22,50,1,0.02,0.393381,0.093829
c311,WFG9,22,50,2,0.04,0.497037,0.0
c311,ZDT1,30,50,50,1.0,0.033353,0.821311
c311,ZDT3,30,50,40,0.8,0.120992,0.511995
moead_media,MMF1,2,50,1,0.02,4.112282,0.0
moead_media,MMF11_L,2,50,18,0.36,1.398777,0.0
moead_media,MMF4,2,50,13,0.26,0.14433,0.253307
moead_media,DTLZ1,7,105,94,0.8952,539.925559,0.0
moead_media,BBOB_F1,10,50,29,0.58,0.05711,0.926244
moead_media,BBOB_F17,10,50,50,1.0,0.560349,0.311596
moead_media,BBOB_F22,10,50,17,0.34,0.741012,0.143271
moead_media,BBOB_F37,10,50,3,0.06,0.595891,0.221831
moead_media,BBOB_F49,10,50,4,0.08,0.6781,0.258413
moead_media,BBOB_F5,10,50,28,0.56,0.126296,0.660895
moead_media,BBOB_F55,10,50,4,0.08,1.355683,0.0
moead_media,ZDT4,10,50,17,0.34,210.627354,0.0
moead_media,ZDT6,10,50,18,0.36,0.107769,0.109115
moead_media,DTLZ2,12,105,99,0.9429,0.890397,0.008609
moead_media,DTLZ3,12,105,104,0.9905,832.401382,0.0
moead_media,DTLZ4,12,105,3,0.0286,1.138293,0.0
moead_media,MMF16_20,20,105,65,0.619,0.300844,0.223206
moead_media,DTLZ7,22,105,33,0.3143,0.368229,0.091416
moead_media,WFG1,22,50,18,0.36,0.68871,0.075805
moead_media,WFG2,22,50,2,0.04,0.594007,0.0
moead_media,WFG4,22,50,15,0.3,0.411893,0.029489
moead_media,WFG5,22,50,15,0.3,0.300531,0.147385
moead_media,WFG9,22,50,1,0.02,0.527066,0.0
moead_media,ZDT1,30,50,23,0.46,0.19782,0.53988
moead_media,ZDT3,30,50,15,0.3,0.84702,0.001705
