alg,exp,problema,camada,veredito,detalhe
b1,main,WFG1,.jsonl,JSONL_RUIM,linhas=930 ruins=49 footer=False
nsga2,main,MMF1,__surrogate.parquet,VAZIO,linhas=0 cols=21
nsga2,main,MMF4,__surrogate.parquet,VAZIO,linhas=0 cols=21
nsga2,main,MMF11_L,__surrogate.parquet,VAZIO,linhas=0 cols=21
nsga2,main,MMF16_20,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga2,main,ZDT1,__surrogate.parquet,VAZIO,linhas=0 cols=49
nsga2,main,ZDT3,__surrogate.parquet,VAZIO,linhas=0 cols=49
nsga2,main,ZDT4,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga2,main,ZDT6,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga2,main,DTLZ1,__surrogate.parquet,VAZIO,linhas=0 cols=28
nsga2,main,DTLZ2,__surrogate.parquet,VAZIO,linhas=0 cols=33
nsga2,main,DTLZ3,__surrogate.parquet,VAZIO,linhas=0 cols=33
nsga2,main,DTLZ4,__surrogate.parquet,VAZIO,linhas=0 cols=33
nsga2,main,DTLZ7,__surrogate.parquet,VAZIO,linhas=0 cols=43
nsga2,main,WFG1,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga2,main,WFG2,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga2,main,WFG4,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga2,main,WFG5,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga2,main,WFG9,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga2,main,BBOB_F1,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga2,main,BBOB_F5,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga2,main,BBOB_F17,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga2,main,BBOB_F22,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga2,main,BBOB_F37,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga2,main,BBOB_F49,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga2,main,BBOB_F55,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga3,main,MMF1,__surrogate.parquet,VAZIO,linhas=0 cols=21
nsga3,main,MMF4,__surrogate.parquet,VAZIO,linhas=0 cols=21
nsga3,main,MMF11_L,__surrogate.parquet,VAZIO,linhas=0 cols=21
nsga3,main,MMF16_20,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga3,main,ZDT1,__surrogate.parquet,VAZIO,linhas=0 cols=49
nsga3,main,ZDT3,__surrogate.parquet,VAZIO,linhas=0 cols=49
nsga3,main,ZDT4,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga3,main,ZDT6,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga3,main,DTLZ1,__surrogate.parquet,VAZIO,linhas=0 cols=28
nsga3,main,DTLZ2,__surrogate.parquet,VAZIO,linhas=0 cols=33
nsga3,main,DTLZ3,__surrogate.parquet,VAZIO,linhas=0 cols=33
nsga3,main,DTLZ4,__surrogate.parquet,VAZIO,linhas=0 cols=33
nsga3,main,DTLZ7,__surrogate.parquet,VAZIO,linhas=0 cols=43
nsga3,main,WFG1,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga3,main,WFG2,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga3,main,WFG4,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga3,main,WFG5,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga3,main,WFG9,__surrogate.parquet,VAZIO,linhas=0 cols=41
nsga3,main,BBOB_F1,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga3,main,BBOB_F5,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga3,main,BBOB_F17,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga3,main,BBOB_F22,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga3,main,BBOB_F37,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga3,main,BBOB_F49,__surrogate.parquet,VAZIO,linhas=0 cols=29
nsga3,main,BBOB_F55,__surrogate.parquet,VAZIO,linhas=0 cols=29
moead,main,MMF1,__surrogate.parquet,VAZIO,linhas=0 cols=21
moead,main,MMF4,__surrogate.parquet,VAZIO,linhas=0 cols=21
moead,main,MMF11_L,__surrogate.parquet,VAZIO,linhas=0 cols=21
moead,main,MMF16_20,__surrogate.parquet,VAZIO,linhas=0 cols=41
moead,main,ZDT1,__surrogate.parquet,VAZIO,linhas=0 cols=49
moead,main,ZDT3,__surrogate.parquet,VAZIO,linhas=0 cols=49
moead,main,ZDT4,__surrogate.parquet,VAZIO,linhas=0 cols=29
moead,main,ZDT6,__surrogate.parquet,VAZIO,linhas=0 cols=29
moead,main,DTLZ1,__surrogate.parquet,VAZIO,linhas=0 cols=28
moead,main,DTLZ2,__surrogate.parquet,VAZIO,linhas=0 cols=33
moead,main,DTLZ3,__surrogate.parquet,VAZIO,linhas=0 cols=33
moead,main,DTLZ4,__surrogate.parquet,VAZIO,linhas=0 cols=33
moead,main,DTLZ7,__surrogate.parquet,VAZIO,linhas=0 cols=43
