label,problema,obj,M,mu_uniq,mu_amp,f_amp,razao_amp,f_media,mu_media,sig_uniq,sig_med,sig_cv,sig_no_teto,sig_zero,mu_colapso,sig_busca_uniq
BBOB_F1,BBOB_F1,0,2,19982,269.2475891113281,249.9732551574707,1.0771055845222943,115.5911869123144,113.2838363647461,19988,5.5536298751831055,0.3352437913417816,0.0,0.0,False,7365
BBOB_F1,BBOB_F1,1,2,19993,253.55223083496094,220.18751907348633,1.1515286238832607,115.18520265721195,112.97343444824219,19984,5.6720733642578125,0.333802729845047,0.0,0.0,False,7369
BBOB_F17,BBOB_F17,0,2,19997,87066344.0,74640949.28125,1.166468873164121,23556348.106391586,22123908.0,19983,14.711162567138672,0.23377712070941925,0.0,0.0,False,10739
BBOB_F17,BBOB_F17,1,2,19995,2386.1083984375,3300.1327228546143,0.7230340713004768,168.55359248436,139.01222229003906,19965,23.962596893310547,0.1322588175535202,0.0,0.0,False,9905
BBOB_F22,BBOB_F22,0,2,19995,2576578.5,2320241.6669921875,1.110478506034292,795232.5155017446,754828.3125,19984,13.596968650817871,0.24295617640018463,0.0,0.0,False,9671
BBOB_F22,BBOB_F22,1,2,19971,2649.08349609375,2299.838134765625,1.1518564963545648,2047.5076137900737,2002.941650390625,19985,7.9338250160217285,0.3036598861217499,0.0,0.0,False,9750
BBOB_F37,BBOB_F37,0,2,19976,2728.8828125,2429.5569458007812,1.1232018320116226,2056.6518860850906,2004.91064453125,19979,8.75952434539795,0.29727765917778015,0.0,0.0,False,4780
BBOB_F37,BBOB_F37,1,2,19996,6490.89306640625,7012.054763793945,0.9256763224271062,1099.3070575504241,909.9890747070312,19976,22.008411407470703,0.15480533242225647,0.0,0.0,False,4780
BBOB_F49,BBOB_F49,0,2,19994,11741.0146484375,16313.602233886719,0.719707056731406,1629.0961996529095,1340.4783935546875,19967,20.7459716796875,0.16677160561084747,0.0,0.0,False,9962
BBOB_F49,BBOB_F49,1,2,19930,108.05957794189453,71.49971675872803,1.5113287554206096,78.5144607303212,77.63668823242188,19985,8.589468002319336,0.29732224345207214,0.0,0.0,False,9961
