alg,label,problema,tier,dist,n7,n7_nd,fantasia,igdp7,hv7,igdp7nd,hv7nd
b5r,BBOB_F1,BBOB_F1,main,lhs,48,28,0.5833333333333334,0.08608217308211402,0.8712015741040198,0.08608217308211402,0.8712015741040198
b5r,BBOB_F17,BBOB_F17,main,lhs,29,3,0.10344827586206896,0.36581343682732054,0.5381528963519732,0.36581343682732054,0.5381528963519732
b5r,BBOB_F22,BBOB_F22,main,lhs,39,5,0.1282051282051282,0.7383553006966405,0.1379115131700106,0.7383553006966405,0.1379115131700106
b5r,BBOB_F37,BBOB_F37,main,lhs,50,7,0.14,0.2544229591165837,0.5600397868739374,0.2544229591165837,0.5600397868739374
b5r,BBOB_F49,BBOB_F49,main,lhs,46,2,0.043478260869565216,0.7328149888815487,0.20124039157178375,0.7328149888815487,0.20124039157178375
b5r,BBOB_F5,BBOB_F5,main,lhs,46,27,0.5869565217391305,0.15322257234226802,0.6173967801741201,0.15322257234226802,0.6173967801741201
b5r,BBOB_F55,BBOB_F55,main,lhs,44,7,0.1590909090909091,1.0018019443755395,0.05280780077238958,1.0018019443755395,0.05280780077238958
b5r,DTLZ1,DTLZ1,main,lhs,51,5,0.09803921568627451,102.55983950010315,0.0,102.55983950010315,0.0
b5r,DTLZ2,DTLZ2,main,lhs,83,71,0.8554216867469879,0.04752875427966714,0.6819048147415581,0.04752875427966714,0.6819048147415581
b5r,DTLZ3,DTLZ3,main,lhs,38,4,0.10526315789473684,354.2116840580314,0.0,354.2116840580314,0.0
b5r,DTLZ4,DTLZ4,main,lhs,14,8,0.5714285714285714,0.6572438764191847,0.045359546188922725,0.6572438764191847,0.045359546188922725
b5r,DTLZ7,DTLZ7,main,lhs,52,18,0.34615384615384615,0.8239833421102789,0.0,0.8239833421102789,0.0
b5r,MMF1,MMF1,main,lhs,44,20,0.45454545454545453,0.061006622957726755,0.7249478746289405,0.061006622957726755,0.7249478746289405
b5r,MMF11_L,MMF11_L,main,lhs,48,21,0.4375,0.032162744800907486,0.9562362994632471,0.032162744800907486,0.9562362994632471
b5r,MMF16_20,MMF16_20,main,lhs,74,56,0.7567567567567568,0.11438205277423279,0.47777123451869935,0.11438205277423279,0.47777123451869935
b5r,MMF4,MMF4,main,lhs,48,33,0.6875,0.027089179784127088,0.48557029151187386,0.027089179784127088,0.48557029151187386
