label,problema,tier,dist,alg,n7,n7_nd,fantasia,igdp_7,hv_7,igdp_7nd,hv_7nd,igdp_init,hv_init,ganho_igdp,ganho_hv
BBOB_F1,BBOB_F1,main,lhs,b5r,48,28,0.5833333333333334,0.08608217308211402,0.8712015741040198,0.08608217308211402,0.8712015741040198,0.3862484203788069,0.37299179900417145,0.3001662472966929,0.4982097750998483
BBOB_F17,BBOB_F17,main,lhs,b5r,29,3,0.10344827586206896,0.36581343682732054,0.5381528963519732,0.36581343682732054,0.5381528963519732,0.07688428143559754,1.041249326073213,-0.288929155391723,-0.5030964297212398
BBOB_F22,BBOB_F22,main,lhs,b5r,39,5,0.1282051282051282,0.7383553006966405,0.1379115131700106,0.7383553006966405,0.1379115131700106,1.0748151779345663,0.0,0.3364598772379258,0.1379115131700106
BBOB_F37,BBOB_F37,main,lhs,b5r,50,7,0.14,0.2544229591165837,0.5600397868739374,0.2544229591165837,0.5600397868739374,0.5034143939497656,0.2872380290796646,0.24899143483318192,0.2728017577942728
BBOB_F49,BBOB_F49,main,lhs,b5r,46,2,0.043478260869565216,0.7328149888815487,0.20124039157178375,0.7328149888815487,0.20124039157178375,0.33490728311011936,0.562277158435098,-0.39790770577142937,-0.3610367668633142
BBOB_F5,BBOB_F5,main,lhs,b5r,46,27,0.5869565217391305,0.15322257234226802,0.6173967801741201,0.15322257234226802,0.6173967801741201,0.5185289806592093,0.1963538057469066,0.3653064083169413,0.4210429744272135
BBOB_F55,BBOB_F55,main,lhs,b5r,44,7,0.1590909090909091,1.0018019443755395,0.05280780077238958,1.0018019443755395,0.05280780077238958,0.9561693927609834,0.03203052577562067,-0.04563255161455604,0.02077727499676891
DTLZ1,DTLZ1,main,lhs,b5r,51,5,0.09803921568627451,102.55983950010315,0.0,102.55983950010315,0.0,75.32352791621113,0.0,-27.236311583892018,0.0
DTLZ2,DTLZ2,main,lhs,b5r,83,71,0.8554216867469879,0.04752875427966714,0.6819048147415581,0.04752875427966714,0.6819048147415581,0.43823498936540817,0.055088833801757726,0.39070623508574104,0.6268159809398003
DTLZ3,DTLZ3,main,lhs,b5r,38,4,0.10526315789473684,354.2116840580314,0.0,354.2116840580314,0.0,398.39091750128574,0.0,44.17923344325436,0.0
DTLZ4,DTLZ4,main,lhs,b5r,14,8,0.5714285714285714,0.6572438764191847,0.045359546188922725,0.6572438764191847,0.045359546188922725,0.7908760920109282,0.0,0.13363221559174354,0.045359546188922725
DTLZ7,DTLZ7,main,lhs,b5r,52,18,0.34615384615384615,0.8239833421102789,0.0,0.8239833421102789,0.0,2.470206215881323,0.0,1.6462228737710443,0.0
MMF1,MMF1,main,lhs,b5r,44,20,0.45454545454545453,0.061006622957726755,0.7249478746289405,0.061006622957726755,0.7249478746289405,0.05628669750862405,0.7380341971244623,-0.004719925449102706,-0.013086322495521774
MMF11_L,MMF11_L,main,lhs,b5r,48,21,0.4375,0.032162744800907486,0.9562362994632471,0.032162744800907486,0.9562362994632471,0.0419580102470012,0.9497342517025602,0.009795265446093715,0.006502047760686858
MMF16_20,MMF16_20,main,lhs,b5r,74,56,0.7567567567567568,0.11438205277423279,0.47777123451869935,0.11438205277423279,0.47777123451869935,0.05278457747014157,0.6429137963202539,-0.061597475304091216,-0.16514256180155457
MMF4,MMF4,main,lhs,b5r,48,33,0.6875,0.027089179784127088,0.48557029151187386,0.027089179784127088,0.48557029151187386,0.026473216830344454,0.4842572254317526,-0.0006159629537826339,0.0013130660801212723
WFG1,WFG1,main,lhs,b5r,46,24,0.5217391304347826,0.6724410990913953,0.08906915235751418,0.6724410990913953,0.08906915235751418,0.9910113107849866,0.0,0.31857021169359134,0.08906915235751418
WFG2,WFG2,main,lhs,b5r,42,12,0.2857142857142857,0.29278319328626284,0.27074913005961176,0.29278319328626284,0.27074913005961176,0.22507756207467056,0.4409490182868467,-0.06770563121159229,-0.17019988822723492
WFG4,WFG4,main,lhs,b5r,46,18,0.391304347826087,0.1272506756682024,0.17443725912578006,0.1272506756682024,0.17443725912578006,0.12921276875995394,0.20966053687555805,0.001962093091751549,-0.03522327774977799
WFG5,WFG5,main,lhs,b5r,44,11,0.25,0.3981236002302757,0.07277272090415345,0.3981236002302757,0.07277272090415345,0.21468466239930986,0.14100671490506775,-0.18343893783096585,-0.0682339940009143
