problema,D,M,maxfe,U1_len1,U1_ok,U1_dense,U1_sid_uniq,U1_termino,U2_init,U2_ok_n,U2_dX,U2_shape,U2_hash_ok,U2_dupX,dupX_total,U3_ncic,U3_ntiming,U3_nfit_series,U3_ok,U3_ger_seq,B_A1_const,B_nacum_const,U8_ftm_mono,U8_ftm_first,U8_ftm_last,U8_ftm_eq_feprev,U7_viol,U7_viol_eq_sonda,U7_pred_in_ger,U9_cache_guard,U9_cache_manif,U9_ok,U9_hardstop,U10_sum_lote,U10_sum_uef,U10_lote_ok,U10_gap,U10_c0,U10_gap_vs_cache,U10_pop_ngen,U10_pop_offby1,U10_nger_manif,U10_pop_size_rule,B_wmax_ok,B_ppw_eq_rows,B_ppw_max,B_Nvet,B_ppw_le_N,B_ppw_first_mean,B_ppw_last_mean,SW_consist,SW_n,SW_inc,SW_apd,SW_pct_inc,SW_gen1,SW_flag_min,SW_flag_max,SW_NumV1_eq_prev_NumV2,SW_flag_id,SW_delta_ok,SW_nvv0,SW_nzero0,J_n,J_sigma_ok,J_sigma_maxerr,J_crit_ok,J_crit_maxrel,J_X_ok,J_X_maxerr,J_pct_inc,J_pct_apd,J_apd_inc,J_apd_apd,U11_err_fant_med,B_sig_neg,B_sig_zero,B_sig_nan,n_linhas3,B_mu_nan,B_pred_tipo,B_modelo_flag,B_espaco,B_transf,B_predclasse_null,B_rsid_null_online,U4_nblocos,U4_evt,U4_regra,U4_last_cic,U4_last_sonda,U4_finalprobe,U4_cover_last,U4_S,U4_bloco_ok,U5_dX,U5_gab_cols,maquina_tempo_s
BBOB_F1,10,2,309,309,True,True,309,normal,109,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,40,40,40,True,True,True,True,True,108,300,False,0,False,21,4,4,True,1,200,200,True,0,1,3,41,True,41,True,True,True,100,100,True,69.625,93.8,40,40,0,40,0.0,APD,-39,-6,0,40,True,40,40,40,40,9.226299475528776e-07,40,2.2092277441258843e-16,37,1.9047019481658936,,0.35645480074287167,,28.458932971620765,0.016294240951538086,0,0,0,111750,0,['valor'],['GP-DACE'],['cru'],[],True,7063,22,22,False,40,41,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",74.965717
BBOB_F17,10,2,309,309,True,True,309,normal,109,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,40,40,40,True,True,True,True,True,108,303,True,0,False,21,1,1,True,0,200,200,True,0,1,0,41,True,41,True,True,True,100,100,True,76.475,83.075,40,40,0,40,0.0,APD,-1,1,35,40,True,40,40,40,0,0.4393907096236944,40,2.1300942232770278e-16,40,0.0,,0.5296162817973717,,10296236.656360706,50283.15234375,0,0,0,105123,0,['valor'],['GP-DACE'],['cru'],[],True,4814,21,21,True,40,40,True,True,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",67.222492
BBOB_F22,10,2,309,309,True,True,309,normal,109,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,40,40,40,True,True,True,True,True,108,303,True,0,False,21,1,1,True,0,200,200,True,0,1,0,41,True,41,True,True,True,100,100,True,65.95,90.275,40,40,0,40,0.0,APD,-10,3,3,40,True,40,40,40,0,0.006383104977430776,40,2.2132222058371446e-16,40,0.0,,0.5086992502375869,,59018.58728017316,3158.932373046875,0,0,0,102203,0,['valor'],['GP-DACE'],['cru'],[],True,4657,21,21,True,40,40,True,True,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",65.190847
BBOB_F37,10,2,309,309,True,True,309,normal,109,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,40,40,40,True,True,True,True,True,108,303,True,0,False,21,1,1,True,0,200,200,True,0,1,0,41,True,41,True,True,True,98,100,True,69.35,88.0,40,40,0,40,0.0,APD,-36,-1,1,40,True,40,40,40,0,3.0222805435187183e-05,40,2.1886939966877915e-16,40,0.0,,0.48173298104923656,,663.8338200908853,120.03532409667969,0,0,0,101160,0,['valor'],['GP-DACE'],['cru'],[],True,4801,21,21,True,40,40,True,True,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",63.247361
BBOB_F49,10,2,309,309,True,True,309,normal,109,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,40,40,40,True,True,True,True,True,108,300,False,0,False,21,4,4,True,1,200,200,True,0,1,3,41,True,41,True,True,True,99,100,True,70.5,90.475,40,40,0,40,0.0,APD,-14,5,3,40,True,40,40,40,1,2.7875935529664275e-05,40,1.9332416288160926e-16,37,9.13058853149414,,0.5151981667369805,,549.4649700501122,22.614952087402344,0,0,0,106529,0,['valor'],['GP-DACE'],['cru'],[],True,7253,22,22,False,40,41,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",70.268994
BBOB_F5,10,2,309,309,True,True,309,normal,109,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,42,42,42,True,True,True,True,True,108,301,False,0,False,22,14,14,True,1,210,210,False,0,1,13,43,True,43,True,True,True,100,100,True,64.07142857142857,95.28571428571429,42,42,0,42,0.0,APD,-30,-8,0,42,True,42,42,42,38,6.04047508545591e-06,42,2.1020870045121447e-16,29,4.297741413116455,,0.39022415142659833,,380.65609000618633,3.0822982788085938,0,0,0,118536,0,['valor'],['GP-DACE'],['cru'],[],True,8591,23,23,False,42,43,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",76.06081
BBOB_F55,10,2,309,309,True,True,309,normal,109,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,40,40,40,True,True,True,True,True,108,301,False,0,False,21,3,3,True,1,200,200,True,0,1,2,41,True,41,True,True,True,96,100,True,46.2,86.15,40,40,0,40,0.0,APD,-44,-5,0,40,True,40,40,40,40,2.242864880486195e-07,40,2.6177357336981757e-16,38,5.3586039543151855,,0.41396723684539716,,9.892862944439965,0.7814276814460754,0,0,0,103065,0,['valor'],['GP-DACE'],['cru'],[],True,6621,22,22,False,40,41,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",66.752369
DTLZ1,7,3,216,216,True,True,216,normal,76,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,28,28,28,True,True,True,True,True,75,209,False,0,False,15,2,2,True,1,140,140,True,0,1,1,29,True,29,True,True,True,70,91,True,54.214285714285715,53.535714285714285,28,28,14,14,50.0,incerteza,-8,21,2,28,True,28,28,28,1,3.779012800464443e-06,28,2.682872366585303e-16,27,0.8838505148887634,0.8733654183930604,0.33226417549016757,529.8448013715599,298.94521212167945,28.784597396850586,0,0,0,60293,0,['valor'],['GP-DACE'],['cru'],[],True,3833,16,16,False,28,29,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",40.325968
DTLZ2,12,3,371,371,True,True,371,normal,131,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,48,48,48,True,True,True,True,True,130,365,True,0,False,25,1,1,True,0,240,240,True,0,1,0,49,True,49,True,True,True,89,91,True,75.8125,70.02083333333333,48,48,34,14,70.8,APD,-8,31,0,48,True,48,48,48,48,7.447958860762327e-09,48,4.238160648248684e-16,48,0.0,0.8465658529006985,0.4793270523039665,3.0129758917169682,1.793247529293134,0.06473682820796967,0,0,0,115807,0,['valor'],['GP-DACE'],['cru'],[],True,6862,25,25,True,48,48,True,True,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",105.963153
DTLZ3,12,3,371,371,True,True,371,normal,131,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,48,48,48,True,True,True,True,True,130,365,True,0,False,25,1,1,True,0,240,240,True,0,1,0,49,True,49,True,True,True,77,91,True,67.35416666666667,57.0,48,48,48,0,100.0,incerteza,5,33,0,48,True,48,48,48,0,7.623374870036059e-06,48,3.312768730758822e-16,48,0.0,0.8856686258366624,,2311.1540872099217,,111.53515625,0,0,0,103998,0,['valor'],['GP-DACE'],['cru'],[],True,7570,25,25,True,48,48,True,True,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",93.574671
