problema,D,M,n,delta,flag_gt0,flag_gt_delta,zona_cinza,V1_eq_prevV2,V1_med,V2_med,V1_range,V2_range,V1_const,c0,ch_tot,ch_fes,dmin_ok,dmin_n,dmin_maxrel,pct_inc,pct_apd,apdmed_inc,apdmed_apd,n_front1_p,n_front1_u
BBOB_F1,10,2,40,5.0,0,0,0,0,43.0,16.0,39-48,6-33,0,1,4,"[1, 171, 181]",7,40,907112439409.1161,,0.35645480074287167,,27.016644622494017,6,60
BBOB_F17,10,2,40,5.0,2,0,2,35,98.0,98.0,97-98,97-98,0,1,1,[1],7,40,0.5896661840948731,,0.5296162817973717,,7277275.874131437,6,6
BBOB_F22,10,2,40,5.0,8,0,8,3,91.0,88.0,88-95,81-96,0,1,1,[1],8,40,0.618908302236862,,0.5086992502375869,,48596.89125003938,5,13
BBOB_F37,10,2,40,5.0,0,0,0,1,46.0,29.5,42-52,12-44,0,1,1,[1],8,40,0.6774000572886864,,0.48173298104923656,,538.0770665764325,5,9
BBOB_F49,10,2,40,5.0,6,0,6,3,69.0,65.0,66-81,56-81,0,1,4,"[1, 112, 184]",13,40,0.6806993230507933,,0.5151981667369805,,508.5448516635149,7,22
BBOB_F5,10,2,42,5.0,0,0,0,0,77.0,61.0,75-89,52-69,0,1,14,"[1, 124, 159]",12,42,730778002776.61,,0.39022415142659833,,360.4425901536622,3,65
BBOB_F55,10,2,40,5.0,0,0,0,0,55.5,27.0,49-67,16-47,0,1,3,"[1, 111, 119]",21,40,23.890161053918355,,0.41396723684539716,,6.94903134002228,3,23
DTLZ1,7,3,28,4.55,23,14,9,2,41.5,47.0,39-48,35-62,0,1,2,"[1, 92]",6,28,0.8640214792269183,0.8733654183930604,0.33226417549016757,496.4472443699225,264.8594224525895,13,23
DTLZ2,12,3,48,4.55,40,34,6,0,17.0,25.5,14-27,13-47,0,1,1,[1],9,48,0.6489264714735373,0.8465658529006985,0.4793270523039665,2.8973255304350367,1.7694875906228558,41,59
DTLZ3,12,3,48,4.55,48,48,0,0,19.0,41.0,14-26,20-58,0,1,1,[1],7,48,0.6137566648288336,0.8856686258366624,,2274.218628437188,,21,43
DTLZ4,12,3,48,4.55,0,0,0,0,64.0,50.0,52-82,27-64,0,1,2,"[1, 172]",22,48,0.39629596852475146,,0.4183670655437792,,2.409654989199768,25,60
DTLZ7,22,3,98,4.55,27,0,27,19,69.0,69.0,67-84,65-72,0,1,55,"[1, 309, 347]",28,98,27909062653.34975,,0.264362103697914,,3.181265606032037,12,112
MMF1,2,2,8,5.0,0,0,0,0,86.0,32.0,82-87,28-70,0,1,2,"[1, 60]",2,8,0.8723351734218178,,0.43448478313640193,,0.8715609190292255,7,16
MMF11_L,2,2,8,5.0,0,0,0,0,83.0,55.0,80-86,50-63,0,1,1,[1],2,8,0.9851118613661012,,0.5248804249052902,,3.7374625272664614,11,24
MMF16_20,20,3,80,4.55,80,80,0,0,7.0,49.0,3-15,32-59,0,1,1,[1],14,80,0.4660549884964888,0.8746268246147777,,5.723058916744217,,52,205
MMF4,2,2,8,5.0,0,0,0,0,81.0,15.5,80-82,9-24,0,2,2,"[1, 21]",1,8,0.9837316303761688,,0.49313818896515216,,0.9228791489872812,13,19
WFG1,22,2,89,5.0,0,0,0,0,52.0,22.0,33-85,13-72,0,1,10,"[1, 244, 246]",35,89,29585008456389.906,,0.4546021907812325,,2.2007533629710623,21,83
WFG2,22,2,94,5.0,8,0,8,5,27.0,22.5,22-39,13-32,0,1,34,"[1, 244, 244]",28,94,3272439871666.5283,,0.3474287133180065,,1.6587595381236206,10,20
WFG4,22,2,92,5.0,65,40,25,2,16.0,21.0,9-37,16-40,0,1,23,"[1, 242, 245]",22,92,30099158953143.92,0.8484777393669063,0.45503711934522084,4.526244694974681,3.012556417476657,32,40
WFG5,22,2,88,5.0,82,58,24,3,14.0,20.5,10-31,17-40,0,2,4,"[1, 241, 244]",25,88,0.6725655907512011,0.8056505763765467,0.4863485533905466,4.130041374665682,2.974582455946969,34,60
WFG9,22,2,90,5.0,86,66,20,0,13.0,24.0,7-26,13-33,0,1,11,"[1, 242, 245]",25,90,0.5670548797625558,0.8679135133515173,0.3763631327489308,3.6518464325502835,2.1207323162906553,18,26
ZDT1,30,2,120,5.0,1,1,0,0,26.0,11.0,22-61,3-34,0,1,2,"[1, 393]",25,120,0.624192513297223,0.9415730337078652,0.3836309672621264,1.9068854474693977,0.6573199422604484,4,96
ZDT3,30,2,131,5.0,0,0,0,0,37.0,22.0,30-68,17-47,0,1,57,"[1, 334, 339]",29,131,1.0388117071859087,,0.27911463389417746,,0.9927913751232957,10,80
ZDT4,10,2,43,5.0,10,0,10,11,95.0,94.0,92-97,87-97,0,1,17,"[1, 115, 115]",23,43,4007732051850.9136,,0.4019570089588715,,9.049094025725315,8,5
ZDT6,10,2,40,5.0,4,2,2,0,71.5,40.5,56-82,14-90,0,1,1,[1],19,40,0.6916935286214487,0.8126515151515152,0.4940561368908721,20.134288473139435,0.45501826542335044,1,7
