problema,igd_b3,hv_b3,igd_b1,igd_melhor_piso,piso,razao,hv_melhor_piso,hv_piso_alg,bate,rank_igd,n_algs,n_nd,igd_raw,gd,spacing
BBOB_F1,0.0412065514006254,0.9524935388421304,0.032570490779905,0.1359531134257377,nsga2,0.3030938414156572,0.7956376608286729,nsga3,True,7,17,58,0.1304195064862296,0.0128193030670312,0.011393952320993
BBOB_F17,0.0273855805400489,1.104605956598644,0.0264478301377586,0.0206141256299147,nsga2,1.3284861570993647,1.1389302978381772,nsga2,False,13,17,6,0.0878342982513201,0.0237272428330325,0.1094462923798271
BBOB_F22,0.0599255344899914,0.9770183717766044,0.083442849589667,0.1591300073706684,smsemoa,0.37658223913987676,0.8364210321993655,smsemoa,True,4,17,13,0.0828988001647803,0.0425510185202024,0.0731458391108094
BBOB_F37,0.1572649032168013,0.6692191649158179,0.205633133743002,0.2539185871646663,smsemoa,0.6193516787127322,0.5475589034253596,smsemoa,True,3,17,9,0.1750300831042282,0.1303952358031226,0.0318569556032547
BBOB_F49,0.1511467023513817,0.8554110814332265,0.1374301780540452,0.2070601036537373,nsga2,0.7299653563592408,0.7833325681449697,nsga2,True,6,17,22,0.204675952217098,0.1590601514789329,0.0331277436951974
BBOB_F5,0.0303389079646851,0.8424124317931719,0.035178295949926,0.1192824482234564,smsemoa,0.25434511461275555,0.6744549289589444,smsemoa,True,5,17,56,0.0416269091976443,0.0249421445305083,0.0116199334663715
BBOB_F55,0.0525601226054507,1.0469866405631616,0.558756822784922,0.6061479210199184,nsga2,0.0867117097704663,0.2847968270563726,nsga2,True,2,16,23,0.2418108036682539,0.0112375288332604,0.0100295373447201
DTLZ1,107.90095654288476,0.0,86.49558217812276,45.34570273153767,nsga2,2.379518896899579,0.0,moead,False,16,17,23,107.90095654288476,241.95579195094305,49.69348890463073
DTLZ2,0.1420440366274875,0.4428914704658485,0.0900855558532233,0.1700820491933293,smsemoa,0.8351500778664097,0.3774027369489095,smsemoa,True,7,16,59,0.190011906239341,0.1988658425757924,0.1056983196358816
DTLZ3,426.7214887384964,0.0,225.3801074228402,129.76799112603217,smsemoa,3.288341639842907,0.0,moead,False,16,16,43,426.7216089459382,749.7422743406045,99.68298808117804
DTLZ4,0.4298240303343262,0.0031375056883698,,0.2823977915542932,nsga3,1.522051670335705,0.122251480929137,nsga3,False,9,15,38,0.5047221346110723,0.5254527736715814,0.235913244449072
DTLZ7,0.0507528544036108,0.5066350850381721,0.0488033595915058,1.1247085866087754,nsga3,0.04512533736106786,0.0,moead,True,4,15,102,0.0677014748887686,0.0374261531176844,0.0482428148964288
MMF1,0.0450406808380648,0.7757923817719427,0.0634336250982687,0.0570132770384747,nsga3,0.7900033672449605,0.7494280731304409,nsga3,True,8,17,17,0.0554616772710122,0.0679884000814991,0.080335050133562
MMF11_L,0.0137555248377796,0.9950578973528992,0.029949035721232,0.0231565498976292,nsga3,0.594023069005971,0.9944925151806284,nsga3,True,3,17,24,0.0305739650252872,0.0161590487019689,0.0726681870652638
MMF16_20,0.0246641935331076,0.739949138510292,0.0278759779918998,0.0316158421272363,smsemoa,0.7801213528916245,0.7231803588717962,smsemoa,True,2,15,205,0.0506981762650095,0.0150103354077968,0.0508474771408155
MMF4,0.0223485227594842,0.4958671205772282,0.0252979624044177,0.0377119334276083,nsga3,0.5926114290158141,0.4690277870473205,nsga3,True,3,17,18,0.0326425762985237,0.0128700327470263,0.063972976896982
WFG1,0.5019701836745175,0.2013338189616298,,0.4953917959793528,smsemoa,1.0132791615617287,0.2071577146825653,nsga2,False,4,14,83,0.5019701836745175,0.4844706762125044,0.0314260840377712
WFG2,0.1142921612591666,0.600879058380027,0.222579812031224,0.1227556938180429,nsga2,0.9310538493520183,0.5889726898088412,nsga2,True,2,16,17,0.1266145203127669,0.0951126758900312,0.0346414478459302
WFG4,0.1038205373773919,0.2295690505854097,0.11446799614429,0.044424346453198,smsemoa,2.337018902163683,0.3297560897295661,smsemoa,False,11,16,40,0.1041491121649531,0.117093913960655,0.029658095981781
WFG5,0.0541615136179472,0.3404131868000625,0.0587307664670054,0.0930752077028518,nsga2,0.5819112839464307,0.2751447656512529,smsemoa,True,5,16,60,0.0549542831833992,0.0575871918982687,0.0135735618520065
WFG9,0.1991034580783021,0.1154209595580226,0.1840495498283721,0.0955346891283579,nsga3,2.0840959435246806,0.2561072713511255,nsga3,False,14,16,23,0.1992345340388762,0.20793315993111,0.0449146534717532
ZDT1,0.0195147937526374,0.833771063840258,0.0260620750571967,0.4440783896843883,nsga2,0.04394447963681996,0.2332217109349336,nsga2,True,3,16,96,0.0205677994151515,0.0238349230148217,0.0179933107210676
ZDT3,0.0167492119711416,0.6916151694658574,0.0126933727450429,0.3442625865872861,nsga2,0.04865243167193517,0.25317791382524,nsga2,True,2,15,70,0.0176512680177508,0.0130187762505093,0.0159903175356262
ZDT4,40.410159213164334,0.0,71.65713750280827,43.898268794314845,nsga2,0.9205410674053223,0.0,moead,True,4,17,4,40.41411775062881,44.34310875124928,2.690625872633891
ZDT6,1.5372928378696342,0.0,0.1433291658436653,6.445675963031797,nsga2,0.23849986358087896,0.0,moead,True,6,16,7,1.5630742301136904,1.3767626516956633,0.4522003341713518
