problema,D,M,U2_doe_n,U2_dX_f32,U2_hash_ok,U2_hash_keys,U5_dX,U6_wape_p,U6_cov_p,U6_corr_p,U6_wape_u,U6_cov_u,U6_corr_u,U6_dWAPE_pct,U7_v_fitbusca,U7_v_comsonda,U7_set_eq_sonda,U7_sonda_gt0_eq,U8_ftm_id,U8_n,U8_mono,U8_diffs,U10_sum_lote,U10_ok_orc,U10_sum_uef,U10_gap,U10_cache,U10_hardstop,U10_c0,U10_lote_lt5,U10_lote_last,U10_ident,U11_relerr_med,U11_frac_otimista
BBOB_F1,10,2,109,0.0,True,['doe_hash'],0.0,0.13402379791365732,0.941,0.8780129465275395,0.0013659432901228627,1.0,0.9999876658290112,-99.0,0,21,False,False,40,40,True,"[4, 5]",200,True,200,0,4,1,1,0,5,-3,0.0011423828545957804,0.49000000000000005
BBOB_F17,10,2,109,0.0,True,['doe_hash'],0.0,0.43309970423099237,0.94575,0.826992143155612,0.2915505957999898,0.78175,0.8440260332353462,-32.7,0,21,True,True,40,40,True,[5],200,True,200,0,1,0,1,0,5,0,0.9048380851745605,0.7525000000000001
BBOB_F22,10,2,109,0.0,True,['doe_hash'],0.0,0.13879879379287352,0.9445,0.8331575498222838,0.11119417476347815,0.8845000000000001,0.9051135302648243,-19.9,0,21,True,True,40,40,True,[5],200,True,200,0,1,0,1,0,5,0,0.31462758779525757,0.7625
BBOB_F37,10,2,109,0.0,True,['doe_hash'],0.0,0.3004606355369016,0.9472499999999999,0.7736801282193397,0.3082941899223139,0.92425,0.7565725053980644,2.6,0,21,True,True,40,40,True,[5],200,True,200,0,1,0,1,0,5,0,0.2878571152687073,0.8400000000000001
BBOB_F49,10,2,109,0.0,True,['doe_hash'],0.0,0.22350028210689926,0.96,0.3539096937465124,0.280551969335957,0.92625,0.2939671542245967,25.5,0,21,False,False,40,40,True,"[4, 5]",200,True,200,0,4,1,1,0,5,-3,0.25533798336982727,0.7425
BBOB_F5,10,2,109,0.0,True,['doe_hash'],0.0,0.11678797326316523,0.9277500000000001,0.8154658094189888,0.042973489559456374,0.992,0.9230505349292297,-63.2,0,22,False,False,42,42,True,"[4, 5]",210,False,210,0,14,1,1,0,5,-13,0.03689844161272049,0.5642857142857143
BBOB_F55,10,2,109,0.0,True,['doe_hash'],0.0,0.05577858391667405,0.93375,0.1359390493384496,0.10410000816637019,0.99,0.03322974625096139,86.6,0,21,False,False,40,40,True,"[4, 5]",200,True,200,0,3,1,1,0,5,-2,0.06782767921686172,0.5650000000000001
DTLZ1,7,3,76,0.0,True,['doe_hash'],0.0,0.3288900358851956,0.9253333333333335,0.8503516244586601,0.4131300263284805,0.9660000000000001,0.8289188103485686,25.6,0,15,False,False,28,28,True,"[4, 5]",140,True,140,0,2,1,1,0,5,-1,0.5820028185844421,0.5833333333333333
DTLZ2,12,3,131,0.0,True,['doe_hash'],0.0,0.13045910406076153,0.9049999999999999,0.9620102242988221,0.1510517899607036,0.8744999999999999,0.9549318887583254,15.8,0,25,True,True,48,48,True,[5],240,True,240,0,1,0,1,0,5,0,0.15214112401008606,0.5027777777777778
DTLZ3,12,3,131,0.0,True,['doe_hash'],0.0,0.24746363367537386,0.9041666666666668,0.8825343055344192,0.26594439243702456,0.9036666666666666,0.8795221434558059,7.5,0,25,True,True,48,48,True,[5],240,True,240,0,1,0,1,0,5,0,0.3438021242618561,0.5208333333333334
DTLZ4,12,3,131,0.0,True,['doe_hash'],0.0,1.8719056210074079,0.9434999999999999,0.24491528815321795,8.331507371888252,0.9963333333333334,0.27910408638723466,345.1,0,25,False,False,48,48,True,"[4, 5]",240,True,240,0,2,1,1,0,5,-1,0.4960331618785858,0.6666666666666666
DTLZ7,22,3,241,0.0,True,['doe_hash'],0.0,0.007943185389410865,0.3538333333333334,0.9869686213361414,1.935781593542685e-05,0.37433333333333335,0.999999818197811,-99.8,0,50,False,False,98,98,True,"[3, 4, 5]",490,False,490,0,55,1,1,0,5,-54,0.0002539822307880968,0.2523809523809524
MMF1,2,2,21,0.0,True,['doe_hash'],0.0,0.43551265970904063,0.7645,0.5647811666500253,0.47021136598273794,0.8985,0.5919307332947779,8.0,0,4,False,False,8,8,True,[5],40,True,40,0,2,1,1,0,5,-1,0.6307123899459839,0.6000000000000001
MMF11_L,2,2,21,0.0,True,['doe_hash'],0.0,0.07951833251250957,0.4045,0.9674193364513936,0.12735437278403494,0.46375,0.935307513000793,60.2,0,4,False,True,8,8,True,[5],40,True,40,0,1,0,1,0,5,0,0.04526978358626366,0.325
MMF16_20,20,3,219,0.0,True,['doe_hash'],0.0,0.2143792001500192,0.9325,0.9166119288946004,0.09505541096214754,0.9510000000000001,0.9606349598751477,-55.7,0,41,True,True,80,80,True,[5],400,True,400,0,1,0,1,0,5,0,0.2335020750761032,0.4966666666666667
MMF4,2,2,21,0.0,True,['doe_hash'],0.0,0.19870403220783728,0.9392499999999999,0.7056207210808516,0.5155026342189485,0.489,0.17722086142500043,159.4,0,4,False,False,8,8,True,"[4, 5]",40,True,40,0,2,1,1,0,5,-1,0.39994359016418457,0.625
WFG1,22,2,241,0.0,True,['doe_hash'],0.0,0.011024965810624395,0.9655,0.6709793493543305,0.3351754157943337,0.99975,0.4310821887295889,2940.1,0,45,False,False,89,89,True,"[3, 4, 5]",445,False,445,0,10,1,1,0,5,-9,0.3128848373889923,0.5797752808988764
WFG2,22,2,241,0.0,True,['doe_hash'],0.0,0.12842201086039415,0.946,0.6667159443121545,0.06687274813228551,0.97975,0.943026885062104,-47.9,0,48,False,False,94,94,True,"[3, 4, 5]",470,False,470,0,34,1,1,0,5,-33,0.05694279074668884,0.6712765957446809
WFG4,22,2,241,0.0,True,['doe_hash'],0.0,0.21360472601417768,0.9199999999999999,0.13797107295380467,0.07729284630615113,0.89825,0.9236921581467858,-63.8,0,47,False,False,92,92,True,"[2, 3, 4, 5]",460,False,460,0,23,1,1,0,5,-22,0.0936909168958664,0.6663043478260869
WFG5,22,2,241,0.0,True,['doe_hash'],0.0,0.20077730696141446,0.944,0.19532627168856032,0.05292792510874324,0.94125,0.9567237773395554,-73.6,0,45,False,False,88,88,True,"[3, 4, 5]",440,True,440,0,4,1,1,0,5,-3,0.0690518468618393,0.6068181818181817
WFG9,22,2,241,0.0,True,['doe_hash'],0.0,0.24613507280783223,0.94425,0.2857580043818711,0.25776171524429303,0.9375,0.2582246781363598,4.7,0,46,True,True,90,90,True,"[3, 4, 5]",450,False,450,0,11,0,1,0,5,-10,0.3063579797744751,0.6933333333333334
ZDT1,30,2,329,0.0,True,['doe_hash'],0.0,0.011507680904874872,0.50875,0.9925640840398324,0.0024790257003305476,0.5195000000000001,0.9996244517591282,-78.5,0,61,False,False,120,120,True,"[4, 5]",600,True,600,0,2,1,1,0,5,-1,0.0016655850922688842,0.26916666666666667
ZDT3,30,2,329,0.0,True,['doe_hash'],0.0,0.046065437277374534,0.506,0.9061695086769368,0.0040079937552149605,0.49675,0.9992792585524755,-91.3,0,66,False,False,131,131,True,"[3, 4, 5]",655,False,655,0,57,1,1,0,5,-56,0.020407510921359062,0.31450381679389317
ZDT4,10,2,109,0.0,True,['doe_hash'],0.0,0.07909069166405386,0.49275,0.5790865187730425,0.09295877214947725,0.50825,0.47796445692797507,17.5,0,22,False,False,43,43,True,"[2, 3, 4, 5]",215,False,215,0,17,1,1,0,5,-16,0.1908331662416458,0.5116279069767442
ZDT6,10,2,109,0.0,True,['doe_hash'],0.0,0.04814982829517619,0.8965,0.6923726189285129,0.04791007308760181,1.0,0.907098315385408,-0.5,0,21,True,True,40,40,True,[5],200,True,200,0,1,0,1,0,5,0,0.07532791793346405,0.5475
